complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7uw2,ranked_0.pdb,vina,1.270, 4.538, 0.000, 0.000, 0.000,-4.395,-3.268,-4.395
7uw2,ranked_0.pdb,vinardo,1.641, 5.862, 0.000, 0.000, 0.000,-7.027,-4.221,-7.027
7uw2,ranked_1.pdb,vina,0.975, 3.481, 0.000, 0.000, 0.000,-4.428,-2.507,-4.428
7uw2,ranked_1.pdb,vinardo,1.433, 5.120, 0.000, 0.000, 0.000,-7.008,-3.687,-7.008
7uw2,ranked_2.pdb,vina,0.812, 2.900, 0.000, 0.000, 0.000,-4.539,-2.089,-4.539
7uw2,ranked_2.pdb,vinardo,1.215, 4.339, 0.000, 0.000, 0.000,-7.054,-3.125,-7.054
7uw2,ranked_3.pdb,vina,1.665, 5.947, 0.000, 0.000, 0.000,-4.436,-4.282,-4.436
7uw2,ranked_3.pdb,vinardo,2.096, 7.488, 0.000, 0.000, 0.000,-6.979,-5.392,-6.979
7uw2,ranked_4.pdb,vina,1.765, 6.304, 0.000, 0.000, 0.000,-4.397,-4.539,-4.397
7uw2,ranked_4.pdb,vinardo,2.180, 7.788, 0.000, 0.000, 0.000,-7.030,-5.608,-7.030
7uw2,ranked_5.pdb,vina,1.064, 3.801, 0.000, 0.000, 0.000,-4.396,-2.737,-4.396
7uw2,ranked_5.pdb,vinardo,1.449, 5.176, 0.000, 0.000, 0.000,-6.970,-3.727,-6.970
7uw2,ranked_6.pdb,vina,1.872, 6.686, 0.000, 0.000, 0.000,-4.108,-4.815,-4.108
7uw2,ranked_6.pdb,vinardo,2.107, 7.526, 0.000, 0.000, 0.000,-6.812,-5.419,-6.812
7uw2,ranked_7.pdb,vina,2.560, 9.146, 0.000, 0.000, 0.000,-4.057,-6.586,-4.057
7uw2,ranked_7.pdb,vinardo,2.702, 9.653, 0.000, 0.000, 0.000,-6.781,-6.951,-6.781
7uw2,ranked_8.pdb,vina,2.190, 7.821, 0.000, 0.000, 0.000,-4.522,-5.632,-4.522
7uw2,ranked_8.pdb,vinardo,2.707, 9.672, 0.000, 0.000, 0.000,-6.979,-6.964,-6.979
7uw2,ranked_9.pdb,vina,1.787, 6.382, 0.000, 0.000, 0.000,-4.376,-4.596,-4.376
7uw2,ranked_9.pdb,vinardo,2.186, 7.810, 0.000, 0.000, 0.000,-6.902,-5.624,-6.902
7uw2,ranked_10.pdb,vina,1.071, 3.824, 0.000, 0.000, 0.000,-4.288,-2.754,-4.288
7uw2,ranked_10.pdb,vinardo,1.428, 5.102, 0.000, 0.000, 0.000,-6.919,-3.673,-6.919
7uw2,ranked_11.pdb,vina,1.549, 5.532, 0.000, 0.000, 0.000,-3.760,-3.983,-3.760
7uw2,ranked_11.pdb,vinardo,1.971, 7.041, 0.000, 0.000, 0.000,-6.615,-5.070,-6.615
7uw2,ranked_12.pdb,vina,1.387, 4.954, 0.000, 0.000, 0.000,-4.386,-3.567,-4.386
7uw2,ranked_12.pdb,vinardo,1.834, 6.551, 0.000, 0.000, 0.000,-6.962,-4.717,-6.962
7uw2,ranked_13.pdb,vina,1.055, 3.770, 0.000, 0.000, 0.000,-4.149,-2.714,-4.149
7uw2,ranked_13.pdb,vinardo,1.482, 5.294, 0.000, 0.000, 0.000,-6.818,-3.812,-6.818
7uw2,ranked_14.pdb,vina,0.946, 3.380, 0.000, 0.000, 0.000,-4.392,-2.434,-4.392
7uw2,ranked_14.pdb,vinardo,1.395, 4.984, 0.000, 0.000, 0.000,-6.902,-3.589,-6.902
7uw2,ranked_15.pdb,vina,1.997, 7.135, 0.000, 0.000, 0.000,-4.260,-5.138,-4.260
7uw2,ranked_15.pdb,vinardo,2.486, 8.879, 0.000, 0.000, 0.000,-6.915,-6.394,-6.915
7uw2,ranked_16.pdb,vina,1.385, 4.949, 0.000, 0.000, 0.000,-4.240,-3.564,-4.240
7uw2,ranked_16.pdb,vinardo,1.750, 6.252, 0.000, 0.000, 0.000,-6.919,-4.502,-6.919
7uw2,ranked_17.pdb,vina,1.979, 7.071, 0.000, 0.000, 0.000,-4.380,-5.091,-4.380
7uw2,ranked_17.pdb,vinardo,2.342, 8.366, 0.000, 0.000, 0.000,-6.875,-6.024,-6.875
7uw2,ranked_18.pdb,vina,0.981, 3.504, 0.000, 0.000, 0.000,-4.409,-2.523,-4.409
7uw2,ranked_18.pdb,vinardo,1.437, 5.135, 0.000, 0.000, 0.000,-6.859,-3.697,-6.859
7uw2,ranked_19.pdb,vina,2.293, 8.192, 0.000, 0.000, 0.000,-4.249,-5.899,-4.249
7uw2,ranked_19.pdb,vinardo,2.693, 9.620, 0.000, 0.000, 0.000,-6.867,-6.927,-6.867
7uw2,ranked_20.pdb,vina,1.253, 4.476, 0.000, 0.000, 0.000,-4.379,-3.223,-4.379
7uw2,ranked_20.pdb,vinardo,1.646, 5.880, 0.000, 0.000, 0.000,-6.953,-4.234,-6.953
7uw2,ranked_21.pdb,vina, 4.879, 17.428,  0.000,  0.000,  0.000, -4.097,-12.549, -4.097
7uw2,ranked_21.pdb,vinardo, 4.897, 17.494,  0.000,  0.000,  0.000, -6.859,-12.597, -6.859
7uw2,ranked_22.pdb,vina, 3.904, 13.945,  0.000,  0.000,  0.000, -4.199,-10.041, -4.199
7uw2,ranked_22.pdb,vinardo, 4.136, 14.774,  0.000,  0.000,  0.000, -6.763,-10.638, -6.763
7uw2,ranked_23.pdb,vina,2.605, 9.307, 0.000, 0.000, 0.000,-4.263,-6.702,-4.263
7uw2,ranked_23.pdb,vinardo,2.918,10.423, 0.000, 0.000, 0.000,-6.935,-7.505,-6.935
7uw2,ranked_24.pdb,vina,2.798, 9.995, 0.000, 0.000, 0.000,-4.035,-7.197,-4.035
7uw2,ranked_24.pdb,vinardo,2.898,10.354, 0.000, 0.000, 0.000,-6.791,-7.455,-6.791
7uw2,ranked_25.pdb,vina,2.837,10.134, 0.000, 0.000, 0.000,-4.653,-7.297,-4.653
7uw2,ranked_25.pdb,vinardo,3.221,11.505, 0.000, 0.000, 0.000,-7.051,-8.284,-7.051
7uw2,ranked_26.pdb,vina, 4.433, 15.836,  0.000,  0.000,  0.000, -3.866,-11.403, -3.866
7uw2,ranked_26.pdb,vinardo, 4.422, 15.796,  0.000,  0.000,  0.000, -6.669,-11.374, -6.669
7uw2,ranked_27.pdb,vina,2.258, 8.067, 0.000, 0.000, 0.000,-4.425,-5.809,-4.425
7uw2,ranked_27.pdb,vinardo,2.664, 9.516, 0.000, 0.000, 0.000,-6.883,-6.852,-6.883
7uw2,ranked_28.pdb,vina,1.557, 5.562, 0.000, 0.000, 0.000,-4.149,-4.005,-4.149
7uw2,ranked_28.pdb,vinardo,1.942, 6.939, 0.000, 0.000, 0.000,-6.826,-4.996,-6.826
7uw2,ranked_29.pdb,vina, 4.689, 16.749,  0.000,  0.000,  0.000, -4.003,-12.060, -4.003
7uw2,ranked_29.pdb,vinardo, 4.726, 16.881,  0.000,  0.000,  0.000, -6.689,-12.156, -6.689
7uw2,ranked_30.pdb,vina,1.911, 6.826, 0.000, 0.000, 0.000,-4.083,-4.915,-4.083
7uw2,ranked_30.pdb,vinardo,2.025, 7.235, 0.000, 0.000, 0.000,-6.712,-5.210,-6.712
7uw2,ranked_31.pdb,vina,3.252,11.616, 0.000, 0.000, 0.000,-3.938,-8.364,-3.938
7uw2,ranked_31.pdb,vinardo,3.367,12.029, 0.000, 0.000, 0.000,-6.771,-8.662,-6.771
7uw2,ranked_32.pdb,vina, 3.947, 14.101,  0.000,  0.000,  0.000, -4.187,-10.154, -4.187
7uw2,ranked_32.pdb,vinardo, 4.133, 14.764,  0.000,  0.000,  0.000, -6.848,-10.631, -6.848
7uw2,ranked_33.pdb,vina,2.105, 7.520, 0.000, 0.000, 0.000,-4.378,-5.415,-4.378
7uw2,ranked_33.pdb,vinardo,2.455, 8.770, 0.000, 0.000, 0.000,-6.909,-6.315,-6.909
7uw2,ranked_34.pdb,vina,1.157, 4.133, 0.000, 0.000, 0.000,-4.219,-2.976,-4.219
7uw2,ranked_34.pdb,vinardo,1.555, 5.555, 0.000, 0.000, 0.000,-6.906,-4.000,-6.906
7uw2,ranked_35.pdb,vina,1.184, 4.228, 0.000, 0.000, 0.000,-4.251,-3.045,-4.251
7uw2,ranked_35.pdb,vinardo,1.556, 5.560, 0.000, 0.000, 0.000,-6.889,-4.003,-6.889
7uw2,ranked_36.pdb,vina,3.424,12.233, 0.000, 0.000, 0.000,-4.038,-8.808,-4.038
7uw2,ranked_36.pdb,vinardo,3.505,12.522, 0.000, 0.000, 0.000,-6.758,-9.017,-6.758
7uw2,ranked_37.pdb,vina,1.823, 6.513, 0.000, 0.000, 0.000,-4.635,-4.690,-4.635
7uw2,ranked_37.pdb,vinardo,2.218, 7.923, 0.000, 0.000, 0.000,-7.077,-5.705,-7.077
7uw2,ranked_38.pdb,vina,3.345,11.949, 0.000, 0.000, 0.000,-4.134,-8.604,-4.134
7uw2,ranked_38.pdb,vinardo,3.601,12.864, 0.000, 0.000, 0.000,-6.829,-9.263,-6.829
7uw2,ranked_39.pdb,vina,2.278, 8.137, 0.000, 0.000, 0.000,-4.256,-5.859,-4.256
7uw2,ranked_39.pdb,vinardo,2.645, 9.448, 0.000, 0.000, 0.000,-6.910,-6.803,-6.910
7uw2,ranked_40.pdb,vina,3.238,11.567, 0.000, 0.000, 0.000,-4.210,-8.329,-4.210
7uw2,ranked_40.pdb,vinardo,3.453,12.335, 0.000, 0.000, 0.000,-6.882,-8.882,-6.882
7uw2,ranked_41.pdb,vina, 6.915, 24.701,  0.000,  0.000,  0.000, -4.041,-17.787, -4.041
7uw2,ranked_41.pdb,vinardo, 6.878, 24.570,  0.000,  0.000,  0.000, -6.831,-17.692, -6.831
7uw2,ranked_42.pdb,vina, 4.204, 15.019,  0.000,  0.000,  0.000, -4.427,-10.815, -4.427
7uw2,ranked_42.pdb,vinardo, 4.165, 14.877,  0.000,  0.000,  0.000, -6.907,-10.712, -6.907
7uw2,ranked_43.pdb,vina,3.535,12.630, 0.000, 0.000, 0.000,-4.258,-9.094,-4.258
7uw2,ranked_43.pdb,vinardo,3.587,12.814, 0.000, 0.000, 0.000,-6.853,-9.227,-6.853
7uw2,ranked_44.pdb,vina,2.837,10.135, 0.000, 0.000, 0.000,-3.912,-7.298,-3.912
7uw2,ranked_44.pdb,vinardo,2.908,10.388, 0.000, 0.000, 0.000,-6.710,-7.480,-6.710
7uw2,ranked_45.pdb,vina,1.436, 5.130, 0.000, 0.000, 0.000,-4.173,-3.694,-4.173
7uw2,ranked_45.pdb,vinardo,1.809, 6.462, 0.000, 0.000, 0.000,-7.040,-4.653,-7.040
7uw2,ranked_46.pdb,vina,3.512,12.546, 0.000, 0.000, 0.000,-4.281,-9.034,-4.281
7uw2,ranked_46.pdb,vinardo,3.748,13.388, 0.000, 0.000, 0.000,-7.280,-9.640,-7.280
7uw2,ranked_47.pdb,vina,2.101, 7.504, 0.000, 0.000, 0.000,-4.148,-5.403,-4.148
7uw2,ranked_47.pdb,vinardo,2.498, 8.924, 0.000, 0.000, 0.000,-6.827,-6.426,-6.827
7uw2,ranked_48.pdb,vina,3.874,13.838, 0.000, 0.000, 0.000,-4.404,-9.964,-4.404
7uw2,ranked_48.pdb,vinardo,3.841,13.719, 0.000, 0.000, 0.000,-6.846,-9.879,-6.846
7uw2,ranked_49.pdb,vina,3.863,13.800, 0.000, 0.000, 0.000,-3.971,-9.937,-3.971
7uw2,ranked_49.pdb,vinardo,3.877,13.848, 0.000, 0.000, 0.000,-6.708,-9.972,-6.708
7uw2,ranked_50.pdb,vina,3.594,12.839, 0.000, 0.000, 0.000,-4.212,-9.245,-4.212
7uw2,ranked_50.pdb,vinardo,3.674,13.123, 0.000, 0.000, 0.000,-6.778,-9.449,-6.778
7uw2,ranked_51.pdb,vina,2.822,10.082, 0.000, 0.000, 0.000,-4.221,-7.260,-4.221
7uw2,ranked_51.pdb,vinardo,2.991,10.684, 0.000, 0.000, 0.000,-6.778,-7.693,-6.778
7uw2,ranked_52.pdb,vina,3.279,11.712, 0.000, 0.000, 0.000,-4.091,-8.433,-4.091
7uw2,ranked_52.pdb,vinardo,3.345,11.950, 0.000, 0.000, 0.000,-6.780,-8.605,-6.780
7uw2,ranked_53.pdb,vina,3.587,12.813, 0.000, 0.000, 0.000,-3.881,-9.226,-3.881
7uw2,ranked_53.pdb,vinardo,3.606,12.882, 0.000, 0.000, 0.000,-6.669,-9.276,-6.669
7uw2,ranked_54.pdb,vina, 5.433, 19.408,  0.000,  0.000,  0.000, -4.270,-13.975, -4.270
7uw2,ranked_54.pdb,vinardo, 5.562, 19.868,  0.000,  0.000,  0.000, -6.841,-14.306, -6.841
7uw2,ranked_55.pdb,vina, 4.277, 15.278,  0.000,  0.000,  0.000, -3.954,-11.001, -3.954
7uw2,ranked_55.pdb,vinardo, 4.305, 15.378,  0.000,  0.000,  0.000, -6.718,-11.073, -6.718
7uw2,ranked_56.pdb,vina, 4.090, 14.609,  0.000,  0.000,  0.000, -4.679,-10.519, -4.679
7uw2,ranked_56.pdb,vinardo, 4.143, 14.801,  0.000,  0.000,  0.000, -6.894,-10.657, -6.894
7uw2,ranked_57.pdb,vina, 3.989, 14.249,  0.000,  0.000,  0.000, -4.421,-10.260, -4.421
7uw2,ranked_57.pdb,vinardo, 4.029, 14.394,  0.000,  0.000,  0.000, -6.883,-10.365, -6.883
7uw2,ranked_58.pdb,vina, 3.967, 14.171,  0.000,  0.000,  0.000, -4.211,-10.204, -4.211
7uw2,ranked_58.pdb,vinardo, 4.045, 14.451,  0.000,  0.000,  0.000, -6.796,-10.405, -6.796
7uw2,ranked_59.pdb,vina,1.169, 4.177, 0.000, 0.000, 0.000,-4.236,-3.008,-4.236
7uw2,ranked_59.pdb,vinardo,1.586, 5.666, 0.000, 0.000, 0.000,-6.787,-4.080,-6.787
7uw2,ranked_60.pdb,vina,2.283, 8.156, 0.000, 0.000, 0.000,-4.346,-5.873,-4.346
7uw2,ranked_60.pdb,vinardo,2.597, 9.276, 0.000, 0.000, 0.000,-6.921,-6.680,-6.921
7uw2,ranked_61.pdb,vina, 4.161, 14.866,  0.000,  0.000,  0.000, -4.605,-10.704, -4.605
7uw2,ranked_61.pdb,vinardo, 4.190, 14.968,  0.000,  0.000,  0.000, -6.847,-10.778, -6.847
7uw2,ranked_62.pdb,vina, 4.491, 16.043,  0.000,  0.000,  0.000, -3.631,-11.552, -3.631
7uw2,ranked_62.pdb,vinardo, 4.550, 16.253,  0.000,  0.000,  0.000, -6.514,-11.703, -6.514
7uw2,ranked_63.pdb,vina,3.086,11.022, 0.000, 0.000, 0.000,-4.148,-7.937,-4.148
7uw2,ranked_63.pdb,vinardo,3.160,11.287, 0.000, 0.000, 0.000,-6.781,-8.127,-6.781
7uw2,ranked_64.pdb,vina, 5.690, 20.325,  0.000,  0.000,  0.000, -4.038,-14.636, -4.038
7uw2,ranked_64.pdb,vinardo, 5.680, 20.289,  0.000,  0.000,  0.000, -6.588,-14.610, -6.588
7uw2,ranked_65.pdb,vina, 5.037, 17.993,  0.000,  0.000,  0.000, -3.433,-12.956, -3.433
7uw2,ranked_65.pdb,vinardo, 5.051, 18.045,  0.000,  0.000,  0.000, -6.422,-12.994, -6.422
7uw2,ranked_66.pdb,vina,2.176, 7.775, 0.000, 0.000, 0.000,-4.455,-5.598,-4.455
7uw2,ranked_66.pdb,vinardo,2.305, 8.233, 0.000, 0.000, 0.000,-6.943,-5.928,-6.943
7uw2,ranked_67.pdb,vina,2.889,10.319, 0.000, 0.000, 0.000,-4.375,-7.430,-4.375
7uw2,ranked_67.pdb,vinardo,2.976,10.631, 0.000, 0.000, 0.000,-6.842,-7.655,-6.842
7uw2,ranked_68.pdb,vina,3.818,13.637, 0.000, 0.000, 0.000,-4.127,-9.820,-4.127
7uw2,ranked_68.pdb,vinardo, 3.916, 13.989,  0.000,  0.000,  0.000, -6.727,-10.073, -6.727
7uw2,ranked_69.pdb,vina,3.231,11.542, 0.000, 0.000, 0.000,-3.581,-8.311,-3.581
7uw2,ranked_69.pdb,vinardo,3.317,11.851, 0.000, 0.000, 0.000,-6.458,-8.533,-6.458
7uw2,ranked_70.pdb,vina,1.274, 4.553, 0.000, 0.000, 0.000,-4.110,-3.278,-4.110
7uw2,ranked_70.pdb,vinardo,1.509, 5.390, 0.000, 0.000, 0.000,-6.654,-3.881,-6.654
7uw2,ranked_71.pdb,vina,2.727, 9.740, 0.000, 0.000, 0.000,-4.223,-7.014,-4.223
7uw2,ranked_71.pdb,vinardo,2.887,10.314, 0.000, 0.000, 0.000,-6.653,-7.427,-6.653
7uw2,ranked_72.pdb,vina,3.711,13.256, 0.000, 0.000, 0.000,-3.836,-9.545,-3.836
7uw2,ranked_72.pdb,vinardo,3.741,13.363, 0.000, 0.000, 0.000,-6.592,-9.622,-6.592
7uw2,ranked_73.pdb,vina,3.763,13.442, 0.000, 0.000, 0.000,-4.131,-9.679,-4.131
7uw2,ranked_73.pdb,vinardo,3.797,13.564, 0.000, 0.000, 0.000,-6.780,-9.767,-6.780
7uw2,ranked_74.pdb,vina,2.830,10.109, 0.000, 0.000, 0.000,-4.310,-7.279,-4.310
7uw2,ranked_74.pdb,vinardo,2.909,10.391, 0.000, 0.000, 0.000,-6.778,-7.482,-6.778
7uw2,ranked_75.pdb,vina,3.228,11.533, 0.000, 0.000, 0.000,-4.610,-8.304,-4.610
7uw2,ranked_75.pdb,vinardo,3.315,11.842, 0.000, 0.000, 0.000,-6.792,-8.527,-6.792
7uw2,ranked_76.pdb,vina,3.238,11.568, 0.000, 0.000, 0.000,-4.241,-8.330,-4.241
7uw2,ranked_76.pdb,vinardo,3.285,11.736, 0.000, 0.000, 0.000,-6.776,-8.451,-6.776
7uw2,ranked_77.pdb,vina,2.355, 8.411, 0.000, 0.000, 0.000,-3.979,-6.056,-3.979
7uw2,ranked_77.pdb,vinardo,2.516, 8.986, 0.000, 0.000, 0.000,-6.660,-6.470,-6.660
7uw2,ranked_78.pdb,vina,3.525,12.591, 0.000, 0.000, 0.000,-3.922,-9.066,-3.922
7uw2,ranked_78.pdb,vinardo,3.602,12.869, 0.000, 0.000, 0.000,-6.630,-9.266,-6.630
7uw2,ranked_79.pdb,vina,2.601, 9.290, 0.000, 0.000, 0.000,-4.366,-6.690,-4.366
7uw2,ranked_79.pdb,vinardo,2.699, 9.640, 0.000, 0.000, 0.000,-6.801,-6.941,-6.801
7uw2,ranked_80.pdb,vina,1.736, 6.200, 0.000, 0.000, 0.000,-4.430,-4.464,-4.430
7uw2,ranked_80.pdb,vinardo,1.876, 6.700, 0.000, 0.000, 0.000,-6.851,-4.824,-6.851
7uw2,ranked_81.pdb,vina,2.062, 7.367, 0.000, 0.000, 0.000,-4.046,-5.305,-4.046
7uw2,ranked_81.pdb,vinardo,2.214, 7.910, 0.000, 0.000, 0.000,-6.667,-5.695,-6.667
7uw2,ranked_82.pdb,vina, 3.974, 14.195,  0.000,  0.000,  0.000, -4.066,-10.221, -4.066
7uw2,ranked_82.pdb,vinardo, 4.004, 14.302,  0.000,  0.000,  0.000, -6.693,-10.299, -6.693
7uw2,ranked_83.pdb,vina,3.315,11.842, 0.000, 0.000, 0.000,-4.392,-8.527,-4.392
