complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7udk,ranked_0.pdb,vina,1.464,-5.145, 0.000, 0.000, 0.000,-5.243, 3.681,-5.243
7udk,ranked_0.pdb,vinardo,0.049,-0.174, 0.000, 0.000, 0.000,-5.246, 0.124,-5.246
7udk,ranked_1.pdb,vina,1.675,-5.887, 0.000, 0.000, 0.000,-5.153, 4.212,-5.153
7udk,ranked_1.pdb,vinardo,0.310,-1.089, 0.000, 0.000, 0.000,-5.195, 0.779,-5.195
7udk,ranked_2.pdb,vina,1.378,-4.841, 0.000, 0.000, 0.000,-5.206, 3.463,-5.206
7udk,ranked_2.pdb,vinardo,2.000e-03, 8.000e-03, 0.000e+00, 0.000e+00, 0.000e+00,-5.212e+00,
 -6.000e-03,-5.212e+00
7udk,ranked_3.pdb,vina,1.879,-6.602, 0.000, 0.000, 0.000,-5.256, 4.723,-5.256
7udk,ranked_3.pdb,vinardo,0.394,-1.383, 0.000, 0.000, 0.000,-5.092, 0.989,-5.092
7udk,ranked_4.pdb,vina,1.341,-4.712, 0.000, 0.000, 0.000,-5.231, 3.371,-5.231
7udk,ranked_4.pdb,vinardo,0.045, 0.158, 0.000, 0.000, 0.000,-5.231,-0.113,-5.231
7udk,ranked_5.pdb,vina,1.606,-5.642, 0.000, 0.000, 0.000,-5.189, 4.036,-5.189
7udk,ranked_5.pdb,vinardo,0.166,-0.585, 0.000, 0.000, 0.000,-5.169, 0.418,-5.169
7udk,ranked_6.pdb,vina,1.462,-5.138, 0.000, 0.000, 0.000,-5.170, 3.676,-5.170
7udk,ranked_6.pdb,vinardo,0.076,-0.268, 0.000, 0.000, 0.000,-5.176, 0.192,-5.176
7udk,ranked_7.pdb,vina,1.570,-5.515, 0.000, 0.000, 0.000,-5.142, 3.946,-5.142
7udk,ranked_7.pdb,vinardo,0.117,-0.411, 0.000, 0.000, 0.000,-5.177, 0.294,-5.177
7udk,ranked_8.pdb,vina,1.609,-5.655, 0.000, 0.000, 0.000,-5.272, 4.045,-5.272
7udk,ranked_8.pdb,vinardo,0.174,-0.613, 0.000, 0.000, 0.000,-5.128, 0.438,-5.128
7udk,ranked_9.pdb,vina,1.570,-5.518, 0.000, 0.000, 0.000,-4.707, 3.947,-4.707
7udk,ranked_9.pdb,vinardo,0.390, 1.370, 0.000, 0.000, 0.000,-4.682,-0.980,-4.682
7udk,ranked_10.pdb,vina,1.668,-5.861, 0.000, 0.000, 0.000,-5.180, 4.193,-5.180
7udk,ranked_10.pdb,vinardo,0.237,-0.831, 0.000, 0.000, 0.000,-5.032, 0.595,-5.032
7udk,ranked_11.pdb,vina,2.360,-8.293, 0.000, 0.000, 0.000,-5.180, 5.933,-5.180
7udk,ranked_11.pdb,vinardo,1.035,-3.638, 0.000, 0.000, 0.000,-5.143, 2.602,-5.143
7udk,ranked_12.pdb,vina,1.927,-6.771, 0.000, 0.000, 0.000,-5.081, 4.844,-5.081
7udk,ranked_12.pdb,vinardo,0.391,-1.373, 0.000, 0.000, 0.000,-5.012, 0.982,-5.012
7udk,ranked_13.pdb,vina,-4.589,-16.126,  0.000,  0.000,  0.000, -4.316, 11.537, -4.316
7udk,ranked_13.pdb,vinardo,-3.114,-10.943,  0.000,  0.000,  0.000, -4.657,  7.829, -4.657
7udk,ranked_14.pdb,vina,-2.864,-10.064,  0.000,  0.000,  0.000, -2.594,  7.200, -2.594
7udk,ranked_14.pdb,vinardo,0.618,-2.170, 0.000, 0.000, 0.000,-3.400, 1.552,-3.400
7udk,ranked_15.pdb,vina, 7.781, 27.342,  0.000,  0.000,  0.000, -4.145,-19.561, -4.145
7udk,ranked_15.pdb,vinardo, 9.026, 31.715,  0.000,  0.000,  0.000, -4.271,-22.689, -4.271
7udk,ranked_16.pdb,vina,-4.224,-14.843,  0.000,  0.000,  0.000, -4.882, 10.619, -4.882
