#  old_rank	structure_name		score
0	11	ranked_11.pdb_clean	-272.68373207115826
1	20	ranked_20.pdb_clean	-266.1580803328966
2	15	ranked_15.pdb_clean	-256.74911129183874
3	18	ranked_18.pdb_clean	-252.37278715124174
4	23	ranked_23.pdb_clean	-250.40329160820335
5	27	ranked_27.pdb_clean	-245.44332516736023
6	24	ranked_24.pdb_clean	-236.66172317861995
7	26	ranked_26.pdb_clean	-233.38063948687613
8	3	ranked_3.pdb_clean	-228.71523787298372
9	22	ranked_22.pdb_clean	-220.15850163142431
10	25	ranked_25.pdb_clean	-218.1607882725009
11	14	ranked_14.pdb_clean	-217.03183963455973
12	17	ranked_17.pdb_clean	-216.35387324523242
13	10	ranked_10.pdb_clean	-192.3909174779356
14	1	ranked_1.pdb_clean	-180.28364650313333
15	30	ranked_30.pdb_clean	-180.0393622368092
16	19	ranked_19.pdb_clean	-168.01037747396106
17	9	ranked_9.pdb_clean	-165.20661603087638
18	0	ranked_0.pdb_clean	-162.8556046401483
19	16	ranked_16.pdb_clean	-156.5024617281988
20	8	ranked_8.pdb_clean	-145.07796988467578
21	12	ranked_12.pdb_clean	-130.07666353637092
22	36	ranked_36.pdb_clean	-124.48558104041092
23	21	ranked_21.pdb_clean	-109.43583986834531
24	6	ranked_6.pdb_clean	-109.04470738719931
25	13	ranked_13.pdb_clean	-97.89165669438535
26	37	ranked_37.pdb_clean	-95.73788753297345
27	28	ranked_28.pdb_clean	-75.84325358929975
28	5	ranked_5.pdb_clean	-71.43498625363564
29	2	ranked_2.pdb_clean	-54.042894909419616
30	33	ranked_33.pdb_clean	-52.632169260447
31	7	ranked_7.pdb_clean	-25.899655612373742
32	32	ranked_32.pdb_clean	-11.388192833136841
33	4	ranked_4.pdb_clean	-10.767213604581073
34	31	ranked_31.pdb_clean	4.809681271485999
35	43	ranked_43.pdb_clean	8.934129853800926
36	41	ranked_41.pdb_clean	73.24977231379341
37	34	ranked_34.pdb_clean	119.49569163085047
38	88	ranked_88.pdb_clean	142.29263176857424
39	58	ranked_58.pdb_clean	186.62428497988455
40	77	ranked_77.pdb_clean	378.51693773806596
41	62	ranked_62.pdb_clean	392.2308294588512
