complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7udl,ranked_0.pdb,vina,-3.346,-10.973,  0.000,  0.000,  0.000, -4.039,  7.628, -4.039
7udl,ranked_0.pdb,vinardo,2.561,-8.402, 0.000, 0.000, 0.000,-4.499, 5.840,-4.499
7udl,ranked_1.pdb,vina,-3.461,-11.351,  0.000,  0.000,  0.000, -3.904,  7.890, -3.904
7udl,ranked_1.pdb,vinardo,2.719,-8.919, 0.000, 0.000, 0.000,-4.368, 6.199,-4.368
7udl,ranked_2.pdb,vina,-3.379,-11.082,  0.000,  0.000,  0.000, -3.912,  7.703, -3.912
7udl,ranked_2.pdb,vinardo,2.614,-8.574, 0.000, 0.000, 0.000,-4.394, 5.960,-4.394
7udl,ranked_3.pdb,vina,-3.549,-11.641,  0.000,  0.000,  0.000, -3.869,  8.092, -3.869
7udl,ranked_3.pdb,vinardo,2.779,-9.116, 0.000, 0.000, 0.000,-4.369, 6.337,-4.369
7udl,ranked_4.pdb,vina,-3.363,-11.031,  0.000,  0.000,  0.000, -3.917,  7.668, -3.917
7udl,ranked_4.pdb,vinardo,2.618,-8.587, 0.000, 0.000, 0.000,-4.417, 5.969,-4.417
7udl,ranked_5.pdb,vina,-3.498,-11.473,  0.000,  0.000,  0.000, -3.920,  7.975, -3.920
7udl,ranked_5.pdb,vinardo,2.731,-8.958, 0.000, 0.000, 0.000,-4.359, 6.227,-4.359
7udl,ranked_6.pdb,vina,-3.198,-10.489,  0.000,  0.000,  0.000, -4.219,  7.291, -4.219
7udl,ranked_6.pdb,vinardo,2.339,-7.673, 0.000, 0.000, 0.000,-4.586, 5.333,-4.586
7udl,ranked_7.pdb,vina,-3.348,-10.980,  0.000,  0.000,  0.000, -3.995,  7.632, -3.995
7udl,ranked_7.pdb,vinardo,2.549,-8.362, 0.000, 0.000, 0.000,-4.457, 5.812,-4.457
7udl,ranked_8.pdb,vina,-3.495,-11.465,  0.000,  0.000,  0.000, -3.964,  7.969, -3.964
7udl,ranked_8.pdb,vinardo,2.759,-9.049, 0.000, 0.000, 0.000,-4.429, 6.290,-4.429
7udl,ranked_9.pdb,vina,-3.388,-11.113,  0.000,  0.000,  0.000, -4.125,  7.725, -4.125
7udl,ranked_9.pdb,vinardo,2.548,-8.358, 0.000, 0.000, 0.000,-4.511, 5.810,-4.511
7udl,ranked_10.pdb,vina,-3.495,-11.464,  0.000,  0.000,  0.000, -3.826,  7.968, -3.826
7udl,ranked_10.pdb,vinardo,2.777,-9.107, 0.000, 0.000, 0.000,-4.293, 6.331,-4.293
7udl,ranked_11.pdb,vina,2.350,-7.706, 0.000, 0.000, 0.000,-3.989, 5.357,-3.989
7udl,ranked_11.pdb,vinardo,1.448,-4.748, 0.000, 0.000, 0.000,-4.450, 3.300,-4.450
7udl,ranked_12.pdb,vina,-3.294,-10.805,  0.000,  0.000,  0.000, -3.095,  7.510, -3.095
7udl,ranked_12.pdb,vinardo,2.395,-7.855, 0.000, 0.000, 0.000,-3.662, 5.460,-3.662
7udl,ranked_13.pdb,vina,-3.597,-11.798,  0.000,  0.000,  0.000, -3.105,  8.201, -3.105
7udl,ranked_13.pdb,vinardo,2.746,-9.008, 0.000, 0.000, 0.000,-3.680, 6.261,-3.680
7udl,ranked_14.pdb,vina,-3.309,-10.854,  0.000,  0.000,  0.000, -3.197,  7.545, -3.197
7udl,ranked_14.pdb,vinardo,2.485,-8.149, 0.000, 0.000, 0.000,-3.804, 5.665,-3.804
7udl,ranked_15.pdb,vina,-3.302,-10.832,  0.000,  0.000,  0.000, -3.142,  7.529, -3.142
7udl,ranked_15.pdb,vinardo,2.498,-8.194, 0.000, 0.000, 0.000,-3.698, 5.696,-3.698
7udl,ranked_16.pdb,vina,-3.261,-10.697,  0.000,  0.000,  0.000, -3.220,  7.436, -3.220
7udl,ranked_16.pdb,vinardo,2.368,-7.768, 0.000, 0.000, 0.000,-3.776, 5.400,-3.776
7udl,ranked_17.pdb,vina,-3.410,-11.185,  0.000,  0.000,  0.000, -3.200,  7.775, -3.200
7udl,ranked_17.pdb,vinardo,2.519,-8.262, 0.000, 0.000, 0.000,-3.764, 5.743,-3.764
7udl,ranked_18.pdb,vina,-3.233,-10.603,  0.000,  0.000,  0.000, -3.163,  7.371, -3.163
7udl,ranked_18.pdb,vinardo,2.393,-7.850, 0.000, 0.000, 0.000,-3.777, 5.456,-3.777
7udl,ranked_19.pdb,vina,2.321,-7.613, 0.000, 0.000, 0.000,-4.075, 5.292,-4.075
7udl,ranked_19.pdb,vinardo,1.432,-4.696, 0.000, 0.000, 0.000,-4.487, 3.264,-4.487
7udl,ranked_20.pdb,vina,2.283,-7.488, 0.000, 0.000, 0.000,-3.949, 5.205,-3.949
7udl,ranked_20.pdb,vinardo,1.497,-4.911, 0.000, 0.000, 0.000,-4.392, 3.414,-4.392
7udl,ranked_21.pdb,vina,-3.489,-11.442,  0.000,  0.000,  0.000, -3.190,  7.954, -3.190
7udl,ranked_21.pdb,vinardo,2.731,-8.958, 0.000, 0.000, 0.000,-3.771, 6.227,-3.771
7udl,ranked_22.pdb,vina,-3.237,-10.618,  0.000,  0.000,  0.000, -3.012,  7.381, -3.012
7udl,ranked_22.pdb,vinardo,2.360,-7.741, 0.000, 0.000, 0.000,-3.654, 5.381,-3.654
7udl,ranked_23.pdb,vina,2.373,-7.784, 0.000, 0.000, 0.000,-4.019, 5.411,-4.019
7udl,ranked_23.pdb,vinardo,1.580,-5.182, 0.000, 0.000, 0.000,-4.471, 3.602,-4.471
7udl,ranked_24.pdb,vina,-3.543,-11.621,  0.000,  0.000,  0.000, -3.088,  8.078, -3.088
7udl,ranked_24.pdb,vinardo,2.662,-8.731, 0.000, 0.000, 0.000,-3.682, 6.069,-3.682
7udl,ranked_25.pdb,vina,2.459,-8.065, 0.000, 0.000, 0.000,-4.062, 5.606,-4.062
7udl,ranked_25.pdb,vinardo,1.621,-5.318, 0.000, 0.000, 0.000,-4.522, 3.696,-4.522
7udl,ranked_26.pdb,vina,2.557,-8.386, 0.000, 0.000, 0.000,-4.106, 5.829,-4.106
7udl,ranked_26.pdb,vinardo,1.635,-5.362, 0.000, 0.000, 0.000,-4.512, 3.727,-4.512
7udl,ranked_27.pdb,vina,2.132,-6.992, 0.000, 0.000, 0.000,-4.099, 4.860,-4.099
7udl,ranked_27.pdb,vinardo,1.168,-3.831, 0.000, 0.000, 0.000,-4.528, 2.663,-4.528
7udl,ranked_28.pdb,vina,2.261,-7.416, 0.000, 0.000, 0.000,-4.018, 5.155,-4.018
7udl,ranked_28.pdb,vinardo,1.369,-4.491, 0.000, 0.000, 0.000,-4.509, 3.122,-4.509
7udl,ranked_29.pdb,vina,2.493,-8.177, 0.000, 0.000, 0.000,-4.078, 5.684,-4.078
7udl,ranked_29.pdb,vinardo,1.565,-5.132, 0.000, 0.000, 0.000,-4.488, 3.567,-4.488
7udl,ranked_30.pdb,vina,2.352,-7.713, 0.000, 0.000, 0.000,-4.050, 5.361,-4.050
7udl,ranked_30.pdb,vinardo,1.382,-4.532, 0.000, 0.000, 0.000,-4.481, 3.150,-4.481
7udl,ranked_31.pdb,vina,2.887,-9.470, 0.000, 0.000, 0.000,-2.941, 6.583,-2.941
7udl,ranked_31.pdb,vinardo,2.142,-7.025, 0.000, 0.000, 0.000,-3.552, 4.883,-3.552
7udl,ranked_32.pdb,vina,1.884,-6.179, 0.000, 0.000, 0.000,-3.719, 4.295,-3.719
7udl,ranked_32.pdb,vinardo,0.798,-2.616, 0.000, 0.000, 0.000,-4.162, 1.819,-4.162
7udl,ranked_33.pdb,vina,2.073,-6.799, 0.000, 0.000, 0.000,-3.953, 4.726,-3.953
7udl,ranked_33.pdb,vinardo,0.694,-2.276, 0.000, 0.000, 0.000,-4.255, 1.582,-4.255
7udl,ranked_34.pdb,vina,-3.693,-12.113,  0.000,  0.000,  0.000, -3.403,  8.420, -3.403
7udl,ranked_34.pdb,vinardo,2.724,-8.936, 0.000, 0.000, 0.000,-3.884, 6.211,-3.884
7udl,ranked_35.pdb,vina,-3.112,-10.208,  0.000,  0.000,  0.000, -1.124,  7.096, -1.124
7udl,ranked_35.pdb,vinardo,2.684,-8.804, 0.000, 0.000, 0.000,-2.388, 6.120,-2.388
7udl,ranked_36.pdb,vina,2.851,-9.351, 0.000, 0.000, 0.000,-2.970, 6.500,-2.970
7udl,ranked_36.pdb,vinardo,2.061,-6.759, 0.000, 0.000, 0.000,-3.594, 4.699,-3.594
7udl,ranked_37.pdb,vina,3.016,-9.894, 0.000, 0.000, 0.000,-0.496, 6.877,-0.496
7udl,ranked_37.pdb,vinardo,2.649,-8.689, 0.000, 0.000, 0.000,-1.909, 6.040,-1.909
7udl,ranked_38.pdb,vina,2.119,-6.952, 0.000, 0.000, 0.000,-3.037, 4.832,-3.037
7udl,ranked_38.pdb,vinardo,1.287,-4.222, 0.000, 0.000, 0.000,-3.583, 2.935,-3.583
7udl,ranked_39.pdb,vina,1.456,-4.777, 0.000, 0.000, 0.000,-3.459, 3.320,-3.459
7udl,ranked_39.pdb,vinardo,0.124, 0.406, 0.000, 0.000, 0.000,-3.941,-0.282,-3.941
7udl,ranked_40.pdb,vina,2.833,-9.293, 0.000, 0.000, 0.000,-4.272, 6.460,-4.272
7udl,ranked_40.pdb,vinardo,1.039,-3.408, 0.000, 0.000, 0.000,-4.796, 2.369,-4.796
7udl,ranked_41.pdb,vina,0.391, 1.282, 0.000, 0.000, 0.000,-4.113,-0.891,-4.113
7udl,ranked_41.pdb,vinardo,3.097,10.157, 0.000, 0.000, 0.000,-4.790,-7.060,-4.790
7udl,ranked_42.pdb,vina,2.844, 9.330, 0.000, 0.000, 0.000,-2.707,-6.485,-2.707
7udl,ranked_42.pdb,vinardo, 5.583, 18.311,  0.000,  0.000,  0.000, -3.516,-12.728, -3.516
7udl,ranked_43.pdb,vina, 9.116, 29.900,  0.000,  0.000,  0.000, -2.971,-20.784, -2.971
7udl,ranked_43.pdb,vinardo,12.791, 41.953,  0.000,  0.000,  0.000, -3.266,-29.162, -3.266
7udl,ranked_44.pdb,vina, 8.499, 27.877,  0.000,  0.000,  0.000, -2.960,-19.378, -2.960
7udl,ranked_44.pdb,vinardo,11.995, 39.342,  0.000,  0.000,  0.000, -3.176,-27.348, -3.176
7udl,ranked_45.pdb,vina, 9.936, 32.590,  0.000,  0.000,  0.000, -2.847,-22.654, -2.847
7udl,ranked_45.pdb,vinardo,13.937, 45.714,  0.000,  0.000,  0.000, -3.151,-31.776, -3.151
7udl,ranked_46.pdb,vina, 9.902, 32.479,  0.000,  0.000,  0.000, -2.802,-22.577, -2.802
7udl,ranked_46.pdb,vinardo,13.799, 45.258,  0.000,  0.000,  0.000, -3.120,-31.460, -3.120
7udl,ranked_47.pdb,vina,1.004,-3.294, 0.000, 0.000, 0.000,-2.990, 2.290,-2.990
7udl,ranked_47.pdb,vinardo,1.104, 3.621, 0.000, 0.000, 0.000,-3.395,-2.517,-3.395
7udl,ranked_48.pdb,vina, 8.515, 27.930,  0.000,  0.000,  0.000, -2.747,-19.414, -2.747
7udl,ranked_48.pdb,vinardo,11.992, 39.333,  0.000,  0.000,  0.000, -3.022,-27.341, -3.022
7udl,ranked_49.pdb,vina, 9.687, 31.773,  0.000,  0.000,  0.000, -2.611,-22.086, -2.611
7udl,ranked_49.pdb,vinardo,13.564, 44.489,  0.000,  0.000,  0.000, -2.969,-30.925, -2.969
7udl,ranked_50.pdb,vina,11.667, 38.268,  0.000,  0.000,  0.000, -2.741,-26.601, -2.741
7udl,ranked_50.pdb,vinardo,15.924, 52.228,  0.000,  0.000,  0.000, -3.069,-36.305, -3.069
7udl,ranked_51.pdb,vina, 9.790, 32.109,  0.000,  0.000,  0.000, -2.665,-22.320, -2.665
7udl,ranked_51.pdb,vinardo,13.464, 44.162,  0.000,  0.000,  0.000, -3.007,-30.697, -3.007
7udl,ranked_52.pdb,vina,12.616, 41.380,  0.000,  0.000,  0.000, -2.356,-28.764, -2.356
7udl,ranked_52.pdb,vinardo,16.867, 55.321,  0.000,  0.000,  0.000, -2.807,-38.455, -2.807
7udl,ranked_53.pdb,vina,2.059, 6.755, 0.000, 0.000, 0.000, 0.042,-4.695, 0.042
7udl,ranked_53.pdb,vinardo, 4.452, 14.603,  0.000,  0.000,  0.000, -1.358,-10.151, -1.358
7udl,ranked_54.pdb,vina,12.788, 41.945,  0.000,  0.000,  0.000, -2.587,-29.156, -2.587
7udl,ranked_54.pdb,vinardo,17.282, 56.684,  0.000,  0.000,  0.000, -2.930,-39.402, -2.930
7udl,ranked_55.pdb,vina,11.829, 38.799,  0.000,  0.000,  0.000, -2.655,-26.970, -2.655
7udl,ranked_55.pdb,vinardo,16.052, 52.650,  0.000,  0.000,  0.000, -3.003,-36.598, -3.003
7udl,ranked_56.pdb,vina,12.926, 42.397,  0.000,  0.000,  0.000, -2.619,-29.471, -2.619
7udl,ranked_56.pdb,vinardo,17.243, 56.555,  0.000,  0.000,  0.000, -2.986,-39.313, -2.986
7udl,ranked_57.pdb,vina,11.774, 38.618,  0.000,  0.000,  0.000, -2.674,-26.844, -2.674
7udl,ranked_57.pdb,vinardo,15.896, 52.138,  0.000,  0.000,  0.000, -3.011,-36.242, -3.011
7udl,ranked_58.pdb,vina,12.649, 41.487,  0.000,  0.000,  0.000, -2.321,-28.838, -2.321
7udl,ranked_58.pdb,vinardo,16.932, 55.537,  0.000,  0.000,  0.000, -2.682,-38.605, -2.682
7udl,ranked_59.pdb,vina, 7.252, 23.788,  0.000,  0.000,  0.000, -2.102,-16.535, -2.102
7udl,ranked_59.pdb,vinardo,10.467, 34.331,  0.000,  0.000,  0.000, -2.476,-23.864, -2.476
7udl,ranked_60.pdb,vina,10.543, 34.579,  0.000,  0.000,  0.000, -2.424,-24.037, -2.424
7udl,ranked_60.pdb,vinardo,14.451, 47.397,  0.000,  0.000,  0.000, -2.833,-32.947, -2.833
7udl,ranked_61.pdb,vina,2.223, 7.292, 0.000, 0.000, 0.000, 0.307,-5.069, 0.307
7udl,ranked_61.pdb,vinardo, 4.664, 15.298,  0.000,  0.000,  0.000, -1.163,-10.634, -1.163
7udl,ranked_62.pdb,vina,11.349, 37.224,  0.000,  0.000,  0.000, -2.639,-25.875, -2.639
7udl,ranked_62.pdb,vinardo,15.369, 50.410,  0.000,  0.000,  0.000, -2.906,-35.041, -2.906
7udl,ranked_63.pdb,vina, 5.594, 18.347,  0.000,  0.000,  0.000,  0.852,-12.753,  0.852
7udl,ranked_63.pdb,vinardo, 8.529, 27.975,  0.000,  0.000,  0.000, -0.792,-19.446, -0.792
