complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8br9,ranked_0.pdb,vina,3.284,-8.466, 0.000, 0.000, 0.000,-0.428, 5.183,-0.428
8br9,ranked_0.pdb,vinardo,2.220,-5.723, 0.000, 0.000, 0.000,-3.216, 3.504,-3.216
8br9,ranked_1.pdb,vina,3.215,-8.289, 0.000, 0.000, 0.000,-0.308, 5.074,-0.308
8br9,ranked_1.pdb,vinardo,1.977,-5.098, 0.000, 0.000, 0.000,-3.208, 3.121,-3.208
8br9,ranked_2.pdb,vina,3.247,-8.373, 0.000, 0.000, 0.000,-0.236, 5.125,-0.236
8br9,ranked_2.pdb,vinardo,2.003,-5.164, 0.000, 0.000, 0.000,-3.179, 3.161,-3.179
8br9,ranked_3.pdb,vina,3.264,-8.417, 0.000, 0.000, 0.000,-0.116, 5.153,-0.116
8br9,ranked_3.pdb,vinardo,2.060,-5.311, 0.000, 0.000, 0.000,-3.043, 3.251,-3.043
8br9,ranked_4.pdb,vina,3.277,-8.450, 0.000, 0.000, 0.000,-0.275, 5.173,-0.275
8br9,ranked_4.pdb,vinardo,2.184,-5.632, 0.000, 0.000, 0.000,-3.097, 3.448,-3.097
8br9,ranked_5.pdb,vina,3.264,-8.416, 0.000, 0.000, 0.000,-0.315, 5.152,-0.315
8br9,ranked_5.pdb,vinardo,2.177,-5.613, 0.000, 0.000, 0.000,-3.143, 3.436,-3.143
8br9,ranked_6.pdb,vina,3.274,-8.441, 0.000, 0.000, 0.000,-0.403, 5.167,-0.403
8br9,ranked_6.pdb,vinardo,2.179,-5.620, 0.000, 0.000, 0.000,-3.199, 3.440,-3.199
8br9,ranked_7.pdb,vina,3.282,-8.463, 0.000, 0.000, 0.000,-0.323, 5.181,-0.323
8br9,ranked_7.pdb,vinardo,2.218,-5.718, 0.000, 0.000, 0.000,-3.159, 3.500,-3.159
8br9,ranked_8.pdb,vina,3.264,-8.417, 0.000, 0.000, 0.000,-0.381, 5.153,-0.381
8br9,ranked_8.pdb,vinardo,2.175,-5.607, 0.000, 0.000, 0.000,-3.179, 3.432,-3.179
8br9,ranked_9.pdb,vina,3.259,-8.404, 0.000, 0.000, 0.000,-0.334, 5.145,-0.334
8br9,ranked_9.pdb,vinardo,2.176,-5.612, 0.000, 0.000, 0.000,-3.129, 3.435,-3.129
8br9,ranked_10.pdb,vina,3.270,-8.431, 0.000, 0.000, 0.000,-0.417, 5.161,-0.417
8br9,ranked_10.pdb,vinardo,2.178,-5.616, 0.000, 0.000, 0.000,-3.185, 3.438,-3.185
8br9,ranked_11.pdb,vina,3.265,-8.418, 0.000, 0.000, 0.000,-0.085, 5.153,-0.085
8br9,ranked_11.pdb,vinardo,2.040,-5.259, 0.000, 0.000, 0.000,-2.995, 3.219,-2.995
8br9,ranked_12.pdb,vina,3.275,-8.445, 0.000, 0.000, 0.000,-0.174, 5.170,-0.174
8br9,ranked_12.pdb,vinardo,2.044,-5.270, 0.000, 0.000, 0.000,-3.047, 3.226,-3.047
8br9,ranked_13.pdb,vina,3.275,-8.444, 0.000, 0.000, 0.000,-0.308, 5.169,-0.308
8br9,ranked_13.pdb,vinardo,2.186,-5.636, 0.000, 0.000, 0.000,-3.118, 3.450,-3.118
8br9,ranked_14.pdb,vina,3.279,-8.455, 0.000, 0.000, 0.000,-0.399, 5.176,-0.399
8br9,ranked_14.pdb,vinardo,2.196,-5.661, 0.000, 0.000, 0.000,-3.191, 3.466,-3.191
8br9,ranked_15.pdb,vina,3.275,-8.445, 0.000, 0.000, 0.000,-0.381, 5.170,-0.381
8br9,ranked_15.pdb,vinardo,2.195,-5.660, 0.000, 0.000, 0.000,-3.188, 3.465,-3.188
8br9,ranked_16.pdb,vina,3.274,-8.443, 0.000, 0.000, 0.000,-0.428, 5.168,-0.428
8br9,ranked_16.pdb,vinardo,2.176,-5.612, 0.000, 0.000, 0.000,-3.218, 3.435,-3.218
8br9,ranked_17.pdb,vina,3.274,-8.441, 0.000, 0.000, 0.000,-0.390, 5.167,-0.390
8br9,ranked_17.pdb,vinardo,2.188,-5.642, 0.000, 0.000, 0.000,-3.170, 3.454,-3.170
8br9,ranked_18.pdb,vina,3.320,-8.561, 0.000, 0.000, 0.000,-0.469, 5.241,-0.469
8br9,ranked_18.pdb,vinardo,2.249,-5.800, 0.000, 0.000, 0.000,-3.261, 3.551,-3.261
8br9,ranked_19.pdb,vina,3.259,-8.404, 0.000, 0.000, 0.000,-0.437, 5.145,-0.437
8br9,ranked_19.pdb,vinardo,2.168,-5.591, 0.000, 0.000, 0.000,-3.212, 3.422,-3.212
8br9,ranked_20.pdb,vina,3.260,-8.407, 0.000, 0.000, 0.000,-0.013, 5.146,-0.013
8br9,ranked_20.pdb,vinardo,2.035,-5.248, 0.000, 0.000, 0.000,-2.980, 3.213,-2.980
8br9,ranked_21.pdb,vina,3.286,-8.472, 0.000, 0.000, 0.000,-0.463, 5.186,-0.463
8br9,ranked_21.pdb,vinardo,2.213,-5.706, 0.000, 0.000, 0.000,-3.199, 3.493,-3.199
8br9,ranked_22.pdb,vina,3.281,-8.459, 0.000, 0.000, 0.000,-0.412, 5.178,-0.412
8br9,ranked_22.pdb,vinardo,2.200,-5.671, 0.000, 0.000, 0.000,-3.186, 3.472,-3.186
8br9,ranked_23.pdb,vina,3.266,-8.420, 0.000, 0.000, 0.000,-0.315, 5.154,-0.315
8br9,ranked_23.pdb,vinardo,2.178,-5.616, 0.000, 0.000, 0.000,-3.131, 3.438,-3.131
8br9,ranked_24.pdb,vina,3.276,-8.446, 0.000, 0.000, 0.000,-0.368, 5.170,-0.368
8br9,ranked_24.pdb,vinardo,2.189,-5.644, 0.000, 0.000, 0.000,-3.162, 3.455,-3.162
8br9,ranked_25.pdb,vina,3.224,-8.313, 0.000, 0.000, 0.000,-0.470, 5.089,-0.470
8br9,ranked_25.pdb,vinardo,2.153,-5.551, 0.000, 0.000, 0.000,-3.205, 3.398,-3.205
8br9,ranked_26.pdb,vina,3.280,-8.457, 0.000, 0.000, 0.000,-0.335, 5.177,-0.335
8br9,ranked_26.pdb,vinardo,2.197,-5.666, 0.000, 0.000, 0.000,-3.142, 3.468,-3.142
8br9,ranked_27.pdb,vina,3.240,-8.353, 0.000, 0.000, 0.000,-0.103, 5.113,-0.103
8br9,ranked_27.pdb,vinardo,2.019,-5.205, 0.000, 0.000, 0.000,-3.071, 3.186,-3.071
8br9,ranked_28.pdb,vina,3.276,-8.446, 0.000, 0.000, 0.000,-0.311, 5.171,-0.311
8br9,ranked_28.pdb,vinardo,2.195,-5.659, 0.000, 0.000, 0.000,-3.159, 3.464,-3.159
8br9,ranked_29.pdb,vina,3.283,-8.466, 0.000, 0.000, 0.000,-0.295, 5.182,-0.295
8br9,ranked_29.pdb,vinardo,2.081,-5.366, 0.000, 0.000, 0.000,-3.206, 3.285,-3.206
8br9,ranked_30.pdb,vina,3.281,-8.460, 0.000, 0.000, 0.000,-0.389, 5.179,-0.389
8br9,ranked_30.pdb,vinardo,2.190,-5.647, 0.000, 0.000, 0.000,-3.165, 3.457,-3.165
8br9,ranked_31.pdb,vina,3.249,-8.377, 0.000, 0.000, 0.000,-0.447, 5.128,-0.447
8br9,ranked_31.pdb,vinardo,2.167,-5.586, 0.000, 0.000, 0.000,-3.212, 3.420,-3.212
8br9,ranked_32.pdb,vina,3.190,-8.224, 0.000, 0.000, 0.000,-0.054, 5.035,-0.054
8br9,ranked_32.pdb,vinardo,1.952,-5.032, 0.000, 0.000, 0.000,-2.981, 3.080,-2.981
8br9,ranked_33.pdb,vina,3.311,-8.538, 0.000, 0.000, 0.000,-0.383, 5.227,-0.383
8br9,ranked_33.pdb,vinardo,2.218,-5.718, 0.000, 0.000, 0.000,-3.172, 3.500,-3.172
8br9,ranked_34.pdb,vina,3.264,-8.415, 0.000, 0.000, 0.000,-0.468, 5.151,-0.468
8br9,ranked_34.pdb,vinardo,2.171,-5.599, 0.000, 0.000, 0.000,-3.226, 3.427,-3.226
8br9,ranked_35.pdb,vina,3.275,-8.445, 0.000, 0.000, 0.000,-0.420, 5.170,-0.420
8br9,ranked_35.pdb,vinardo,2.183,-5.629, 0.000, 0.000, 0.000,-3.184, 3.446,-3.184
8br9,ranked_36.pdb,vina,3.252,-8.384, 0.000, 0.000, 0.000,-0.410, 5.133,-0.410
8br9,ranked_36.pdb,vinardo,2.163,-5.578, 0.000, 0.000, 0.000,-3.200, 3.415,-3.200
8br9,ranked_37.pdb,vina,3.254,-8.390, 0.000, 0.000, 0.000,-0.418, 5.136,-0.418
8br9,ranked_37.pdb,vinardo,2.161,-5.572, 0.000, 0.000, 0.000,-3.202, 3.411,-3.202
8br9,ranked_38.pdb,vina,3.291,-8.486, 0.000, 0.000, 0.000,-0.317, 5.195,-0.317
8br9,ranked_38.pdb,vinardo,2.187,-5.639, 0.000, 0.000, 0.000,-3.142, 3.452,-3.142
8br9,ranked_39.pdb,vina,3.267,-8.425, 0.000, 0.000, 0.000,-0.161, 5.157,-0.161
8br9,ranked_39.pdb,vinardo,2.059,-5.310, 0.000, 0.000, 0.000,-3.108, 3.250,-3.108
8br9,ranked_40.pdb,vina,3.278,-8.453, 0.000, 0.000, 0.000,-0.432, 5.175,-0.432
8br9,ranked_40.pdb,vinardo,2.186,-5.638, 0.000, 0.000, 0.000,-3.187, 3.451,-3.187
8br9,ranked_41.pdb,vina,3.297,-8.501, 0.000, 0.000, 0.000,-0.281, 5.204,-0.281
8br9,ranked_41.pdb,vinardo,2.225,-5.737, 0.000, 0.000, 0.000,-3.104, 3.512,-3.104
8br9,ranked_42.pdb,vina,3.244,-8.364, 0.000, 0.000, 0.000,-0.344, 5.120,-0.344
8br9,ranked_42.pdb,vinardo,2.150,-5.544, 0.000, 0.000, 0.000,-3.143, 3.394,-3.143
8br9,ranked_43.pdb,vina,3.254,-8.390, 0.000, 0.000, 0.000,-0.240, 5.136,-0.240
8br9,ranked_43.pdb,vinardo,2.042,-5.266, 0.000, 0.000, 0.000,-3.150, 3.224,-3.150
8br9,ranked_44.pdb,vina,3.234,-8.338, 0.000, 0.000, 0.000,-0.341, 5.104,-0.341
8br9,ranked_44.pdb,vinardo,2.151,-5.545, 0.000, 0.000, 0.000,-3.156, 3.394,-3.156
8br9,ranked_45.pdb,vina,3.295,-8.496, 0.000, 0.000, 0.000,-0.243, 5.201,-0.243
8br9,ranked_45.pdb,vinardo,2.095,-5.401, 0.000, 0.000, 0.000,-3.174, 3.306,-3.174
8br9,ranked_46.pdb,vina,3.279,-8.454, 0.000, 0.000, 0.000,-0.326, 5.175,-0.326
8br9,ranked_46.pdb,vinardo,2.179,-5.618, 0.000, 0.000, 0.000,-3.150, 3.439,-3.150
8br9,ranked_47.pdb,vina,3.284,-8.468, 0.000, 0.000, 0.000,-0.349, 5.184,-0.349
