complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7x8g,ranked_0.pdb,vina,1.826, 2.787, 0.000, 0.000, 0.000, 0.491,-0.961, 0.491
7x8g,ranked_0.pdb,vinardo,1.989, 3.035, 0.000, 0.000, 0.000, 0.092,-1.046, 0.092
7x8g,ranked_1.pdb,vina,1.832, 2.796, 0.000, 0.000, 0.000, 0.529,-0.964, 0.529
7x8g,ranked_1.pdb,vinardo,1.998, 3.049, 0.000, 0.000, 0.000, 0.126,-1.051, 0.126
7x8g,ranked_2.pdb,vina,1.728, 2.638, 0.000, 0.000, 0.000, 0.519,-0.909, 0.519
7x8g,ranked_2.pdb,vinardo,1.938, 2.957, 0.000, 0.000, 0.000, 0.113,-1.020, 0.113
7x8g,ranked_3.pdb,vina,1.706, 2.603, 0.000, 0.000, 0.000, 0.522,-0.898, 0.522
7x8g,ranked_3.pdb,vinardo,1.878, 2.867, 0.000, 0.000, 0.000, 0.118,-0.988, 0.118
7x8g,ranked_4.pdb,vina,1.949, 2.975, 0.000, 0.000, 0.000, 0.453,-1.026, 0.453
7x8g,ranked_4.pdb,vinardo,2.114, 3.227, 0.000, 0.000, 0.000, 0.062,-1.112, 0.062
7x8g,ranked_5.pdb,vina,1.933, 2.949, 0.000, 0.000, 0.000, 0.495,-1.017, 0.495
7x8g,ranked_5.pdb,vinardo,2.108, 3.218, 0.000, 0.000, 0.000, 0.099,-1.109, 0.099
7x8g,ranked_6.pdb,vina,1.769, 2.699, 0.000, 0.000, 0.000, 0.508,-0.930, 0.508
7x8g,ranked_6.pdb,vinardo,1.928, 2.942, 0.000, 0.000, 0.000, 0.104,-1.014, 0.104
7x8g,ranked_7.pdb,vina,2.052, 3.132, 0.000, 0.000, 0.000, 0.466,-1.080, 0.466
7x8g,ranked_7.pdb,vinardo,2.208, 3.370, 0.000, 0.000, 0.000, 0.072,-1.162, 0.072
7x8g,ranked_8.pdb,vina,1.908, 2.913, 0.000, 0.000, 0.000, 0.513,-1.004, 0.513
7x8g,ranked_8.pdb,vinardo,2.079, 3.173, 0.000, 0.000, 0.000, 0.109,-1.094, 0.109
7x8g,ranked_9.pdb,vina,1.733, 2.645, 0.000, 0.000, 0.000, 0.526,-0.912, 0.526
7x8g,ranked_9.pdb,vinardo,1.912, 2.918, 0.000, 0.000, 0.000, 0.118,-1.006, 0.118
7x8g,ranked_10.pdb,vina,1.796, 2.740, 0.000, 0.000, 0.000, 0.506,-0.945, 0.506
7x8g,ranked_10.pdb,vinardo,1.965, 2.999, 0.000, 0.000, 0.000, 0.105,-1.034, 0.105
7x8g,ranked_11.pdb,vina,1.956, 2.984, 0.000, 0.000, 0.000, 0.516,-1.029, 0.516
7x8g,ranked_11.pdb,vinardo,2.110, 3.220, 0.000, 0.000, 0.000, 0.114,-1.110, 0.114
7x8g,ranked_12.pdb,vina,2.648, 4.041, 0.000, 0.000, 0.000, 0.607,-1.393, 0.607
7x8g,ranked_12.pdb,vinardo,2.748, 4.194, 0.000, 0.000, 0.000, 0.171,-1.446, 0.171
7x8g,ranked_13.pdb,vina,1.837, 2.804, 0.000, 0.000, 0.000, 0.477,-0.967, 0.477
7x8g,ranked_13.pdb,vinardo,2.015, 3.075, 0.000, 0.000, 0.000, 0.078,-1.060, 0.078
7x8g,ranked_14.pdb,vina,1.861, 2.840, 0.000, 0.000, 0.000, 0.532,-0.979, 0.532
7x8g,ranked_14.pdb,vinardo,2.057, 3.139, 0.000, 0.000, 0.000, 0.127,-1.082, 0.127
7x8g,ranked_15.pdb,vina,1.827, 2.788, 0.000, 0.000, 0.000, 0.495,-0.961, 0.495
7x8g,ranked_15.pdb,vinardo,2.015, 3.075, 0.000, 0.000, 0.000, 0.095,-1.060, 0.095
7x8g,ranked_16.pdb,vina,1.819, 2.777, 0.000, 0.000, 0.000, 0.509,-0.957, 0.509
7x8g,ranked_16.pdb,vinardo,2.009, 3.065, 0.000, 0.000, 0.000, 0.108,-1.057, 0.108
7x8g,ranked_17.pdb,vina,2.057, 3.139, 0.000, 0.000, 0.000, 0.510,-1.082, 0.510
7x8g,ranked_17.pdb,vinardo,2.222, 3.390, 0.000, 0.000, 0.000, 0.106,-1.169, 0.106
7x8g,ranked_18.pdb,vina,1.635, 2.496, 0.000, 0.000, 0.000, 0.519,-0.860, 0.519
7x8g,ranked_18.pdb,vinardo,1.854, 2.830, 0.000, 0.000, 0.000, 0.117,-0.976, 0.117
7x8g,ranked_19.pdb,vina,1.815, 2.770, 0.000, 0.000, 0.000, 0.490,-0.955, 0.490
7x8g,ranked_19.pdb,vinardo,2.024, 3.090, 0.000, 0.000, 0.000, 0.096,-1.065, 0.096
7x8g,ranked_20.pdb,vina,2.054, 3.135, 0.000, 0.000, 0.000, 0.520,-1.081, 0.520
7x8g,ranked_20.pdb,vinardo,2.242, 3.422, 0.000, 0.000, 0.000, 0.116,-1.180, 0.116
7x8g,ranked_21.pdb,vina,2.066, 3.153, 0.000, 0.000, 0.000, 0.484,-1.087, 0.484
7x8g,ranked_21.pdb,vinardo,2.234, 3.410, 0.000, 0.000, 0.000, 0.094,-1.176, 0.094
7x8g,ranked_22.pdb,vina,1.909, 2.914, 0.000, 0.000, 0.000, 0.498,-1.004, 0.498
7x8g,ranked_22.pdb,vinardo,2.089, 3.188, 0.000, 0.000, 0.000, 0.095,-1.099, 0.095
7x8g,ranked_23.pdb,vina,1.564, 2.387, 0.000, 0.000, 0.000, 0.538,-0.823, 0.538
7x8g,ranked_23.pdb,vinardo,1.801, 2.748, 0.000, 0.000, 0.000, 0.130,-0.948, 0.130
7x8g,ranked_24.pdb,vina,1.903, 2.904, 0.000, 0.000, 0.000, 0.524,-1.001, 0.524
7x8g,ranked_24.pdb,vinardo,2.129, 3.249, 0.000, 0.000, 0.000, 0.118,-1.120, 0.118
7x8g,ranked_25.pdb,vina,1.743, 2.661, 0.000, 0.000, 0.000, 0.492,-0.917, 0.492
7x8g,ranked_25.pdb,vinardo,1.944, 2.967, 0.000, 0.000, 0.000, 0.093,-1.023, 0.093
7x8g,ranked_26.pdb,vina,1.769, 2.699, 0.000, 0.000, 0.000, 0.528,-0.931, 0.528
7x8g,ranked_26.pdb,vinardo,1.950, 2.976, 0.000, 0.000, 0.000, 0.121,-1.026, 0.121
7x8g,ranked_27.pdb,vina,1.574, 2.402, 0.000, 0.000, 0.000, 0.510,-0.828, 0.510
7x8g,ranked_27.pdb,vinardo,1.789, 2.731, 0.000, 0.000, 0.000, 0.101,-0.941, 0.101
7x8g,ranked_28.pdb,vina,2.085, 3.182, 0.000, 0.000, 0.000, 0.504,-1.097, 0.504
7x8g,ranked_28.pdb,vinardo,2.261, 3.450, 0.000, 0.000, 0.000, 0.114,-1.190, 0.114
7x8g,ranked_29.pdb,vina,2.138, 3.263, 0.000, 0.000, 0.000, 0.485,-1.125, 0.485
7x8g,ranked_29.pdb,vinardo,2.314, 3.531, 0.000, 0.000, 0.000, 0.083,-1.217, 0.083
7x8g,ranked_30.pdb,vina,1.685, 2.571, 0.000, 0.000, 0.000, 0.483,-0.886, 0.483
7x8g,ranked_30.pdb,vinardo,1.864, 2.845, 0.000, 0.000, 0.000, 0.084,-0.981, 0.084
7x8g,ranked_31.pdb,vina,1.919, 2.928, 0.000, 0.000, 0.000, 0.493,-1.010, 0.493
7x8g,ranked_31.pdb,vinardo,2.078, 3.171, 0.000, 0.000, 0.000, 0.094,-1.093, 0.094
7x8g,ranked_32.pdb,vina,1.860, 2.839, 0.000, 0.000, 0.000, 0.527,-0.979, 0.527
7x8g,ranked_32.pdb,vinardo,2.049, 3.127, 0.000, 0.000, 0.000, 0.120,-1.078, 0.120
7x8g,ranked_33.pdb,vina,1.966, 3.001, 0.000, 0.000, 0.000, 0.457,-1.035, 0.457
7x8g,ranked_33.pdb,vinardo,2.141, 3.268, 0.000, 0.000, 0.000, 0.061,-1.127, 0.061
7x8g,ranked_34.pdb,vina,1.875, 2.861, 0.000, 0.000, 0.000, 0.519,-0.986, 0.519
7x8g,ranked_34.pdb,vinardo,2.049, 3.128, 0.000, 0.000, 0.000, 0.118,-1.078, 0.118
7x8g,ranked_35.pdb,vina,2.090, 3.189, 0.000, 0.000, 0.000, 0.537,-1.099, 0.537
