Filename,Value,AlphaFold Rank
ranked_812.pdb_clean,0.7134,812.0
ranked_809.pdb_clean,0.6846,809.0
ranked_814.pdb_clean,0.6741,814.0
ranked_806.pdb_clean,0.5962,806.0
ranked_805.pdb_clean,0.5621,805.0
ranked_804.pdb_clean,0.5566,804.0
ranked_883.pdb_clean,0.5560,883.0
ranked_882.pdb_clean,0.5503,882.0
ranked_848.pdb_clean,0.5390,848.0
ranked_841.pdb_clean,0.5336,841.0
ranked_807.pdb_clean,0.5328,807.0
ranked_861.pdb_clean,0.5233,861.0
ranked_866.pdb_clean,0.5212,866.0
ranked_867.pdb_clean,0.5072,867.0
ranked_974.pdb_clean,0.4905,974.0
ranked_846.pdb_clean,0.4863,846.0
ranked_803.pdb_clean,0.4796,803.0
ranked_9.pdb_clean,0.4739,9.0
ranked_100.pdb_clean,0.4721,100.0
ranked_117.pdb_clean,0.4715,117.0
ranked_62.pdb_clean,0.4703,62.0
ranked_22.pdb_clean,0.4703,22.0
ranked_160.pdb_clean,0.4697,160.0
ranked_174.pdb_clean,0.4687,174.0
ranked_30.pdb_clean,0.4676,30.0
ranked_854.pdb_clean,0.4669,854.0
ranked_42.pdb_clean,0.4666,42.0
ranked_802.pdb_clean,0.4655,802.0
ranked_173.pdb_clean,0.4623,173.0
ranked_801.pdb_clean,0.4620,801.0
ranked_140.pdb_clean,0.4608,140.0
ranked_32.pdb_clean,0.4598,32.0
ranked_168.pdb_clean,0.4596,168.0
ranked_66.pdb_clean,0.4595,66.0
ranked_51.pdb_clean,0.4588,51.0
ranked_111.pdb_clean,0.4578,111.0
ranked_607.pdb_clean,0.4562,607.0
ranked_999.pdb_clean,0.4546,999.0
ranked_563.pdb_clean,0.4539,563.0
ranked_158.pdb_clean,0.4538,158.0
ranked_126.pdb_clean,0.4536,126.0
ranked_842.pdb_clean,0.4534,842.0
ranked_562.pdb_clean,0.4533,562.0
ranked_35.pdb_clean,0.4520,35.0
ranked_489.pdb_clean,0.4509,489.0
ranked_183.pdb_clean,0.4500,183.0
ranked_501.pdb_clean,0.4496,501.0
ranked_60.pdb_clean,0.4493,60.0
ranked_542.pdb_clean,0.4489,542.0
ranked_600.pdb_clean,0.4486,600.0
ranked_912.pdb_clean,0.4479,912.0
ranked_186.pdb_clean,0.4477,186.0
ranked_86.pdb_clean,0.4474,86.0
ranked_150.pdb_clean,0.4470,150.0
ranked_611.pdb_clean,0.4468,611.0
ranked_568.pdb_clean,0.4463,568.0
ranked_43.pdb_clean,0.4459,43.0
ranked_167.pdb_clean,0.4457,167.0
ranked_102.pdb_clean,0.4454,102.0
ranked_868.pdb_clean,0.4451,868.0
ranked_171.pdb_clean,0.4451,171.0
ranked_89.pdb_clean,0.4450,89.0
ranked_878.pdb_clean,0.4444,878.0
ranked_121.pdb_clean,0.4443,121.0
ranked_65.pdb_clean,0.4432,65.0
ranked_70.pdb_clean,0.4427,70.0
ranked_185.pdb_clean,0.4423,185.0
ranked_108.pdb_clean,0.4422,108.0
ranked_151.pdb_clean,0.4420,151.0
ranked_166.pdb_clean,0.4415,166.0
ranked_3.pdb_clean,0.4412,3.0
ranked_179.pdb_clean,0.4406,179.0
ranked_123.pdb_clean,0.4406,123.0
ranked_176.pdb_clean,0.4398,176.0
ranked_24.pdb_clean,0.4385,24.0
ranked_107.pdb_clean,0.4382,107.0
ranked_195.pdb_clean,0.4381,195.0
ranked_188.pdb_clean,0.4373,188.0
ranked_13.pdb_clean,0.4372,13.0
ranked_887.pdb_clean,0.4369,887.0
ranked_16.pdb_clean,0.4368,16.0
ranked_90.pdb_clean,0.4366,90.0
ranked_71.pdb_clean,0.4366,71.0
ranked_20.pdb_clean,0.4361,20.0
ranked_164.pdb_clean,0.4358,164.0
ranked_83.pdb_clean,0.4354,83.0
ranked_138.pdb_clean,0.4352,138.0
ranked_839.pdb_clean,0.4347,839.0
ranked_361.pdb_clean,0.4343,361.0
ranked_47.pdb_clean,0.4335,47.0
ranked_8.pdb_clean,0.4334,8.0
ranked_494.pdb_clean,0.4334,494.0
ranked_524.pdb_clean,0.4331,524.0
ranked_471.pdb_clean,0.4326,471.0
ranked_609.pdb_clean,0.4323,609.0
ranked_594.pdb_clean,0.4322,594.0
ranked_53.pdb_clean,0.4320,53.0
ranked_169.pdb_clean,0.4318,169.0
ranked_162.pdb_clean,0.4314,162.0
ranked_116.pdb_clean,0.4312,116.0
ranked_549.pdb_clean,0.4308,549.0
ranked_144.pdb_clean,0.4307,144.0
ranked_105.pdb_clean,0.4305,105.0
ranked_233.pdb_clean,0.4304,233.0
ranked_84.pdb_clean,0.4303,84.0
ranked_112.pdb_clean,0.4299,112.0
ranked_182.pdb_clean,0.4295,182.0
ranked_157.pdb_clean,0.4295,157.0
ranked_193.pdb_clean,0.4293,193.0
ranked_395.pdb_clean,0.4291,395.0
ranked_575.pdb_clean,0.4290,575.0
ranked_503.pdb_clean,0.4288,503.0
