complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8d51,ranked_0.pdb,vina,1.982,-3.952, 0.000, 0.000, 0.000,-1.402, 1.970,-1.402
8d51,ranked_0.pdb,vinardo,1.316,-2.623, 0.000, 0.000, 0.000,-2.093, 1.307,-2.093
8d51,ranked_1.pdb,vina,1.933,-3.854, 0.000, 0.000, 0.000,-1.339, 1.921,-1.339
8d51,ranked_1.pdb,vinardo,1.285,-2.561, 0.000, 0.000, 0.000,-1.977, 1.277,-1.977
8d51,ranked_2.pdb,vina,2.048,-4.083, 0.000, 0.000, 0.000,-1.320, 2.035,-1.320
8d51,ranked_2.pdb,vinardo,1.350,-2.692, 0.000, 0.000, 0.000,-2.000, 1.342,-2.000
8d51,ranked_3.pdb,vina,1.969,-3.926, 0.000, 0.000, 0.000,-1.295, 1.957,-1.295
8d51,ranked_3.pdb,vinardo,1.286,-2.565, 0.000, 0.000, 0.000,-1.990, 1.278,-1.990
8d51,ranked_4.pdb,vina,2.034,-4.056, 0.000, 0.000, 0.000,-1.349, 2.022,-1.349
8d51,ranked_4.pdb,vinardo,1.360,-2.711, 0.000, 0.000, 0.000,-2.017, 1.351,-2.017
8d51,ranked_5.pdb,vina,2.022,-4.031, 0.000, 0.000, 0.000,-1.295, 2.009,-1.295
8d51,ranked_5.pdb,vinardo,1.355,-2.703, 0.000, 0.000, 0.000,-2.045, 1.347,-2.045
8d51,ranked_6.pdb,vina,2.050,-4.086, 0.000, 0.000, 0.000,-1.345, 2.037,-1.345
8d51,ranked_6.pdb,vinardo,1.344,-2.679, 0.000, 0.000, 0.000,-2.054, 1.336,-2.054
8d51,ranked_7.pdb,vina,2.016,-4.020, 0.000, 0.000, 0.000,-1.292, 2.004,-1.292
8d51,ranked_7.pdb,vinardo,1.350,-2.692, 0.000, 0.000, 0.000,-1.992, 1.342,-1.992
8d51,ranked_8.pdb,vina,2.063,-4.113, 0.000, 0.000, 0.000,-1.343, 2.050,-1.343
8d51,ranked_8.pdb,vinardo,1.370,-2.731, 0.000, 0.000, 0.000,-2.026, 1.361,-2.026
8d51,ranked_9.pdb,vina,2.027,-4.041, 0.000, 0.000, 0.000,-1.294, 2.014,-1.294
8d51,ranked_9.pdb,vinardo,1.346,-2.684, 0.000, 0.000, 0.000,-2.019, 1.338,-2.019
8d51,ranked_10.pdb,vina,1.982,-3.953, 0.000, 0.000, 0.000,-1.402, 1.970,-1.402
8d51,ranked_10.pdb,vinardo,1.311,-2.615, 0.000, 0.000, 0.000,-2.067, 1.303,-2.067
8d51,ranked_11.pdb,vina,2.065,-4.118, 0.000, 0.000, 0.000,-1.346, 2.052,-1.346
8d51,ranked_11.pdb,vinardo,1.385,-2.762, 0.000, 0.000, 0.000,-2.017, 1.377,-2.017
8d51,ranked_12.pdb,vina,2.022,-4.031, 0.000, 0.000, 0.000,-1.449, 2.009,-1.449
8d51,ranked_12.pdb,vinardo,1.341,-2.674, 0.000, 0.000, 0.000,-2.113, 1.333,-2.113
8d51,ranked_13.pdb,vina,1.970,-3.928, 0.000, 0.000, 0.000,-1.419, 1.958,-1.419
8d51,ranked_13.pdb,vinardo,1.309,-2.611, 0.000, 0.000, 0.000,-2.111, 1.301,-2.111
8d51,ranked_14.pdb,vina,1.949,-3.887, 0.000, 0.000, 0.000,-1.386, 1.937,-1.386
8d51,ranked_14.pdb,vinardo,1.255,-2.502, 0.000, 0.000, 0.000,-2.084, 1.247,-2.084
8d51,ranked_15.pdb,vina,1.942,-3.872, 0.000, 0.000, 0.000,-1.446, 1.930,-1.446
8d51,ranked_15.pdb,vinardo,1.268,-2.529, 0.000, 0.000, 0.000,-2.143, 1.261,-2.143
8d51,ranked_16.pdb,vina,2.062,-4.111, 0.000, 0.000, 0.000,-1.339, 2.049,-1.339
8d51,ranked_16.pdb,vinardo,1.372,-2.736, 0.000, 0.000, 0.000,-2.003, 1.364,-2.003
8d51,ranked_17.pdb,vina,2.000,-3.987, 0.000, 0.000, 0.000,-1.280, 1.987,-1.280
8d51,ranked_17.pdb,vinardo,1.326,-2.644, 0.000, 0.000, 0.000,-2.008, 1.318,-2.008
8d51,ranked_18.pdb,vina,1.993,-3.974, 0.000, 0.000, 0.000,-1.315, 1.981,-1.315
8d51,ranked_18.pdb,vinardo,1.319,-2.630, 0.000, 0.000, 0.000,-1.963, 1.311,-1.963
8d51,ranked_19.pdb,vina,1.964,-3.916, 0.000, 0.000, 0.000,-1.402, 1.952,-1.402
8d51,ranked_19.pdb,vinardo,1.296,-2.584, 0.000, 0.000, 0.000,-2.066, 1.288,-2.066
8d51,ranked_20.pdb,vina,2.012,-4.013, 0.000, 0.000, 0.000,-1.424, 2.000,-1.424
8d51,ranked_20.pdb,vinardo,1.322,-2.636, 0.000, 0.000, 0.000,-2.016, 1.314,-2.016
8d51,ranked_21.pdb,vina,1.985,-3.958, 0.000, 0.000, 0.000,-1.291, 1.973,-1.291
8d51,ranked_21.pdb,vinardo,1.290,-2.572, 0.000, 0.000, 0.000,-1.989, 1.282,-1.989
8d51,ranked_22.pdb,vina,1.985,-3.959, 0.000, 0.000, 0.000,-1.403, 1.973,-1.403
8d51,ranked_22.pdb,vinardo,1.306,-2.604, 0.000, 0.000, 0.000,-2.109, 1.298,-2.109
8d51,ranked_23.pdb,vina,2.011,-4.009, 0.000, 0.000, 0.000,-1.324, 1.998,-1.324
8d51,ranked_23.pdb,vinardo,1.331,-2.653, 0.000, 0.000, 0.000,-2.021, 1.323,-2.021
8d51,ranked_24.pdb,vina,2.048,-4.084, 0.000, 0.000, 0.000,-1.374, 2.036,-1.374
8d51,ranked_24.pdb,vinardo,1.353,-2.697, 0.000, 0.000, 0.000,-2.063, 1.345,-2.063
8d51,ranked_25.pdb,vina,2.031,-4.050, 0.000, 0.000, 0.000,-1.297, 2.019,-1.297
8d51,ranked_25.pdb,vinardo,1.353,-2.697, 0.000, 0.000, 0.000,-1.976, 1.344,-1.976
8d51,ranked_26.pdb,vina,2.011,-4.010, 0.000, 0.000, 0.000,-1.365, 1.999,-1.365
8d51,ranked_26.pdb,vinardo,1.339,-2.670, 0.000, 0.000, 0.000,-2.045, 1.331,-2.045
8d51,ranked_27.pdb,vina,2.002,-3.993, 0.000, 0.000, 0.000,-1.316, 1.990,-1.316
8d51,ranked_27.pdb,vinardo,1.317,-2.626, 0.000, 0.000, 0.000,-1.986, 1.309,-1.986
8d51,ranked_28.pdb,vina,2.012,-4.012, 0.000, 0.000, 0.000,-1.337, 2.000,-1.337
8d51,ranked_28.pdb,vinardo,1.342,-2.677, 0.000, 0.000, 0.000,-2.003, 1.334,-2.003
