#  old_rank	structure_name		score
0	149	ranked_149.pdb_clean	-420.3019743252853
1	680	ranked_680.pdb_clean	-374.65044917572567
2	666	ranked_666.pdb_clean	-363.33705389838093
3	248	ranked_248.pdb_clean	-352.06686837399076
4	271	ranked_271.pdb_clean	-350.37925737911814
5	321	ranked_321.pdb_clean	-349.4638874999449
6	888	ranked_888.pdb_clean	-322.3636996964744
7	701	ranked_701.pdb_clean	-317.77350067846834
8	955	ranked_955.pdb_clean	-309.55876894384454
9	856	ranked_856.pdb_clean	-304.16121144392173
10	833	ranked_833.pdb_clean	-294.80713658603605
11	903	ranked_903.pdb_clean	-286.2952670397889
12	841	ranked_841.pdb_clean	-284.19790485512874
13	893	ranked_893.pdb_clean	-281.7415868427546
14	980	ranked_980.pdb_clean	-273.70884354045114
15	824	ranked_824.pdb_clean	-273.23185312363574
16	13	ranked_13.pdb_clean	-271.323168350489
17	17	ranked_17.pdb_clean	-270.0920239780898
18	56	ranked_56.pdb_clean	-267.2255041500262
19	566	ranked_566.pdb_clean	-244.5233202720421
20	4	ranked_4.pdb_clean	-236.13822381750754
21	920	ranked_920.pdb_clean	-232.38056960631658
22	870	ranked_870.pdb_clean	-224.4522222968531
23	892	ranked_892.pdb_clean	-217.42955813208513
24	209	ranked_209.pdb_clean	-202.6734911431808
25	68	ranked_68.pdb_clean	-195.53132621263904
26	198	ranked_198.pdb_clean	-191.6175442610997
27	322	ranked_322.pdb_clean	-188.31621515880528
28	23	ranked_23.pdb_clean	-180.4293413243702
29	233	ranked_233.pdb_clean	-178.9421099190569
30	165	ranked_165.pdb_clean	-170.54177784245059
31	639	ranked_639.pdb_clean	-166.39000923518566
32	224	ranked_224.pdb_clean	-165.40140794632285
33	179	ranked_179.pdb_clean	-164.99699217914142
34	151	ranked_151.pdb_clean	-164.6233928975193
35	259	ranked_259.pdb_clean	-163.12819589037866
36	423	ranked_423.pdb_clean	-162.09400219647577
37	6	ranked_6.pdb_clean	-161.84172799551087
38	353	ranked_353.pdb_clean	-161.23304632193032
39	135	ranked_135.pdb_clean	-156.35477843900802
40	918	ranked_918.pdb_clean	-156.1595633347935
41	840	ranked_840.pdb_clean	-149.58854474035462
42	302	ranked_302.pdb_clean	-141.61546764198204
