#  old_rank	structure_name		score
0	154	ranked_154.pdb_clean	-414.86378932785044
1	168	ranked_168.pdb_clean	-413.62639693659224
2	204	ranked_204.pdb_clean	-409.29269647853556
3	267	ranked_267.pdb_clean	-406.1665288455343
4	180	ranked_180.pdb_clean	-404.79523225268406
5	162	ranked_162.pdb_clean	-404.7236229933488
6	150	ranked_150.pdb_clean	-401.24418157354535
7	105	ranked_105.pdb_clean	-400.78494066489907
8	225	ranked_225.pdb_clean	-400.6397332526317
9	36	ranked_36.pdb_clean	-400.4318199173682
10	215	ranked_215.pdb_clean	-400.27103144254386
11	218	ranked_218.pdb_clean	-400.0931175578447
12	48	ranked_48.pdb_clean	-399.8688697652927
13	212	ranked_212.pdb_clean	-399.0704629987329
14	111	ranked_111.pdb_clean	-397.3647585314144
15	135	ranked_135.pdb_clean	-397.2043174361023
16	169	ranked_169.pdb_clean	-395.7941895039425
17	185	ranked_185.pdb_clean	-392.75791993321513
18	173	ranked_173.pdb_clean	-392.636501990935
19	183	ranked_183.pdb_clean	-390.8239657140204
20	192	ranked_192.pdb_clean	-388.61947509728907
21	280	ranked_280.pdb_clean	-388.428430678454
22	114	ranked_114.pdb_clean	-388.1374834447224
23	177	ranked_177.pdb_clean	-387.80887558829477
24	107	ranked_107.pdb_clean	-386.501929640083
25	222	ranked_222.pdb_clean	-386.48710515107757
26	345	ranked_345.pdb_clean	-383.72392681356587
27	90	ranked_90.pdb_clean	-382.6305335284629
28	214	ranked_214.pdb_clean	-382.5480714062945
29	181	ranked_181.pdb_clean	-380.90389719001956
30	133	ranked_133.pdb_clean	-379.07233657827607
31	88	ranked_88.pdb_clean	-378.64607495014934
32	322	ranked_322.pdb_clean	-376.74593171564754
33	24	ranked_24.pdb_clean	-374.42372329414513
34	136	ranked_136.pdb_clean	-372.8634632605544
35	69	ranked_69.pdb_clean	-372.54213554339583
36	229	ranked_229.pdb_clean	-371.59206633589037
37	216	ranked_216.pdb_clean	-370.7316782623906
38	96	ranked_96.pdb_clean	-370.19735003549886
39	115	ranked_115.pdb_clean	-369.3465429292972
40	56	ranked_56.pdb_clean	-365.9517385442372
41	125	ranked_125.pdb_clean	-365.6361192890197
42	11	ranked_11.pdb_clean	-365.3343515888237
43	75	ranked_75.pdb_clean	-363.8292348131999
44	175	ranked_175.pdb_clean	-362.8413724349911
45	92	ranked_92.pdb_clean	-362.3918454295128
46	385	ranked_385.pdb_clean	-361.98671671245705
47	119	ranked_119.pdb_clean	-361.10934131922596
48	79	ranked_79.pdb_clean	-360.9021544368744
49	31	ranked_31.pdb_clean	-360.59453014975406
50	431	ranked_431.pdb_clean	-360.0255731548849
51	440	ranked_440.pdb_clean	-359.6800845410277
52	344	ranked_344.pdb_clean	-358.4889281254164
53	243	ranked_243.pdb_clean	-358.24213096417265
54	452	ranked_452.pdb_clean	-358.08900974780823
55	260	ranked_260.pdb_clean	-357.34477108445543
56	525	ranked_525.pdb_clean	-357.2112507202127
57	424	ranked_424.pdb_clean	-357.1669865868355
58	83	ranked_83.pdb_clean	-356.95987816115354
59	417	ranked_417.pdb_clean	-355.96041773192815
60	18	ranked_18.pdb_clean	-355.35641292311993
61	414	ranked_414.pdb_clean	-355.35194638523643
62	412	ranked_412.pdb_clean	-355.10375369969415
63	82	ranked_82.pdb_clean	-355.0647571550832
64	436	ranked_436.pdb_clean	-354.8526557141369
65	240	ranked_240.pdb_clean	-354.30922510193204
66	488	ranked_488.pdb_clean	-354.3026210408243
67	413	ranked_413.pdb_clean	-353.6118108174372
68	374	ranked_374.pdb_clean	-353.5577826478364
69	382	ranked_382.pdb_clean	-353.42702475021554
70	323	ranked_323.pdb_clean	-353.3492095063662
71	28	ranked_28.pdb_clean	-352.5301040002215
72	456	ranked_456.pdb_clean	-352.4156045230896
73	503	ranked_503.pdb_clean	-352.0638176442073
74	213	ranked_213.pdb_clean	-352.0126205252907
75	45	ranked_45.pdb_clean	-351.562833981097
76	257	ranked_257.pdb_clean	-351.26589777277906
77	211	ranked_211.pdb_clean	-351.22375957964533
78	390	ranked_390.pdb_clean	-351.1065932748279
79	104	ranked_104.pdb_clean	-350.5589904796575
80	187	ranked_187.pdb_clean	-350.37775679804525
81	153	ranked_153.pdb_clean	-350.25964715787177
82	407	ranked_407.pdb_clean	-350.2440048859643
83	157	ranked_157.pdb_clean	-350.2425320987469
84	523	ranked_523.pdb_clean	-350.1999514435527
85	394	ranked_394.pdb_clean	-349.6370361820796
86	528	ranked_528.pdb_clean	-349.5049249760093
87	163	ranked_163.pdb_clean	-349.22068494196765
88	255	ranked_255.pdb_clean	-348.69845148726665
89	252	ranked_252.pdb_clean	-348.6948460679958
90	239	ranked_239.pdb_clean	-348.6469888408019
