#  old_rank	structure_name		score
0	664	ranked_664.pdb_clean	-123.24626323672672
1	648	ranked_648.pdb_clean	-116.13973429886263
2	489	ranked_489.pdb_clean	-110.84145052897335
3	583	ranked_583.pdb_clean	-110.33342408996717
4	791	ranked_791.pdb_clean	-110.23946197782621
5	609	ranked_609.pdb_clean	-104.64490534305025
6	316	ranked_316.pdb_clean	-103.0443327236747
7	529	ranked_529.pdb_clean	-101.61601810335614
8	750	ranked_750.pdb_clean	-99.29089318057214
9	332	ranked_332.pdb_clean	-93.18514996442772
10	411	ranked_411.pdb_clean	-87.77453555630979
11	412	ranked_412.pdb_clean	-83.80439336393539
12	558	ranked_558.pdb_clean	-82.15383242526806
13	443	ranked_443.pdb_clean	-79.45232058021502
14	710	ranked_710.pdb_clean	-78.86682464438084
15	738	ranked_738.pdb_clean	-73.8902272019087
16	706	ranked_706.pdb_clean	-72.56759466478314
17	810	ranked_810.pdb_clean	-71.24508127485493
18	789	ranked_789.pdb_clean	-69.8733719584464
19	670	ranked_670.pdb_clean	-65.83899904730413
20	669	ranked_669.pdb_clean	-63.98618991422956
21	349	ranked_349.pdb_clean	-58.02007583392252
22	703	ranked_703.pdb_clean	-55.67012823662617
23	472	ranked_472.pdb_clean	-52.57411836777683
24	478	ranked_478.pdb_clean	-50.92061132659118
25	588	ranked_588.pdb_clean	-50.17945667602928
26	904	ranked_904.pdb_clean	-49.865928636603726
27	537	ranked_537.pdb_clean	-49.45904674054195
28	419	ranked_419.pdb_clean	-46.79917707138659
29	646	ranked_646.pdb_clean	-41.97547910221903
30	905	ranked_905.pdb_clean	-37.45654259597812
31	665	ranked_665.pdb_clean	-37.22549470324159
32	345	ranked_345.pdb_clean	-34.160423976944394
33	752	ranked_752.pdb_clean	-33.91014686553274
34	454	ranked_454.pdb_clean	-33.828418606745835
35	347	ranked_347.pdb_clean	-32.37537067851281
36	565	ranked_565.pdb_clean	-31.69417848107055
37	300	ranked_300.pdb_clean	-30.32535895908329
38	591	ranked_591.pdb_clean	-29.327152193468834
39	622	ranked_622.pdb_clean	-27.803136325327642
40	396	ranked_396.pdb_clean	-25.874462780947667
41	268	ranked_268.pdb_clean	-22.144073569410303
42	325	ranked_325.pdb_clean	-19.110020984437334
43	321	ranked_321.pdb_clean	-17.29804309098204
44	730	ranked_730.pdb_clean	-14.028209140337182
45	774	ranked_774.pdb_clean	-12.487032025575502
46	535	ranked_535.pdb_clean	-10.606251009940141
47	769	ranked_769.pdb_clean	-8.979909830980226
