complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8ia5,ranked_0.pdb,vina,0.851,-2.591, 0.000, 0.000, 0.000, 0.893, 1.740, 0.893
8ia5,ranked_0.pdb,vinardo,0.581, 1.770, 0.000, 0.000, 0.000,-1.279,-1.189,-1.279
8ia5,ranked_1.pdb,vina,0.771,-2.349, 0.000, 0.000, 0.000, 0.304, 1.578, 0.304
8ia5,ranked_1.pdb,vinardo,0.685, 2.086, 0.000, 0.000, 0.000,-1.894,-1.401,-1.894
8ia5,ranked_2.pdb,vina,0.756,-2.303, 0.000, 0.000, 0.000, 0.035, 1.547, 0.035
8ia5,ranked_2.pdb,vinardo,0.706, 2.150, 0.000, 0.000, 0.000,-2.115,-1.445,-2.115
8ia5,ranked_3.pdb,vina,1.158,-3.527, 0.000, 0.000, 0.000,-0.207, 2.369,-0.207
8ia5,ranked_3.pdb,vinardo,0.263, 0.801, 0.000, 0.000, 0.000,-2.390,-0.538,-2.390
8ia5,ranked_4.pdb,vina,1.253,-3.816, 0.000, 0.000, 0.000, 0.059, 2.563, 0.059
8ia5,ranked_4.pdb,vinardo,0.188, 0.572, 0.000, 0.000, 0.000,-2.101,-0.384,-2.101
8ia5,ranked_5.pdb,vina,1.696,-4.275, 0.000, 0.000, 0.000,-2.353, 2.578,-2.353
8ia5,ranked_5.pdb,vinardo,0.059,-0.149, 0.000, 0.000, 0.000,-3.639, 0.090,-3.639
8ia5,ranked_6.pdb,vina,0.843,-2.567, 0.000, 0.000, 0.000, 1.321, 1.724, 1.321
8ia5,ranked_6.pdb,vinardo,0.558, 1.698, 0.000, 0.000, 0.000,-0.886,-1.141,-0.886
8ia5,ranked_7.pdb,vina,0.999,-3.043, 0.000, 0.000, 0.000, 0.344, 2.044, 0.344
8ia5,ranked_7.pdb,vinardo,0.388, 1.181, 0.000, 0.000, 0.000,-1.871,-0.793,-1.871
8ia5,ranked_8.pdb,vina,1.152,-3.508, 0.000, 0.000, 0.000, 2.919, 2.357, 2.919
8ia5,ranked_8.pdb,vinardo,0.176, 0.537, 0.000, 0.000, 0.000, 0.942,-0.361, 0.942
8ia5,ranked_9.pdb,vina,0.891,-2.715, 0.000, 0.000, 0.000, 1.206, 1.824, 1.206
8ia5,ranked_9.pdb,vinardo,0.505, 1.539, 0.000, 0.000, 0.000,-0.958,-1.034,-0.958
8ia5,ranked_10.pdb,vina,0.913,-2.782, 0.000, 0.000, 0.000, 0.380, 1.868, 0.380
8ia5,ranked_10.pdb,vinardo,0.559, 1.702, 0.000, 0.000, 0.000,-1.771,-1.143,-1.771
8ia5,ranked_11.pdb,vina,1.228,-3.741, 0.000, 0.000, 0.000, 0.363, 2.513, 0.363
8ia5,ranked_11.pdb,vinardo,0.197, 0.600, 0.000, 0.000, 0.000,-1.895,-0.403,-1.895
8ia5,ranked_12.pdb,vina,1.030,-3.137, 0.000, 0.000, 0.000, 1.917, 2.107, 1.917
8ia5,ranked_12.pdb,vinardo,0.379, 1.155, 0.000, 0.000, 0.000,-0.241,-0.776,-0.241
8ia5,ranked_13.pdb,vina,0.935,-2.849, 0.000, 0.000, 0.000, 0.659, 1.913, 0.659
8ia5,ranked_13.pdb,vinardo,0.468, 1.425, 0.000, 0.000, 0.000,-1.543,-0.957,-1.543
8ia5,ranked_14.pdb,vina,1.641,-4.136, 0.000, 0.000, 0.000,-2.703, 2.495,-2.703
8ia5,ranked_14.pdb,vinardo,0.019, 0.048, 0.000, 0.000, 0.000,-4.137,-0.029,-4.137
8ia5,ranked_15.pdb,vina,1.241,-3.782, 0.000, 0.000, 0.000, 1.721, 2.540, 1.721
8ia5,ranked_15.pdb,vinardo,0.171, 0.521, 0.000, 0.000, 0.000,-0.494,-0.350,-0.494
8ia5,ranked_16.pdb,vina,1.026,-3.124, 0.000, 0.000, 0.000, 3.772, 2.098, 3.772
8ia5,ranked_16.pdb,vinardo,0.367, 1.119, 0.000, 0.000, 0.000, 1.856,-0.752, 1.856
8ia5,ranked_17.pdb,vina,0.729,-2.220, 0.000, 0.000, 0.000, 0.322, 1.491, 0.322
8ia5,ranked_17.pdb,vinardo,0.759, 2.311, 0.000, 0.000, 0.000,-1.876,-1.552,-1.876
8ia5,ranked_18.pdb,vina,1.153,-2.906, 0.000, 0.000, 0.000,-2.648, 1.753,-2.648
8ia5,ranked_18.pdb,vinardo,0.585, 1.475, 0.000, 0.000, 0.000,-4.057,-0.890,-4.057
8ia5,ranked_19.pdb,vina,1.351,-3.403, 0.000, 0.000, 0.000,-1.925, 2.053,-1.925
8ia5,ranked_19.pdb,vinardo,0.347, 0.874, 0.000, 0.000, 0.000,-3.235,-0.527,-3.235
8ia5,ranked_20.pdb,vina,0.888,-2.704, 0.000, 0.000, 0.000, 4.859, 1.816, 4.859
8ia5,ranked_20.pdb,vinardo,0.561, 1.708, 0.000, 0.000, 0.000, 2.337,-1.147, 2.337
8ia5,ranked_21.pdb,vina,1.331,-3.355, 0.000, 0.000, 0.000,-2.991, 2.024,-2.991
8ia5,ranked_21.pdb,vinardo,0.294, 0.741, 0.000, 0.000, 0.000,-4.389,-0.447,-4.389
8ia5,ranked_22.pdb,vina,0.946,-2.882, 0.000, 0.000, 0.000, 0.672, 1.936, 0.672
8ia5,ranked_22.pdb,vinardo,0.468, 1.424, 0.000, 0.000, 0.000,-1.531,-0.957,-1.531
8ia5,ranked_23.pdb,vina,1.349,-3.400, 0.000, 0.000, 0.000,-2.291, 2.051,-2.291
8ia5,ranked_23.pdb,vinardo,0.266, 0.670, 0.000, 0.000, 0.000,-3.750,-0.404,-3.750
8ia5,ranked_24.pdb,vina,0.831,-2.532, 0.000, 0.000, 0.000,-0.109, 1.701,-0.109
8ia5,ranked_24.pdb,vinardo,0.626, 1.906, 0.000, 0.000, 0.000,-2.370,-1.280,-2.370
8ia5,ranked_25.pdb,vina,1.050,-3.198, 0.000, 0.000, 0.000, 3.384, 2.148, 3.384
8ia5,ranked_25.pdb,vinardo,0.315, 0.958, 0.000, 0.000, 0.000, 0.940,-0.644, 0.940
8ia5,ranked_26.pdb,vina,1.310,-3.990, 0.000, 0.000, 0.000, 2.537, 2.680, 2.537
8ia5,ranked_26.pdb,vinardo,0.083, 0.252, 0.000, 0.000, 0.000, 0.446,-0.169, 0.446
8ia5,ranked_27.pdb,vina,1.429,-3.600, 0.000, 0.000, 0.000,-2.935, 2.172,-2.935
8ia5,ranked_27.pdb,vinardo,0.198, 0.498, 0.000, 0.000, 0.000,-4.244,-0.300,-4.244
8ia5,ranked_28.pdb,vina,1.236,-3.115, 0.000, 0.000, 0.000,-2.568, 1.879,-2.568
8ia5,ranked_28.pdb,vinardo,0.460, 1.159, 0.000, 0.000, 0.000,-4.035,-0.699,-4.035
8ia5,ranked_29.pdb,vina,1.374,-3.461, 0.000, 0.000, 0.000,-2.376, 2.088,-2.376
8ia5,ranked_29.pdb,vinardo,0.350, 0.881, 0.000, 0.000, 0.000,-3.831,-0.532,-3.831
8ia5,ranked_30.pdb,vina,1.147,-3.492, 0.000, 0.000, 0.000, 2.389, 2.346, 2.389
8ia5,ranked_30.pdb,vinardo,0.246, 0.749, 0.000, 0.000, 0.000, 0.208,-0.503, 0.208
8ia5,ranked_31.pdb,vina,1.615,-4.069, 0.000, 0.000, 0.000,-2.640, 2.454,-2.640
8ia5,ranked_31.pdb,vinardo,0.036, 0.090, 0.000, 0.000, 0.000,-4.036,-0.054,-4.036
8ia5,ranked_32.pdb,vina,1.371,-4.177, 0.000, 0.000, 0.000, 8.481, 2.806, 8.481
8ia5,ranked_32.pdb,vinardo,0.060,-0.183, 0.000, 0.000, 0.000, 7.354, 0.123, 7.354
8ia5,ranked_33.pdb,vina,1.337,-3.370, 0.000, 0.000, 0.000,-2.392, 2.032,-2.392
8ia5,ranked_33.pdb,vinardo,0.317, 0.798, 0.000, 0.000, 0.000,-3.925,-0.482,-3.925
8ia5,ranked_34.pdb,vina,1.190,-3.624, 0.000, 0.000, 0.000, 3.038, 2.434, 3.038
8ia5,ranked_34.pdb,vinardo,0.161, 0.491, 0.000, 0.000, 0.000, 0.904,-0.330, 0.904
8ia5,ranked_35.pdb,vina,1.024,-3.119, 0.000, 0.000, 0.000, 1.125, 2.095, 1.125
8ia5,ranked_35.pdb,vinardo,0.404, 1.231, 0.000, 0.000, 0.000,-1.108,-0.827,-1.108
8ia5,ranked_36.pdb,vina,1.019,-3.103, 0.000, 0.000, 0.000, 0.303, 2.085, 0.303
8ia5,ranked_36.pdb,vinardo,0.443, 1.349, 0.000, 0.000, 0.000,-2.016,-0.906,-2.016
8ia5,ranked_37.pdb,vina,1.308,-3.985, 0.000, 0.000, 0.000, 1.975, 2.677, 1.975
8ia5,ranked_37.pdb,vinardo,0.110, 0.334, 0.000, 0.000, 0.000,-0.223,-0.224,-0.223
8ia5,ranked_38.pdb,vina,0.817,-2.488, 0.000, 0.000, 0.000, 1.523, 1.671, 1.523
8ia5,ranked_38.pdb,vinardo,0.684, 2.085, 0.000, 0.000, 0.000,-0.887,-1.400,-0.887
8ia5,ranked_39.pdb,vina,1.302,-3.966, 0.000, 0.000, 0.000, 2.479, 2.664, 2.479
8ia5,ranked_39.pdb,vinardo,0.068, 0.208, 0.000, 0.000, 0.000, 0.107,-0.140, 0.107
8ia5,ranked_40.pdb,vina,0.625,-1.904, 0.000, 0.000, 0.000, 2.068, 1.279, 2.068
