complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7z7c,ranked_0.pdb,vina, 51.191, 233.743,   0.000,   0.000,   0.000,  33.265,-182.552,  33.265
7z7c,ranked_0.pdb,vinardo, 60.656, 276.960,   0.000,   0.000,   0.000,  32.293,-216.304,  32.293
7z7c,ranked_1.pdb,vina, 36.259, 142.243,   0.000,   0.000,   0.000,  22.936,-105.985,  22.936
7z7c,ranked_1.pdb,vinardo, 45.144, 177.101,   0.000,   0.000,   0.000,  23.502,-131.957,  23.502
7z7c,ranked_2.pdb,vina, 32.125, 161.708,   0.000,   0.000,   0.000,  45.110,-129.583,  45.110
7z7c,ranked_2.pdb,vinardo, 40.316, 202.941,   0.000,   0.000,   0.000,  42.557,-162.625,  42.557
7z7c,ranked_3.pdb,vina, 41.470, 174.809,   0.000,   0.000,   0.000,  20.398,-133.339,  20.398
7z7c,ranked_3.pdb,vinardo, 51.692, 217.897,   0.000,   0.000,   0.000,  15.281,-166.205,  15.281
7z7c,ranked_4.pdb,vina,16.267, 87.589,  0.000,  0.000,  0.000, 36.652,-71.322, 36.652
7z7c,ranked_4.pdb,vinardo,21.643,116.539,  0.000,  0.000,  0.000, 33.675,-94.896, 33.675
7z7c,ranked_5.pdb,vina, 34.346, 138.756,   0.000,   0.000,   0.000,  20.796,-104.410,  20.796
7z7c,ranked_5.pdb,vinardo, 43.077, 174.027,   0.000,   0.000,   0.000,  19.908,-130.950,  19.908
7z7c,ranked_6.pdb,vina,0.089,-0.168, 0.000, 0.000, 0.000, 0.997, 0.078, 0.997
7z7c,ranked_6.pdb,vinardo,0.003,-0.005, 0.000, 0.000, 0.000, 0.214, 0.002, 0.214
7z7c,ranked_7.pdb,vina,23.168,116.624,  0.000,  0.000,  0.000, 24.690,-93.456, 24.690
7z7c,ranked_7.pdb,vinardo, 29.009, 146.023,   0.000,   0.000,   0.000,  19.946,-117.014,  19.946
7z7c,ranked_8.pdb,vina,17.813, 87.583,  0.000,  0.000,  0.000, 33.840,-69.770, 33.840
7z7c,ranked_8.pdb,vinardo,23.554,115.811,  0.000,  0.000,  0.000, 30.360,-92.257, 30.360
7z7c,ranked_9.pdb,vina, 42.235, 192.846,   0.000,   0.000,   0.000,  35.331,-150.611,  35.331
7z7c,ranked_9.pdb,vinardo, 50.830, 232.092,   0.000,   0.000,   0.000,  31.539,-181.262,  31.539
7z7c,ranked_10.pdb,vina, 24.873, 125.203,   0.000,   0.000,   0.000,  36.795,-100.330,  36.795
7z7c,ranked_10.pdb,vinardo, 30.991, 156.000,   0.000,   0.000,   0.000,  34.555,-125.009,  34.555
7z7c,ranked_11.pdb,vina,22.087,111.180,  0.000,  0.000,  0.000, 31.385,-89.093, 31.385
7z7c,ranked_11.pdb,vinardo, 27.555, 138.706,   0.000,   0.000,   0.000,  27.878,-111.150,  27.878
7z7c,ranked_12.pdb,vina, 30.617, 154.118,   0.000,   0.000,   0.000,  26.834,-123.501,  26.834
7z7c,ranked_12.pdb,vinardo, 38.455, 193.570,   0.000,   0.000,   0.000,  21.962,-155.116,  21.962
7z7c,ranked_13.pdb,vina, 25.401, 127.861,   0.000,   0.000,   0.000,  22.960,-102.460,  22.960
7z7c,ranked_13.pdb,vinardo, 32.030, 161.233,   0.000,   0.000,   0.000,  18.463,-129.202,  18.463
7z7c,ranked_14.pdb,vina,18.885, 95.060,  0.000,  0.000,  0.000, 36.195,-76.175, 36.195
7z7c,ranked_14.pdb,vinardo,23.956,120.586,  0.000,  0.000,  0.000, 31.307,-96.630, 31.307
7z7c,ranked_15.pdb,vina,22.252,112.010,  0.000,  0.000,  0.000, 25.666,-89.758, 25.666
7z7c,ranked_15.pdb,vinardo, 28.072, 141.306,   0.000,   0.000,   0.000,  22.374,-113.234,  22.374
7z7c,ranked_16.pdb,vina, 25.466, 128.187,   0.000,   0.000,   0.000,  27.153,-102.721,  27.153
7z7c,ranked_16.pdb,vinardo, 31.837, 160.259,   0.000,   0.000,   0.000,  22.649,-128.422,  22.649
7z7c,ranked_17.pdb,vina,23.294,117.258,  0.000,  0.000,  0.000, 29.373,-93.964, 29.373
7z7c,ranked_17.pdb,vinardo, 29.117, 146.568,   0.000,   0.000,   0.000,  25.594,-117.451,  25.594
7z7c,ranked_18.pdb,vina, 26.073, 131.246,   0.000,   0.000,   0.000,  28.322,-105.173,  28.322
7z7c,ranked_18.pdb,vinardo, 32.868, 165.449,   0.000,   0.000,   0.000,  24.467,-132.581,  24.467
7z7c,ranked_19.pdb,vina, 27.654, 139.204,   0.000,   0.000,   0.000,  33.064,-111.550,  33.064
7z7c,ranked_19.pdb,vinardo, 34.257, 172.443,   0.000,   0.000,   0.000,  28.789,-138.186,  28.789
7z7c,ranked_20.pdb,vina, 39.652, 181.052,   0.000,   0.000,   0.000,  23.322,-141.400,  23.322
7z7c,ranked_20.pdb,vinardo, 48.860, 223.096,   0.000,   0.000,   0.000,  21.149,-174.237,  21.149
7z7c,ranked_21.pdb,vina,27.708,126.517,  0.000,  0.000,  0.000, 27.451,-98.809, 27.451
7z7c,ranked_21.pdb,vinardo, 34.799, 158.893,   0.000,   0.000,   0.000,  22.392,-124.094,  22.392
7z7c,ranked_22.pdb,vina, 27.784, 139.856,   0.000,   0.000,   0.000,  39.333,-112.072,  39.333
7z7c,ranked_22.pdb,vinardo, 35.119, 176.778,   0.000,   0.000,   0.000,  35.736,-141.660,  35.736
7z7c,ranked_23.pdb,vina,23.269,117.132,  0.000,  0.000,  0.000, 31.342,-93.862, 31.342
7z7c,ranked_23.pdb,vinardo, 29.087, 146.417,   0.000,   0.000,   0.000,  27.326,-117.330,  27.326
7z7c,ranked_24.pdb,vina,21.907,117.961,  0.000,  0.000,  0.000, 38.978,-96.053, 38.978
7z7c,ranked_24.pdb,vinardo, 27.376, 147.406,   0.000,   0.000,   0.000,  39.086,-120.030,  39.086
7z7c,ranked_25.pdb,vina,24.476,123.204,  0.000,  0.000,  0.000, 29.079,-98.729, 29.079
7z7c,ranked_25.pdb,vinardo, 30.524, 153.650,   0.000,   0.000,   0.000,  25.268,-123.126,  25.268
