Filename,Value,AlphaFold Rank
ranked_964.pdb_clean,0.6442,964.0
ranked_943.pdb_clean,0.6440,943.0
ranked_953.pdb_clean,0.6417,953.0
ranked_740.pdb_clean,0.6389,740.0
ranked_891.pdb_clean,0.6381,891.0
ranked_778.pdb_clean,0.6368,778.0
ranked_750.pdb_clean,0.6367,750.0
ranked_878.pdb_clean,0.6351,878.0
ranked_636.pdb_clean,0.6351,636.0
ranked_857.pdb_clean,0.6347,857.0
ranked_766.pdb_clean,0.6335,766.0
ranked_539.pdb_clean,0.6326,539.0
ranked_923.pdb_clean,0.6323,923.0
ranked_488.pdb_clean,0.6320,488.0
ranked_866.pdb_clean,0.6311,866.0
ranked_700.pdb_clean,0.6310,700.0
ranked_938.pdb_clean,0.6301,938.0
ranked_667.pdb_clean,0.6298,667.0
ranked_594.pdb_clean,0.6295,594.0
ranked_616.pdb_clean,0.6293,616.0
ranked_569.pdb_clean,0.6290,569.0
ranked_889.pdb_clean,0.6288,889.0
ranked_915.pdb_clean,0.6283,915.0
ranked_884.pdb_clean,0.6283,884.0
ranked_552.pdb_clean,0.6282,552.0
ranked_980.pdb_clean,0.6278,980.0
ranked_933.pdb_clean,0.6273,933.0
ranked_796.pdb_clean,0.6271,796.0
ranked_583.pdb_clean,0.6267,583.0
ranked_587.pdb_clean,0.6265,587.0
ranked_982.pdb_clean,0.6263,982.0
ranked_926.pdb_clean,0.6263,926.0
ranked_988.pdb_clean,0.6262,988.0
ranked_934.pdb_clean,0.6262,934.0
ranked_904.pdb_clean,0.6262,904.0
ranked_905.pdb_clean,0.6261,905.0
ranked_871.pdb_clean,0.6260,871.0
ranked_517.pdb_clean,0.6259,517.0
ranked_545.pdb_clean,0.6256,545.0
ranked_885.pdb_clean,0.6254,885.0
ranked_797.pdb_clean,0.6254,797.0
ranked_949.pdb_clean,0.6249,949.0
ranked_560.pdb_clean,0.6249,560.0
ranked_571.pdb_clean,0.6248,571.0
ranked_910.pdb_clean,0.6246,910.0
ranked_821.pdb_clean,0.6243,821.0
ranked_626.pdb_clean,0.6241,626.0
ranked_983.pdb_clean,0.6236,983.0
ranked_867.pdb_clean,0.6232,867.0
ranked_962.pdb_clean,0.6229,962.0
ranked_737.pdb_clean,0.6229,737.0
ranked_914.pdb_clean,0.6228,914.0
ranked_500.pdb_clean,0.6225,500.0
ranked_956.pdb_clean,0.6224,956.0
ranked_941.pdb_clean,0.6224,941.0
ranked_767.pdb_clean,0.6223,767.0
ranked_330.pdb_clean,0.6223,330.0
ranked_987.pdb_clean,0.6222,987.0
ranked_537.pdb_clean,0.6222,537.0
ranked_490.pdb_clean,0.6222,490.0
ranked_892.pdb_clean,0.6218,892.0
ranked_624.pdb_clean,0.6218,624.0
ranked_829.pdb_clean,0.6217,829.0
ranked_886.pdb_clean,0.6216,886.0
ranked_519.pdb_clean,0.6216,519.0
ranked_608.pdb_clean,0.6215,608.0
ranked_609.pdb_clean,0.6214,609.0
ranked_785.pdb_clean,0.6212,785.0
ranked_733.pdb_clean,0.6212,733.0
ranked_900.pdb_clean,0.6211,900.0
ranked_977.pdb_clean,0.6210,977.0
ranked_967.pdb_clean,0.6208,967.0
ranked_877.pdb_clean,0.6208,877.0
ranked_479.pdb_clean,0.6207,479.0
ranked_839.pdb_clean,0.6205,839.0
ranked_562.pdb_clean,0.6205,562.0
ranked_918.pdb_clean,0.6198,918.0
ranked_808.pdb_clean,0.6198,808.0
ranked_870.pdb_clean,0.6195,870.0
ranked_716.pdb_clean,0.6194,716.0
ranked_536.pdb_clean,0.6193,536.0
ranked_875.pdb_clean,0.6192,875.0
ranked_703.pdb_clean,0.6192,703.0
ranked_929.pdb_clean,0.6190,929.0
ranked_978.pdb_clean,0.6189,978.0
ranked_888.pdb_clean,0.6189,888.0
ranked_830.pdb_clean,0.6189,830.0
ranked_868.pdb_clean,0.6188,868.0
ranked_890.pdb_clean,0.6187,890.0
ranked_619.pdb_clean,0.6184,619.0
ranked_843.pdb_clean,0.6180,843.0
ranked_802.pdb_clean,0.6180,802.0
ranked_996.pdb_clean,0.6179,996.0
ranked_973.pdb_clean,0.6179,973.0
ranked_874.pdb_clean,0.6178,874.0
ranked_845.pdb_clean,0.6177,845.0
ranked_976.pdb_clean,0.6176,976.0
ranked_960.pdb_clean,0.6175,960.0
ranked_881.pdb_clean,0.6173,881.0
ranked_869.pdb_clean,0.6173,869.0
ranked_959.pdb_clean,0.6170,959.0
ranked_894.pdb_clean,0.6170,894.0
ranked_899.pdb_clean,0.6166,899.0
ranked_649.pdb_clean,0.6166,649.0
ranked_610.pdb_clean,0.6165,610.0
ranked_993.pdb_clean,0.6164,993.0
ranked_955.pdb_clean,0.6164,955.0
ranked_844.pdb_clean,0.6164,844.0
ranked_581.pdb_clean,0.6164,581.0
ranked_851.pdb_clean,0.6162,851.0
ranked_492.pdb_clean,0.6160,492.0
ranked_679.pdb_clean,0.6158,679.0
ranked_421.pdb_clean,0.6156,421.0
ranked_952.pdb_clean,0.6155,952.0
ranked_901.pdb_clean,0.6154,901.0
ranked_931.pdb_clean,0.6153,931.0
ranked_662.pdb_clean,0.6153,662.0
ranked_860.pdb_clean,0.6152,860.0
ranked_579.pdb_clean,0.6151,579.0
ranked_548.pdb_clean,0.6151,548.0
ranked_995.pdb_clean,0.6150,995.0
ranked_837.pdb_clean,0.6149,837.0
ranked_913.pdb_clean,0.6148,913.0
ranked_589.pdb_clean,0.6148,589.0
ranked_209.pdb_clean,0.6147,209.0
ranked_942.pdb_clean,0.6146,942.0
ranked_573.pdb_clean,0.6146,573.0
ranked_898.pdb_clean,0.6145,898.0
ranked_711.pdb_clean,0.6145,711.0
ranked_809.pdb_clean,0.6144,809.0
ranked_687.pdb_clean,0.6144,687.0
ranked_345.pdb_clean,0.6143,345.0
ranked_668.pdb_clean,0.6142,668.0
ranked_850.pdb_clean,0.6139,850.0
ranked_879.pdb_clean,0.6138,879.0
ranked_693.pdb_clean,0.6138,693.0
ranked_600.pdb_clean,0.6137,600.0
ranked_823.pdb_clean,0.6135,823.0
ranked_779.pdb_clean,0.6135,779.0
ranked_743.pdb_clean,0.6135,743.0
ranked_557.pdb_clean,0.6135,557.0
ranked_621.pdb_clean,0.6133,621.0
ranked_375.pdb_clean,0.6130,375.0
ranked_859.pdb_clean,0.6129,859.0
ranked_447.pdb_clean,0.6129,447.0
ranked_994.pdb_clean,0.6128,994.0
ranked_882.pdb_clean,0.6128,882.0
ranked_872.pdb_clean,0.6127,872.0
ranked_781.pdb_clean,0.6126,781.0
ranked_924.pdb_clean,0.6125,924.0
ranked_794.pdb_clean,0.6125,794.0
ranked_696.pdb_clean,0.6125,696.0
ranked_396.pdb_clean,0.6125,396.0
ranked_920.pdb_clean,0.6120,920.0
ranked_810.pdb_clean,0.6120,810.0
ranked_655.pdb_clean,0.6120,655.0
ranked_935.pdb_clean,0.6119,935.0
