Filename,Value,AlphaFold Rank
ranked_143.pdb_clean,0.7373,143.0
ranked_836.pdb_clean,0.7268,836.0
ranked_484.pdb_clean,0.7242,484.0
ranked_134.pdb_clean,0.7241,134.0
ranked_507.pdb_clean,0.7152,507.0
ranked_987.pdb_clean,0.7121,987.0
ranked_923.pdb_clean,0.7094,923.0
ranked_169.pdb_clean,0.7091,169.0
ranked_934.pdb_clean,0.7072,934.0
ranked_271.pdb_clean,0.7071,271.0
ranked_624.pdb_clean,0.7060,624.0
ranked_222.pdb_clean,0.7057,222.0
ranked_335.pdb_clean,0.7042,335.0
ranked_164.pdb_clean,0.7036,164.0
ranked_918.pdb_clean,0.7033,918.0
ranked_220.pdb_clean,0.7027,220.0
ranked_523.pdb_clean,0.7009,523.0
ranked_900.pdb_clean,0.6994,900.0
ranked_323.pdb_clean,0.6993,323.0
ranked_909.pdb_clean,0.6991,909.0
ranked_218.pdb_clean,0.6983,218.0
ranked_228.pdb_clean,0.6974,228.0
ranked_215.pdb_clean,0.6973,215.0
ranked_427.pdb_clean,0.6970,427.0
ranked_893.pdb_clean,0.6969,893.0
ranked_480.pdb_clean,0.6968,480.0
ranked_408.pdb_clean,0.6968,408.0
ranked_308.pdb_clean,0.6967,308.0
ranked_217.pdb_clean,0.6966,217.0
ranked_330.pdb_clean,0.6965,330.0
ranked_378.pdb_clean,0.6964,378.0
ranked_886.pdb_clean,0.6961,886.0
ranked_264.pdb_clean,0.6960,264.0
ranked_303.pdb_clean,0.6959,303.0
ranked_814.pdb_clean,0.6956,814.0
ranked_520.pdb_clean,0.6953,520.0
ranked_341.pdb_clean,0.6953,341.0
ranked_498.pdb_clean,0.6952,498.0
ranked_370.pdb_clean,0.6949,370.0
ranked_867.pdb_clean,0.6948,867.0
ranked_808.pdb_clean,0.6946,808.0
ranked_399.pdb_clean,0.6944,399.0
ranked_283.pdb_clean,0.6943,283.0
ranked_862.pdb_clean,0.6940,862.0
ranked_644.pdb_clean,0.6940,644.0
ranked_773.pdb_clean,0.6938,773.0
ranked_441.pdb_clean,0.6938,441.0
ranked_354.pdb_clean,0.6938,354.0
ranked_875.pdb_clean,0.6937,875.0
ranked_429.pdb_clean,0.6937,429.0
ranked_374.pdb_clean,0.6936,374.0
ranked_307.pdb_clean,0.6936,307.0
ranked_443.pdb_clean,0.6935,443.0
ranked_575.pdb_clean,0.6934,575.0
ranked_589.pdb_clean,0.6931,589.0
ranked_707.pdb_clean,0.6929,707.0
ranked_430.pdb_clean,0.6929,430.0
ranked_529.pdb_clean,0.6927,529.0
ranked_902.pdb_clean,0.6924,902.0
ranked_210.pdb_clean,0.6924,210.0
ranked_501.pdb_clean,0.6923,501.0
ranked_548.pdb_clean,0.6921,548.0
ranked_454.pdb_clean,0.6919,454.0
ranked_955.pdb_clean,0.6913,955.0
ranked_375.pdb_clean,0.6908,375.0
ranked_227.pdb_clean,0.6904,227.0
ranked_372.pdb_clean,0.6902,372.0
ranked_214.pdb_clean,0.6902,214.0
ranked_540.pdb_clean,0.6899,540.0
ranked_845.pdb_clean,0.6898,845.0
ranked_719.pdb_clean,0.6893,719.0
ranked_661.pdb_clean,0.6893,661.0
ranked_865.pdb_clean,0.6892,865.0
ranked_847.pdb_clean,0.6892,847.0
ranked_879.pdb_clean,0.6889,879.0
ranked_665.pdb_clean,0.6889,665.0
ranked_211.pdb_clean,0.6886,211.0
ranked_650.pdb_clean,0.6885,650.0
ranked_562.pdb_clean,0.6885,562.0
ranked_306.pdb_clean,0.6885,306.0
ranked_192.pdb_clean,0.6881,192.0
ranked_872.pdb_clean,0.6879,872.0
ranked_787.pdb_clean,0.6879,787.0
ranked_818.pdb_clean,0.6878,818.0
ranked_293.pdb_clean,0.6876,293.0
ranked_823.pdb_clean,0.6873,823.0
ranked_691.pdb_clean,0.6873,691.0
ranked_856.pdb_clean,0.6872,856.0
ranked_718.pdb_clean,0.6872,718.0
ranked_704.pdb_clean,0.6871,704.0
ranked_701.pdb_clean,0.6871,701.0
ranked_574.pdb_clean,0.6871,574.0
ranked_942.pdb_clean,0.6869,942.0
ranked_974.pdb_clean,0.6867,974.0
ranked_784.pdb_clean,0.6866,784.0
ranked_745.pdb_clean,0.6866,745.0
ranked_500.pdb_clean,0.6866,500.0
ranked_481.pdb_clean,0.6866,481.0
ranked_970.pdb_clean,0.6865,970.0
ranked_772.pdb_clean,0.6865,772.0
ranked_901.pdb_clean,0.6862,901.0
ranked_199.pdb_clean,0.6862,199.0
ranked_186.pdb_clean,0.6861,186.0
ranked_950.pdb_clean,0.6859,950.0
ranked_924.pdb_clean,0.6859,924.0
ranked_636.pdb_clean,0.6859,636.0
ranked_545.pdb_clean,0.6859,545.0
ranked_514.pdb_clean,0.6859,514.0
ranked_485.pdb_clean,0.6856,485.0
ranked_906.pdb_clean,0.6855,906.0
ranked_257.pdb_clean,0.6855,257.0
ranked_854.pdb_clean,0.6854,854.0
ranked_804.pdb_clean,0.6853,804.0
ranked_356.pdb_clean,0.6852,356.0
ranked_182.pdb_clean,0.6852,182.0
ranked_892.pdb_clean,0.6850,892.0
ranked_932.pdb_clean,0.6849,932.0
ranked_658.pdb_clean,0.6849,658.0
ranked_494.pdb_clean,0.6849,494.0
ranked_696.pdb_clean,0.6847,696.0
ranked_368.pdb_clean,0.6847,368.0
ranked_761.pdb_clean,0.6845,761.0
ranked_732.pdb_clean,0.6845,732.0
ranked_936.pdb_clean,0.6843,936.0
ranked_384.pdb_clean,0.6842,384.0
ranked_392.pdb_clean,0.6841,392.0
ranked_334.pdb_clean,0.6841,334.0
ranked_170.pdb_clean,0.6841,170.0
ranked_898.pdb_clean,0.6839,898.0
ranked_946.pdb_clean,0.6837,946.0
ranked_490.pdb_clean,0.6836,490.0
ranked_402.pdb_clean,0.6836,402.0
ranked_597.pdb_clean,0.6835,597.0
ranked_422.pdb_clean,0.6835,422.0
ranked_295.pdb_clean,0.6835,295.0
ranked_390.pdb_clean,0.6834,390.0
ranked_758.pdb_clean,0.6832,758.0
ranked_641.pdb_clean,0.6828,641.0
ranked_515.pdb_clean,0.6828,515.0
ranked_472.pdb_clean,0.6828,472.0
ranked_252.pdb_clean,0.6828,252.0
ranked_945.pdb_clean,0.6822,945.0
ranked_453.pdb_clean,0.6820,453.0
ranked_474.pdb_clean,0.6819,474.0
ranked_401.pdb_clean,0.6819,401.0
ranked_449.pdb_clean,0.6818,449.0
ranked_344.pdb_clean,0.6818,344.0
ranked_250.pdb_clean,0.6818,250.0
ranked_941.pdb_clean,0.6817,941.0
ranked_774.pdb_clean,0.6817,774.0
ranked_483.pdb_clean,0.6817,483.0
ranked_180.pdb_clean,0.6817,180.0
ranked_396.pdb_clean,0.6816,396.0
ranked_792.pdb_clean,0.6814,792.0
ranked_231.pdb_clean,0.6814,231.0
ranked_342.pdb_clean,0.6813,342.0
ranked_203.pdb_clean,0.6813,203.0
ranked_935.pdb_clean,0.6812,935.0
ranked_516.pdb_clean,0.6811,516.0
ranked_300.pdb_clean,0.6810,300.0
ranked_871.pdb_clean,0.6808,871.0
ranked_464.pdb_clean,0.6808,464.0
ranked_457.pdb_clean,0.6808,457.0
ranked_301.pdb_clean,0.6808,301.0
ranked_949.pdb_clean,0.6806,949.0
ranked_925.pdb_clean,0.6806,925.0
ranked_920.pdb_clean,0.6806,920.0
ranked_547.pdb_clean,0.6806,547.0
ranked_412.pdb_clean,0.6805,412.0
ranked_302.pdb_clean,0.6804,302.0
ranked_783.pdb_clean,0.6803,783.0
ranked_905.pdb_clean,0.6802,905.0
ranked_899.pdb_clean,0.6802,899.0
ranked_554.pdb_clean,0.6802,554.0
ranked_416.pdb_clean,0.6802,416.0
ranked_364.pdb_clean,0.6802,364.0
ranked_206.pdb_clean,0.6802,206.0
ranked_157.pdb_clean,0.6802,157.0
ranked_928.pdb_clean,0.6801,928.0
ranked_365.pdb_clean,0.6801,365.0
ranked_339.pdb_clean,0.6801,339.0
ranked_279.pdb_clean,0.6800,279.0
ranked_896.pdb_clean,0.6799,896.0
ranked_543.pdb_clean,0.6799,543.0
ranked_473.pdb_clean,0.6799,473.0
ranked_309.pdb_clean,0.6799,309.0
ranked_926.pdb_clean,0.6798,926.0
ranked_442.pdb_clean,0.6798,442.0
ranked_310.pdb_clean,0.6797,310.0
ranked_817.pdb_clean,0.6796,817.0
ranked_621.pdb_clean,0.6796,621.0
ranked_954.pdb_clean,0.6795,954.0
ranked_921.pdb_clean,0.6794,921.0
ranked_618.pdb_clean,0.6793,618.0
ranked_234.pdb_clean,0.6793,234.0
ranked_988.pdb_clean,0.6791,988.0
ranked_876.pdb_clean,0.6790,876.0
ranked_833.pdb_clean,0.6790,833.0
ranked_362.pdb_clean,0.6790,362.0
ranked_411.pdb_clean,0.6789,411.0
ranked_200.pdb_clean,0.6789,200.0
ranked_894.pdb_clean,0.6788,894.0
ranked_828.pdb_clean,0.6788,828.0
ranked_149.pdb_clean,0.6788,149.0
ranked_675.pdb_clean,0.6787,675.0
ranked_289.pdb_clean,0.6787,289.0
ranked_929.pdb_clean,0.6786,929.0
ranked_557.pdb_clean,0.6786,557.0
ranked_594.pdb_clean,0.6785,594.0
ranked_502.pdb_clean,0.6785,502.0
ranked_465.pdb_clean,0.6785,465.0
ranked_778.pdb_clean,0.6784,778.0
ranked_343.pdb_clean,0.6784,343.0
ranked_207.pdb_clean,0.6784,207.0
ranked_159.pdb_clean,0.6783,159.0
ranked_972.pdb_clean,0.6782,972.0
ranked_633.pdb_clean,0.6782,633.0
ranked_326.pdb_clean,0.6782,326.0
ranked_267.pdb_clean,0.6782,267.0
ranked_653.pdb_clean,0.6780,653.0
ranked_397.pdb_clean,0.6780,397.0
ranked_956.pdb_clean,0.6779,956.0
ranked_698.pdb_clean,0.6779,698.0
ranked_388.pdb_clean,0.6779,388.0
ranked_604.pdb_clean,0.6778,604.0
ranked_521.pdb_clean,0.6778,521.0
ranked_386.pdb_clean,0.6777,386.0
ranked_205.pdb_clean,0.6777,205.0
ranked_551.pdb_clean,0.6776,551.0
ranked_274.pdb_clean,0.6775,274.0
ranked_161.pdb_clean,0.6775,161.0
ranked_726.pdb_clean,0.6774,726.0
ranked_311.pdb_clean,0.6774,311.0
ranked_196.pdb_clean,0.6774,196.0
ranked_290.pdb_clean,0.6772,290.0
ranked_451.pdb_clean,0.6771,451.0
ranked_360.pdb_clean,0.6771,360.0
ranked_858.pdb_clean,0.6770,858.0
ranked_848.pdb_clean,0.6770,848.0
ranked_469.pdb_clean,0.6770,469.0
ranked_296.pdb_clean,0.6770,296.0
ranked_700.pdb_clean,0.6769,700.0
ranked_499.pdb_clean,0.6768,499.0
ranked_629.pdb_clean,0.6767,629.0
