complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7xty,ranked_0.pdb,vina,2.758,-6.628, 0.000, 0.000, 0.000, 2.640, 3.870, 2.640
7xty,ranked_0.pdb,vinardo,1.688,-4.056, 0.000, 0.000, 0.000, 0.785, 2.368, 0.785
7xty,ranked_1.pdb,vina,2.630,-6.319, 0.000, 0.000, 0.000, 2.906, 3.689, 2.906
7xty,ranked_1.pdb,vinardo,1.496,-3.595, 0.000, 0.000, 0.000, 0.996, 2.099, 0.996
7xty,ranked_2.pdb,vina,0.647,-1.556, 0.000, 0.000, 0.000, 1.955, 0.908, 1.955
7xty,ranked_2.pdb,vinardo,1.101, 2.647, 0.000, 0.000, 0.000, 0.397,-1.545, 0.397
7xty,ranked_3.pdb,vina,0.606, 1.456, 0.000, 0.000, 0.000, 1.875,-0.850, 1.875
7xty,ranked_3.pdb,vinardo,2.530, 6.080, 0.000, 0.000, 0.000, 0.331,-3.550, 0.331
7xty,ranked_4.pdb,vina,0.123,-0.295, 0.000, 0.000, 0.000, 1.838, 0.172, 1.838
7xty,ranked_4.pdb,vinardo,1.634, 3.927, 0.000, 0.000, 0.000, 0.277,-2.293, 0.277
7xty,ranked_5.pdb,vina,0.170,-0.408, 0.000, 0.000, 0.000, 1.991, 0.238, 1.991
7xty,ranked_5.pdb,vinardo,1.635, 3.930, 0.000, 0.000, 0.000, 0.432,-2.294, 0.432
7xty,ranked_6.pdb,vina,1.354,-3.255, 0.000, 0.000, 0.000, 1.991, 1.900, 1.991
7xty,ranked_6.pdb,vinardo,0.075, 0.180, 0.000, 0.000, 0.000, 0.419,-0.105, 0.419
7xty,ranked_7.pdb,vina,1.028, 2.471, 0.000, 0.000, 0.000, 1.923,-1.443, 1.923
7xty,ranked_7.pdb,vinardo,3.033, 7.288, 0.000, 0.000, 0.000, 0.358,-4.255, 0.358
7xty,ranked_8.pdb,vina,0.148,-0.356, 0.000, 0.000, 0.000, 2.031, 0.208, 2.031
7xty,ranked_8.pdb,vinardo,1.602, 3.851, 0.000, 0.000, 0.000, 0.436,-2.248, 0.436
7xty,ranked_9.pdb,vina,0.061, 0.146, 0.000, 0.000, 0.000, 2.213,-0.085, 2.213
7xty,ranked_9.pdb,vinardo,1.828, 4.393, 0.000, 0.000, 0.000, 0.614,-2.565, 0.614
7xty,ranked_10.pdb,vina,2.495,-5.996, 0.000, 0.000, 0.000, 2.336, 3.501, 2.336
7xty,ranked_10.pdb,vinardo,1.416,-3.403, 0.000, 0.000, 0.000, 0.495, 1.987, 0.495
7xty,ranked_11.pdb,vina,0.132, 0.318, 0.000, 0.000, 0.000, 1.898,-0.186, 1.898
7xty,ranked_11.pdb,vinardo,1.976, 4.748, 0.000, 0.000, 0.000, 0.346,-2.772, 0.346
7xty,ranked_12.pdb,vina,0.853,-2.049, 0.000, 0.000, 0.000, 1.744, 1.197, 1.744
7xty,ranked_12.pdb,vinardo,0.717, 1.724, 0.000, 0.000, 0.000, 0.180,-1.006, 0.180
7xty,ranked_13.pdb,vina,0.385,-0.924, 0.000, 0.000, 0.000, 2.011, 0.540, 2.011
7xty,ranked_13.pdb,vinardo,1.264, 3.038, 0.000, 0.000, 0.000, 0.428,-1.774, 0.428
