complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8fk3,ranked_0.pdb,vina,3.534, 8.079, 0.000, 0.000, 0.000,-0.501,-4.545,-0.501
8fk3,ranked_0.pdb,vinardo,4.315, 9.865, 0.000, 0.000, 0.000,-0.612,-5.550,-0.612
8fk3,ranked_1.pdb,vina,13.333, 30.481,  0.000,  0.000,  0.000,  4.530,-17.148,  4.530
8fk3,ranked_1.pdb,vinardo,15.313, 35.008,  0.000,  0.000,  0.000,  3.088,-19.695,  3.088
8fk3,ranked_2.pdb,vina,4.630,10.585, 0.000, 0.000, 0.000, 3.121,-5.955, 3.121
8fk3,ranked_2.pdb,vinardo,5.508,12.592, 0.000, 0.000, 0.000, 1.786,-7.084, 1.786
8fk3,ranked_3.pdb,vina,12.990, 29.697,  0.000,  0.000,  0.000,  4.117,-16.707,  4.117
8fk3,ranked_3.pdb,vinardo,14.724, 33.661,  0.000,  0.000,  0.000,  2.754,-18.937,  2.754
8fk3,ranked_4.pdb,vina, 7.958, 18.193,  0.000,  0.000,  0.000,  4.131,-10.235,  4.131
8fk3,ranked_4.pdb,vinardo, 8.767, 20.042,  0.000,  0.000,  0.000,  2.732,-11.275,  2.732
8fk3,ranked_5.pdb,vina,1.471, 3.363, 0.000, 0.000, 0.000, 3.085,-1.892, 3.085
8fk3,ranked_5.pdb,vinardo,2.010, 4.596, 0.000, 0.000, 0.000, 1.781,-2.586, 1.781
8fk3,ranked_6.pdb,vina,14.190, 32.439,  0.000,  0.000,  0.000,  4.227,-18.249,  4.227
8fk3,ranked_6.pdb,vinardo,14.304, 32.701,  0.000,  0.000,  0.000,  2.854,-18.397,  2.854
8fk3,ranked_7.pdb,vina,7.707,17.620, 0.000, 0.000, 0.000, 2.679,-9.913, 2.679
8fk3,ranked_7.pdb,vinardo, 9.475, 21.661,  0.000,  0.000,  0.000,  1.583,-12.186,  1.583
8fk3,ranked_8.pdb,vina, 8.975, 20.517,  0.000,  0.000,  0.000,  5.393,-11.543,  5.393
8fk3,ranked_8.pdb,vinardo, 8.912, 20.373,  0.000,  0.000,  0.000,  3.788,-11.461,  3.788
8fk3,ranked_9.pdb,vina,15.501, 35.438,  0.000,  0.000,  0.000,  3.672,-19.937,  3.672
8fk3,ranked_9.pdb,vinardo,17.705, 40.477,  0.000,  0.000,  0.000,  2.408,-22.771,  2.408
8fk3,ranked_10.pdb,vina,11.225, 25.661,  0.000,  0.000,  0.000,  4.369,-14.436,  4.369
8fk3,ranked_10.pdb,vinardo,12.747, 29.142,  0.000,  0.000,  0.000,  2.982,-16.395,  2.982
8fk3,ranked_11.pdb,vina,1.889, 4.318, 0.000, 0.000, 0.000, 2.269,-2.429, 2.269
8fk3,ranked_11.pdb,vinardo,2.905, 6.641, 0.000, 0.000, 0.000, 1.330,-3.736, 1.330
8fk3,ranked_12.pdb,vina,1.010, 2.308, 0.000, 0.000, 0.000, 4.705,-1.298, 4.705
8fk3,ranked_12.pdb,vinardo,1.777, 4.064, 0.000, 0.000, 0.000, 3.127,-2.286, 3.127
8fk3,ranked_13.pdb,vina,50.117,114.572,  0.000,  0.000,  0.000,  4.544,-64.456,  4.544
8fk3,ranked_13.pdb,vinardo,53.419,122.122,  0.000,  0.000,  0.000,  3.208,-68.703,  3.208
8fk3,ranked_14.pdb,vina,4.189, 9.578, 0.000, 0.000, 0.000, 3.308,-5.388, 3.308
8fk3,ranked_14.pdb,vinardo,4.780,10.928, 0.000, 0.000, 0.000, 1.846,-6.148, 1.846
8fk3,ranked_15.pdb,vina, 9.387, 21.460,  0.000,  0.000,  0.000,  4.433,-12.073,  4.433
8fk3,ranked_15.pdb,vinardo, 9.898, 22.628,  0.000,  0.000,  0.000,  3.037,-12.730,  3.037
8fk3,ranked_16.pdb,vina,0.209, 0.477, 0.000, 0.000, 0.000, 4.323,-0.268, 4.323
8fk3,ranked_16.pdb,vinardo,0.447, 1.022, 0.000, 0.000, 0.000, 2.923,-0.575, 2.923
8fk3,ranked_17.pdb,vina, 8.632, 19.734,  0.000,  0.000,  0.000,  3.716,-11.102,  3.716
8fk3,ranked_17.pdb,vinardo, 8.795, 20.106,  0.000,  0.000,  0.000,  2.414,-11.311,  2.414
8fk3,ranked_18.pdb,vina,4.265, 9.749, 0.000, 0.000, 0.000, 2.793,-5.485, 2.793
8fk3,ranked_18.pdb,vinardo,4.786,10.941, 0.000, 0.000, 0.000, 1.479,-6.155, 1.479
8fk3,ranked_19.pdb,vina,10.260, 23.456,  0.000,  0.000,  0.000,  5.752,-13.196,  5.752
8fk3,ranked_19.pdb,vinardo,10.268, 23.475,  0.000,  0.000,  0.000,  4.134,-13.206,  4.134
8fk3,ranked_20.pdb,vina,11.526, 26.350,  0.000,  0.000,  0.000,  3.962,-14.824,  3.962
8fk3,ranked_20.pdb,vinardo,13.433, 30.709,  0.000,  0.000,  0.000,  2.611,-17.276,  2.611
8fk3,ranked_21.pdb,vina,15.278, 34.927,  0.000,  0.000,  0.000,  4.337,-19.649,  4.337
8fk3,ranked_21.pdb,vinardo,17.226, 39.381,  0.000,  0.000,  0.000,  2.941,-22.155,  2.941
8fk3,ranked_22.pdb,vina,4.525,10.345, 0.000, 0.000, 0.000, 3.585,-5.820, 3.585
8fk3,ranked_22.pdb,vinardo,5.239,11.977, 0.000, 0.000, 0.000, 2.085,-6.738, 2.085
8fk3,ranked_23.pdb,vina,7.408,16.936, 0.000, 0.000, 0.000, 4.080,-9.528, 4.080
8fk3,ranked_23.pdb,vinardo, 8.827, 20.180,  0.000,  0.000,  0.000,  2.746,-11.353,  2.746
8fk3,ranked_24.pdb,vina,10.449, 23.889,  0.000,  0.000,  0.000,  4.051,-13.439,  4.051
8fk3,ranked_24.pdb,vinardo,12.058, 27.566,  0.000,  0.000,  0.000,  2.696,-15.508,  2.696
8fk3,ranked_25.pdb,vina, 9.112, 20.831,  0.000,  0.000,  0.000,  3.171,-11.719,  3.171
8fk3,ranked_25.pdb,vinardo,10.828, 24.754,  0.000,  0.000,  0.000,  1.993,-13.926,  1.993
8fk3,ranked_26.pdb,vina,23.852, 54.529,  0.000,  0.000,  0.000,  0.314,-30.677,  0.314
8fk3,ranked_26.pdb,vinardo,2.655e+01, 6.069e+01, 0.000e+00, 0.000e+00, 0.000e+00,-1.300e-02,
 -3.414e+01,-1.300e-02
8fk3,ranked_27.pdb,vina,5.331,12.187, 0.000, 0.000, 0.000, 3.463,-6.856, 3.463
8fk3,ranked_27.pdb,vinardo,6.607,15.103, 0.000, 0.000, 0.000, 2.221,-8.497, 2.221
8fk3,ranked_28.pdb,vina,4.039, 9.235, 0.000, 0.000, 0.000, 2.416,-5.195, 2.416
8fk3,ranked_28.pdb,vinardo,5.040,11.522, 0.000, 0.000, 0.000, 1.151,-6.482, 1.151
8fk3,ranked_29.pdb,vina,0.437,-0.999, 0.000, 0.000, 0.000, 0.864, 0.562, 0.864
8fk3,ranked_29.pdb,vinardo,0.070, 0.160, 0.000, 0.000, 0.000, 0.334,-0.090, 0.334
8fk3,ranked_30.pdb,vina, 9.450, 21.603,  0.000,  0.000,  0.000,  3.493,-12.153,  3.493
8fk3,ranked_30.pdb,vinardo,10.529, 24.071,  0.000,  0.000,  0.000,  2.211,-13.542,  2.211
8fk3,ranked_31.pdb,vina, 9.752, 22.295,  0.000,  0.000,  0.000,  4.013,-12.543,  4.013
8fk3,ranked_31.pdb,vinardo,11.111, 25.401,  0.000,  0.000,  0.000,  2.676,-14.290,  2.676
8fk3,ranked_32.pdb,vina,12.232, 27.963,  0.000,  0.000,  0.000,  5.346,-15.731,  5.346
8fk3,ranked_32.pdb,vinardo,12.141, 27.756,  0.000,  0.000,  0.000,  3.774,-15.615,  3.774
