complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7uw2,ranked_0.pdb,vina, 5.401, 19.293,  0.000,  0.000,  0.000, -4.483,-13.892, -4.483
7uw2,ranked_0.pdb,vinardo, 5.573, 19.907,  0.000,  0.000,  0.000, -6.596,-14.334, -6.596
7uw2,ranked_1.pdb,vina, 7.654, 27.343,  0.000,  0.000,  0.000, -4.465,-19.689, -4.465
7uw2,ranked_1.pdb,vinardo, 7.673, 27.410,  0.000,  0.000,  0.000, -6.573,-19.737, -6.573
7uw2,ranked_2.pdb,vina, 7.380, 26.364,  0.000,  0.000,  0.000, -4.503,-18.984, -4.503
7uw2,ranked_2.pdb,vinardo, 7.426, 26.527,  0.000,  0.000,  0.000, -6.635,-19.101, -6.635
7uw2,ranked_3.pdb,vina,2.083, 7.441, 0.000, 0.000, 0.000,-4.385,-5.358,-4.385
7uw2,ranked_3.pdb,vinardo,2.441, 8.720, 0.000, 0.000, 0.000,-6.575,-6.279,-6.575
7uw2,ranked_4.pdb,vina, 4.434, 15.839,  0.000,  0.000,  0.000, -4.434,-11.405, -4.434
7uw2,ranked_4.pdb,vinardo, 4.649, 16.608,  0.000,  0.000,  0.000, -6.605,-11.959, -6.605
7uw2,ranked_5.pdb,vina, 7.372, 26.336,  0.000,  0.000,  0.000, -4.476,-18.964, -4.476
7uw2,ranked_5.pdb,vinardo, 7.418, 26.500,  0.000,  0.000,  0.000, -6.633,-19.081, -6.633
7uw2,ranked_6.pdb,vina, 4.100, 14.646,  0.000,  0.000,  0.000, -4.291,-10.546, -4.291
7uw2,ranked_6.pdb,vinardo, 4.352, 15.545,  0.000,  0.000,  0.000, -6.535,-11.193, -6.535
7uw2,ranked_7.pdb,vina, 8.148, 29.107,  0.000,  0.000,  0.000, -4.789,-20.959, -4.789
7uw2,ranked_7.pdb,vinardo, 8.176, 29.207,  0.000,  0.000,  0.000, -6.909,-21.031, -6.909
7uw2,ranked_8.pdb,vina, 7.609, 27.180,  0.000,  0.000,  0.000, -4.470,-19.571, -4.470
7uw2,ranked_8.pdb,vinardo, 7.603, 27.160,  0.000,  0.000,  0.000, -6.632,-19.557, -6.632
7uw2,ranked_9.pdb,vina, 3.965, 14.162,  0.000,  0.000,  0.000, -4.379,-10.198, -4.379
7uw2,ranked_9.pdb,vinardo, 4.223, 15.086,  0.000,  0.000,  0.000, -6.554,-10.863, -6.554
7uw2,ranked_10.pdb,vina, 4.529, 16.178,  0.000,  0.000,  0.000, -4.435,-11.649, -4.435
7uw2,ranked_10.pdb,vinardo, 4.726, 16.884,  0.000,  0.000,  0.000, -6.579,-12.157, -6.579
7uw2,ranked_11.pdb,vina, 7.390, 26.399,  0.000,  0.000,  0.000, -4.333,-19.009, -4.333
7uw2,ranked_11.pdb,vinardo, 7.427, 26.530,  0.000,  0.000,  0.000, -6.524,-19.103, -6.524
7uw2,ranked_12.pdb,vina, 7.834, 27.984,  0.000,  0.000,  0.000, -4.450,-20.150, -4.450
