complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8ia5,ranked_0.pdb,vina,0.812,-2.472, 0.000, 0.000, 0.000, 0.345, 1.661, 0.345
8ia5,ranked_0.pdb,vinardo,0.602, 1.833, 0.000, 0.000, 0.000,-1.716,-1.231,-1.716
8ia5,ranked_1.pdb,vina,0.843,-2.569, 0.000, 0.000, 0.000,-0.813, 1.726,-0.813
8ia5,ranked_1.pdb,vinardo,0.517, 1.574, 0.000, 0.000, 0.000,-2.845,-1.057,-2.845
8ia5,ranked_2.pdb,vina,1.094,-3.333, 0.000, 0.000, 0.000, 3.062, 2.239, 3.062
8ia5,ranked_2.pdb,vinardo,0.232, 0.707, 0.000, 0.000, 0.000, 1.053,-0.475, 1.053
8ia5,ranked_3.pdb,vina,1.115,-3.397, 0.000, 0.000, 0.000, 1.697, 2.282, 1.697
8ia5,ranked_3.pdb,vinardo,0.200, 0.608, 0.000, 0.000, 0.000,-0.411,-0.408,-0.411
8ia5,ranked_4.pdb,vina,0.789,-2.404, 0.000, 0.000, 0.000,-0.283, 1.615,-0.283
8ia5,ranked_4.pdb,vinardo,0.627, 1.911, 0.000, 0.000, 0.000,-2.410,-1.283,-2.410
8ia5,ranked_5.pdb,vina,0.843,-2.567, 0.000, 0.000, 0.000, 0.695, 1.724, 0.695
8ia5,ranked_5.pdb,vinardo,0.531, 1.618, 0.000, 0.000, 0.000,-1.444,-1.087,-1.444
8ia5,ranked_6.pdb,vina,1.173,-3.572, 0.000, 0.000, 0.000, 0.884, 2.400, 0.884
8ia5,ranked_6.pdb,vinardo,0.159, 0.484, 0.000, 0.000, 0.000,-1.316,-0.325,-1.316
8ia5,ranked_7.pdb,vina,0.959,-2.921, 0.000, 0.000, 0.000, 1.200, 1.962, 1.200
8ia5,ranked_7.pdb,vinardo,0.403, 1.229, 0.000, 0.000, 0.000,-0.944,-0.825,-0.944
8ia5,ranked_8.pdb,vina,0.999,-3.044, 0.000, 0.000, 0.000,-0.075, 2.045,-0.075
8ia5,ranked_8.pdb,vinardo,0.385, 1.173, 0.000, 0.000, 0.000,-2.177,-0.788,-2.177
8ia5,ranked_9.pdb,vina,1.094,-3.331, 0.000, 0.000, 0.000, 0.816, 2.238, 0.816
8ia5,ranked_9.pdb,vinardo,0.286, 0.870, 0.000, 0.000, 0.000,-1.362,-0.584,-1.362
8ia5,ranked_10.pdb,vina,0.951,-2.897, 0.000, 0.000, 0.000, 0.048, 1.946, 0.048
8ia5,ranked_10.pdb,vinardo,0.443, 1.348, 0.000, 0.000, 0.000,-2.074,-0.906,-2.074
8ia5,ranked_11.pdb,vina,1.048,-3.194, 0.000, 0.000, 0.000, 1.562, 2.145, 1.562
8ia5,ranked_11.pdb,vinardo,0.271, 0.826, 0.000, 0.000, 0.000,-0.474,-0.555,-0.474
8ia5,ranked_12.pdb,vina,1.183,-3.603, 0.000, 0.000, 0.000, 0.817, 2.420, 0.817
8ia5,ranked_12.pdb,vinardo,0.124, 0.379, 0.000, 0.000, 0.000,-1.367,-0.255,-1.367
8ia5,ranked_13.pdb,vina,1.176,-3.581, 0.000, 0.000, 0.000, 1.995, 2.406, 1.995
8ia5,ranked_13.pdb,vinardo,0.133, 0.406, 0.000, 0.000, 0.000,-0.178,-0.273,-0.178
8ia5,ranked_14.pdb,vina,0.860,-2.620, 0.000, 0.000, 0.000, 0.111, 1.760, 0.111
8ia5,ranked_14.pdb,vinardo,0.489, 1.490, 0.000, 0.000, 0.000,-1.978,-1.001,-1.978
