Filename,Value,AlphaFold Rank
ranked_766.pdb_clean,0.4565,766.0
ranked_776.pdb_clean,0.4440,776.0
ranked_917.pdb_clean,0.4342,917.0
ranked_810.pdb_clean,0.4328,810.0
ranked_880.pdb_clean,0.4304,880.0
ranked_700.pdb_clean,0.4255,700.0
ranked_388.pdb_clean,0.4208,388.0
ranked_671.pdb_clean,0.4203,671.0
ranked_619.pdb_clean,0.4164,619.0
ranked_816.pdb_clean,0.4157,816.0
ranked_735.pdb_clean,0.4147,735.0
ranked_658.pdb_clean,0.4144,658.0
ranked_920.pdb_clean,0.4142,920.0
ranked_491.pdb_clean,0.4115,491.0
ranked_575.pdb_clean,0.4114,575.0
ranked_645.pdb_clean,0.4101,645.0
ranked_710.pdb_clean,0.4090,710.0
ranked_322.pdb_clean,0.4083,322.0
ranked_255.pdb_clean,0.4081,255.0
ranked_914.pdb_clean,0.4078,914.0
ranked_931.pdb_clean,0.4076,931.0
ranked_632.pdb_clean,0.4071,632.0
ranked_677.pdb_clean,0.4068,677.0
ranked_408.pdb_clean,0.4055,408.0
ranked_789.pdb_clean,0.4051,789.0
ranked_745.pdb_clean,0.4050,745.0
ranked_289.pdb_clean,0.4050,289.0
ranked_251.pdb_clean,0.4049,251.0
ranked_302.pdb_clean,0.4038,302.0
ranked_685.pdb_clean,0.4035,685.0
ranked_857.pdb_clean,0.4028,857.0
ranked_588.pdb_clean,0.4028,588.0
ranked_790.pdb_clean,0.4024,790.0
ranked_252.pdb_clean,0.4024,252.0
ranked_271.pdb_clean,0.4023,271.0
ranked_256.pdb_clean,0.4020,256.0
ranked_501.pdb_clean,0.4019,501.0
ranked_485.pdb_clean,0.4019,485.0
ranked_400.pdb_clean,0.4015,400.0
ranked_455.pdb_clean,0.4014,455.0
ranked_483.pdb_clean,0.4011,483.0
ranked_514.pdb_clean,0.4010,514.0
ranked_405.pdb_clean,0.4009,405.0
ranked_363.pdb_clean,0.4009,363.0
ranked_240.pdb_clean,0.4007,240.0
ranked_750.pdb_clean,0.4005,750.0
ranked_457.pdb_clean,0.4001,457.0
ranked_362.pdb_clean,0.3998,362.0
ranked_738.pdb_clean,0.3995,738.0
ranked_467.pdb_clean,0.3995,467.0
ranked_781.pdb_clean,0.3993,781.0
ranked_290.pdb_clean,0.3990,290.0
ranked_244.pdb_clean,0.3989,244.0
ranked_243.pdb_clean,0.3988,243.0
ranked_468.pdb_clean,0.3985,468.0
ranked_311.pdb_clean,0.3984,311.0
ranked_312.pdb_clean,0.3983,312.0
ranked_284.pdb_clean,0.3983,284.0
ranked_799.pdb_clean,0.3982,799.0
ranked_373.pdb_clean,0.3982,373.0
ranked_842.pdb_clean,0.3980,842.0
ranked_841.pdb_clean,0.3980,841.0
ranked_367.pdb_clean,0.3980,367.0
ranked_479.pdb_clean,0.3978,479.0
ranked_276.pdb_clean,0.3978,276.0
ranked_518.pdb_clean,0.3977,518.0
ranked_678.pdb_clean,0.3976,678.0
ranked_552.pdb_clean,0.3976,552.0
ranked_627.pdb_clean,0.3975,627.0
ranked_531.pdb_clean,0.3975,531.0
ranked_778.pdb_clean,0.3974,778.0
ranked_323.pdb_clean,0.3974,323.0
ranked_300.pdb_clean,0.3974,300.0
ranked_941.pdb_clean,0.3973,941.0
ranked_316.pdb_clean,0.3973,316.0
ranked_250.pdb_clean,0.3973,250.0
ranked_967.pdb_clean,0.3972,967.0
ranked_762.pdb_clean,0.3971,762.0
ranked_449.pdb_clean,0.3971,449.0
ranked_265.pdb_clean,0.3968,265.0
ranked_245.pdb_clean,0.3967,245.0
ranked_229.pdb_clean,0.3967,229.0
ranked_664.pdb_clean,0.3966,664.0
ranked_626.pdb_clean,0.3964,626.0
ranked_272.pdb_clean,0.3964,272.0
ranked_647.pdb_clean,0.3963,647.0
ranked_387.pdb_clean,0.3963,387.0
ranked_543.pdb_clean,0.3962,543.0
ranked_487.pdb_clean,0.3959,487.0
ranked_234.pdb_clean,0.3958,234.0
ranked_614.pdb_clean,0.3957,614.0
ranked_718.pdb_clean,0.3956,718.0
ranked_676.pdb_clean,0.3956,676.0
ranked_161.pdb_clean,0.3956,161.0
ranked_452.pdb_clean,0.3955,452.0
ranked_223.pdb_clean,0.3955,223.0
ranked_652.pdb_clean,0.3954,652.0
ranked_354.pdb_clean,0.3954,354.0
ranked_596.pdb_clean,0.3953,596.0
ranked_227.pdb_clean,0.3953,227.0
ranked_831.pdb_clean,0.3950,831.0
ranked_291.pdb_clean,0.3949,291.0
ranked_589.pdb_clean,0.3946,589.0
ranked_535.pdb_clean,0.3946,535.0
ranked_954.pdb_clean,0.3945,954.0
ranked_523.pdb_clean,0.3945,523.0
ranked_236.pdb_clean,0.3943,236.0
ranked_706.pdb_clean,0.3942,706.0
ranked_546.pdb_clean,0.3942,546.0
ranked_368.pdb_clean,0.3940,368.0
ranked_294.pdb_clean,0.3940,294.0
ranked_643.pdb_clean,0.3939,643.0
ranked_510.pdb_clean,0.3939,510.0
ranked_410.pdb_clean,0.3939,410.0
ranked_800.pdb_clean,0.3937,800.0
ranked_340.pdb_clean,0.3937,340.0
ranked_913.pdb_clean,0.3936,913.0
ranked_473.pdb_clean,0.3936,473.0
ranked_375.pdb_clean,0.3936,375.0
ranked_890.pdb_clean,0.3935,890.0
ranked_835.pdb_clean,0.3935,835.0
ranked_648.pdb_clean,0.3935,648.0
ranked_249.pdb_clean,0.3935,249.0
ranked_270.pdb_clean,0.3933,270.0
ranked_150.pdb_clean,0.3932,150.0
ranked_580.pdb_clean,0.3929,580.0
ranked_239.pdb_clean,0.3929,239.0
ranked_591.pdb_clean,0.3928,591.0
ranked_869.pdb_clean,0.3927,869.0
ranked_900.pdb_clean,0.3926,900.0
