Filename,Value,AlphaFold Rank
ranked_452.pdb_clean,0.6423,452.0
ranked_411.pdb_clean,0.6272,411.0
ranked_673.pdb_clean,0.6099,673.0
ranked_697.pdb_clean,0.6084,697.0
ranked_736.pdb_clean,0.6071,736.0
ranked_476.pdb_clean,0.6070,476.0
ranked_546.pdb_clean,0.6055,546.0
ranked_419.pdb_clean,0.5938,419.0
ranked_589.pdb_clean,0.5934,589.0
ranked_575.pdb_clean,0.5933,575.0
ranked_712.pdb_clean,0.5918,712.0
ranked_609.pdb_clean,0.5875,609.0
ranked_384.pdb_clean,0.5870,384.0
ranked_604.pdb_clean,0.5790,604.0
ranked_727.pdb_clean,0.5787,727.0
ranked_683.pdb_clean,0.5781,683.0
ranked_451.pdb_clean,0.5768,451.0
ranked_484.pdb_clean,0.5759,484.0
ranked_540.pdb_clean,0.5747,540.0
ranked_633.pdb_clean,0.5746,633.0
ranked_457.pdb_clean,0.5707,457.0
ranked_395.pdb_clean,0.5696,395.0
ranked_501.pdb_clean,0.5668,501.0
ranked_463.pdb_clean,0.5664,463.0
ranked_807.pdb_clean,0.5649,807.0
ranked_676.pdb_clean,0.5646,676.0
ranked_608.pdb_clean,0.5639,608.0
ranked_761.pdb_clean,0.5631,761.0
ranked_743.pdb_clean,0.5629,743.0
ranked_667.pdb_clean,0.5624,667.0
ranked_665.pdb_clean,0.5610,665.0
ranked_672.pdb_clean,0.5599,672.0
ranked_670.pdb_clean,0.5596,670.0
ranked_502.pdb_clean,0.5593,502.0
ranked_648.pdb_clean,0.5569,648.0
ranked_353.pdb_clean,0.5503,353.0
ranked_916.pdb_clean,0.5486,916.0
ranked_572.pdb_clean,0.5482,572.0
ranked_515.pdb_clean,0.5470,515.0
ranked_369.pdb_clean,0.5468,369.0
ranked_693.pdb_clean,0.5465,693.0
ranked_874.pdb_clean,0.5460,874.0
ranked_276.pdb_clean,0.5445,276.0
ranked_714.pdb_clean,0.5441,714.0
ranked_532.pdb_clean,0.5439,532.0
ranked_364.pdb_clean,0.5431,364.0
ranked_718.pdb_clean,0.5430,718.0
ranked_375.pdb_clean,0.5422,375.0
ranked_324.pdb_clean,0.5417,324.0
ranked_849.pdb_clean,0.5415,849.0
ranked_856.pdb_clean,0.5408,856.0
ranked_483.pdb_clean,0.5402,483.0
ranked_377.pdb_clean,0.5393,377.0
ranked_928.pdb_clean,0.5388,928.0
ranked_652.pdb_clean,0.5379,652.0
ranked_740.pdb_clean,0.5375,740.0
ranked_773.pdb_clean,0.5374,773.0
ranked_711.pdb_clean,0.5363,711.0
ranked_760.pdb_clean,0.5359,760.0
ranked_715.pdb_clean,0.5343,715.0
ranked_872.pdb_clean,0.5308,872.0
ranked_264.pdb_clean,0.5279,264.0
ranked_816.pdb_clean,0.5277,816.0
ranked_327.pdb_clean,0.5272,327.0
ranked_531.pdb_clean,0.5261,531.0
ranked_586.pdb_clean,0.5260,586.0
ranked_934.pdb_clean,0.5255,934.0
ranked_298.pdb_clean,0.5230,298.0
ranked_795.pdb_clean,0.5223,795.0
ranked_371.pdb_clean,0.5219,371.0
ranked_433.pdb_clean,0.5172,433.0
ranked_840.pdb_clean,0.5169,840.0
ranked_918.pdb_clean,0.5153,918.0
ranked_860.pdb_clean,0.5151,860.0
ranked_737.pdb_clean,0.5146,737.0
ranked_804.pdb_clean,0.5142,804.0
ranked_725.pdb_clean,0.5138,725.0
ranked_316.pdb_clean,0.5126,316.0
ranked_689.pdb_clean,0.5116,689.0
ranked_858.pdb_clean,0.5101,858.0
ranked_911.pdb_clean,0.5080,911.0
ranked_870.pdb_clean,0.5079,870.0
ranked_428.pdb_clean,0.5079,428.0
ranked_696.pdb_clean,0.5071,696.0
ranked_905.pdb_clean,0.5055,905.0
ranked_267.pdb_clean,0.5054,267.0
ranked_857.pdb_clean,0.5047,857.0
ranked_423.pdb_clean,0.5047,423.0
ranked_356.pdb_clean,0.5041,356.0
ranked_414.pdb_clean,0.5036,414.0
ranked_404.pdb_clean,0.5033,404.0
ranked_630.pdb_clean,0.5024,630.0
ranked_337.pdb_clean,0.5023,337.0
ranked_434.pdb_clean,0.5018,434.0
ranked_833.pdb_clean,0.5008,833.0
ranked_839.pdb_clean,0.5004,839.0
ranked_579.pdb_clean,0.5003,579.0
ranked_500.pdb_clean,0.4999,500.0
ranked_888.pdb_clean,0.4983,888.0
ranked_823.pdb_clean,0.4982,823.0
ranked_478.pdb_clean,0.4980,478.0
ranked_962.pdb_clean,0.4974,962.0
ranked_418.pdb_clean,0.4959,418.0
ranked_507.pdb_clean,0.4954,507.0
ranked_955.pdb_clean,0.4948,955.0
ranked_368.pdb_clean,0.4942,368.0
ranked_287.pdb_clean,0.4928,287.0
