complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8fxq,ranked_0.pdb,vina,3.654,-6.431, 0.000, 0.000, 0.000,-1.160, 2.777,-1.160
8fxq,ranked_0.pdb,vinardo,2.830,-4.981, 0.000, 0.000, 0.000,-1.311, 2.151,-1.311
8fxq,ranked_1.pdb,vina,3.634,-6.396, 0.000, 0.000, 0.000,-1.146, 2.762,-1.146
8fxq,ranked_1.pdb,vinardo,2.843,-5.003, 0.000, 0.000, 0.000,-1.289, 2.160,-1.289
8fxq,ranked_2.pdb,vina,3.696,-6.504, 0.000, 0.000, 0.000,-1.140, 2.809,-1.140
8fxq,ranked_2.pdb,vinardo,2.880,-5.069, 0.000, 0.000, 0.000,-1.287, 2.189,-1.287
8fxq,ranked_3.pdb,vina,3.649,-6.423, 0.000, 0.000, 0.000,-1.127, 2.773,-1.127
8fxq,ranked_3.pdb,vinardo,2.823,-4.969, 0.000, 0.000, 0.000,-1.270, 2.146,-1.270
8fxq,ranked_4.pdb,vina,3.414,-6.009, 0.000, 0.000, 0.000,-1.142, 2.595,-1.142
8fxq,ranked_4.pdb,vinardo,2.655,-4.672, 0.000, 0.000, 0.000,-1.297, 2.017,-1.297
8fxq,ranked_5.pdb,vina,3.608,-6.349, 0.000, 0.000, 0.000,-1.142, 2.742,-1.142
8fxq,ranked_5.pdb,vinardo,2.778,-4.889, 0.000, 0.000, 0.000,-1.296, 2.111,-1.296
8fxq,ranked_6.pdb,vina,3.476,-6.117, 0.000, 0.000, 0.000,-1.132, 2.641,-1.132
8fxq,ranked_6.pdb,vinardo,2.680,-4.717, 0.000, 0.000, 0.000,-1.283, 2.037,-1.283
8fxq,ranked_7.pdb,vina,3.619,-6.369, 0.000, 0.000, 0.000,-1.144, 2.750,-1.144
8fxq,ranked_7.pdb,vinardo,2.837,-4.993, 0.000, 0.000, 0.000,-1.282, 2.156,-1.282
8fxq,ranked_8.pdb,vina,3.405,-5.993, 0.000, 0.000, 0.000,-1.121, 2.588,-1.121
8fxq,ranked_8.pdb,vinardo,2.615,-4.603, 0.000, 0.000, 0.000,-1.279, 1.988,-1.279
8fxq,ranked_9.pdb,vina,3.572,-6.287, 0.000, 0.000, 0.000,-1.116, 2.715,-1.116
8fxq,ranked_9.pdb,vinardo,2.766,-4.868, 0.000, 0.000, 0.000,-1.258, 2.102,-1.258
8fxq,ranked_10.pdb,vina,3.710,-6.530, 0.000, 0.000, 0.000,-1.171, 2.820,-1.171
8fxq,ranked_10.pdb,vinardo,2.897,-5.099, 0.000, 0.000, 0.000,-1.321, 2.202,-1.321
8fxq,ranked_11.pdb,vina,3.542,-6.234, 0.000, 0.000, 0.000,-1.142, 2.692,-1.142
8fxq,ranked_11.pdb,vinardo,2.720,-4.788, 0.000, 0.000, 0.000,-1.291, 2.067,-1.291
8fxq,ranked_12.pdb,vina,3.586,-6.311, 0.000, 0.000, 0.000,-1.162, 2.725,-1.162
8fxq,ranked_12.pdb,vinardo,2.763,-4.863, 0.000, 0.000, 0.000,-1.315, 2.100,-1.315
8fxq,ranked_13.pdb,vina,3.434,-6.044, 0.000, 0.000, 0.000,-1.136, 2.610,-1.136
8fxq,ranked_13.pdb,vinardo,2.649,-4.663, 0.000, 0.000, 0.000,-1.289, 2.013,-1.289
8fxq,ranked_14.pdb,vina,3.443,-6.060, 0.000, 0.000, 0.000,-1.143, 2.617,-1.143
8fxq,ranked_14.pdb,vinardo,2.641,-4.648, 0.000, 0.000, 0.000,-1.281, 2.007,-1.281
8fxq,ranked_15.pdb,vina,3.532,-6.216, 0.000, 0.000, 0.000,-1.142, 2.684,-1.142
