complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7zw4,ranked_0.pdb,vina,0.811,-5.270, 0.000, 0.000, 0.000,-8.752, 4.459,-8.752
7zw4,ranked_0.pdb,vinardo, 0.600,  3.897,  0.000,  0.000,  0.000,-17.735, -3.297,-17.735
7zw4,ranked_1.pdb,vina,0.878,-5.700, 0.000, 0.000, 0.000,-9.091, 4.823,-9.091
7zw4,ranked_1.pdb,vinardo, 0.553,  3.590,  0.000,  0.000,  0.000,-18.171, -3.038,-18.171
7zw4,ranked_2.pdb,vina,0.957,-6.216, 0.000, 0.000, 0.000,-8.781, 5.259,-8.781
7zw4,ranked_2.pdb,vinardo, 0.470,  3.053,  0.000,  0.000,  0.000,-17.919, -2.583,-17.919
7zw4,ranked_3.pdb,vina,1.193,-7.751, 0.000, 0.000, 0.000,-8.993, 6.558,-8.993
7zw4,ranked_3.pdb,vinardo, 0.233,  1.511,  0.000,  0.000,  0.000,-17.976, -1.279,-17.976
7zw4,ranked_4.pdb,vina,0.987,-6.414, 0.000, 0.000, 0.000,-8.360, 5.426,-8.360
7zw4,ranked_4.pdb,vinardo, 0.454,  2.951,  0.000,  0.000,  0.000,-17.312, -2.497,-17.312
7zw4,ranked_5.pdb,vina,0.968,-6.285, 0.000, 0.000, 0.000,-9.424, 5.317,-9.424
7zw4,ranked_5.pdb,vinardo, 0.489,  3.173,  0.000,  0.000,  0.000,-18.295, -2.684,-18.295
7zw4,ranked_6.pdb,vina,1.048,-6.809, 0.000, 0.000, 0.000,-9.139, 5.760,-9.139
7zw4,ranked_6.pdb,vinardo, 0.385,  2.503,  0.000,  0.000,  0.000,-18.022, -2.118,-18.022
7zw4,ranked_7.pdb,vina,1.063,-6.905, 0.000, 0.000, 0.000,-7.944, 5.842,-7.944
7zw4,ranked_7.pdb,vinardo, 0.372,  2.416,  0.000,  0.000,  0.000,-16.763, -2.044,-16.763
7zw4,ranked_8.pdb,vina,0.969,-6.294, 0.000, 0.000, 0.000,-9.169, 5.325,-9.169
7zw4,ranked_8.pdb,vinardo, 0.499,  3.241,  0.000,  0.000,  0.000,-18.151, -2.742,-18.151
7zw4,ranked_9.pdb,vina,1.045,-6.785, 0.000, 0.000, 0.000,-8.379, 5.740,-8.379
7zw4,ranked_9.pdb,vinardo, 0.388,  2.518,  0.000,  0.000,  0.000,-17.060, -2.130,-17.060
7zw4,ranked_10.pdb,vina,0.952,-6.184, 0.000, 0.000, 0.000,-8.959, 5.232,-8.959
7zw4,ranked_10.pdb,vinardo, 0.517,  3.355,  0.000,  0.000,  0.000,-17.994, -2.839,-17.994
7zw4,ranked_11.pdb,vina,1.510,-9.805, 0.000, 0.000, 0.000,-8.976, 8.296,-8.976
7zw4,ranked_11.pdb,vinardo,-0.154, -1.001,  0.000,  0.000,  0.000,-18.159,  0.847,-18.159
7zw4,ranked_12.pdb,vina,1.254,-8.146, 0.000, 0.000, 0.000,-8.088, 6.892,-8.088
7zw4,ranked_12.pdb,vinardo, 0.154,  1.003,  0.000,  0.000,  0.000,-16.950, -0.849,-16.950
7zw4,ranked_13.pdb,vina,1.356,-8.805, 0.000, 0.000, 0.000,-8.116, 7.450,-8.116
7zw4,ranked_13.pdb,vinardo,1.500e-02, 9.500e-02, 0.000e+00, 0.000e+00, 0.000e+00,-1.692e+01,
 -8.000e-02,-1.692e+01
7zw4,ranked_14.pdb,vina,0.785,-5.101, 0.000, 0.000, 0.000,-8.934, 4.316,-8.934
7zw4,ranked_14.pdb,vinardo, 0.669,  4.348,  0.000,  0.000,  0.000,-18.032, -3.678,-18.032
7zw4,ranked_15.pdb,vina,1.155,-7.499, 0.000, 0.000, 0.000,-9.267, 6.344,-9.267
7zw4,ranked_15.pdb,vinardo, 0.240,  1.560,  0.000,  0.000,  0.000,-18.210, -1.320,-18.210
7zw4,ranked_16.pdb,vina,1.016,-6.598, 0.000, 0.000, 0.000,-8.255, 5.583,-8.255
7zw4,ranked_16.pdb,vinardo, 0.421,  2.734,  0.000,  0.000,  0.000,-17.127, -2.313,-17.127
7zw4,ranked_17.pdb,vina,0.860,-5.583, 0.000, 0.000, 0.000,-8.805, 4.723,-8.805
7zw4,ranked_17.pdb,vinardo, 0.596,  3.873,  0.000,  0.000,  0.000,-17.956, -3.277,-17.956
7zw4,ranked_18.pdb,vina,0.937,-6.085, 0.000, 0.000, 0.000,-8.384, 5.148,-8.384
7zw4,ranked_18.pdb,vinardo, 0.536,  3.482,  0.000,  0.000,  0.000,-17.179, -2.946,-17.179
7zw4,ranked_19.pdb,vina,1.019,-6.616, 0.000, 0.000, 0.000,-8.005, 5.597,-8.005
7zw4,ranked_19.pdb,vinardo, 0.432,  2.809,  0.000,  0.000,  0.000,-16.899, -2.376,-16.899
7zw4,ranked_20.pdb,vina,1.036,-6.729, 0.000, 0.000, 0.000,-7.892, 5.693,-7.892
7zw4,ranked_20.pdb,vinardo, 0.397,  2.576,  0.000,  0.000,  0.000,-16.904, -2.179,-16.904
7zw4,ranked_21.pdb,vina,0.777,-5.049, 0.000, 0.000, 0.000,-9.012, 4.271,-9.012
7zw4,ranked_21.pdb,vinardo, 0.670,  4.355,  0.000,  0.000,  0.000,-18.184, -3.684,-18.184
7zw4,ranked_22.pdb,vina,0.449, 2.919, 0.000, 0.000, 0.000,-7.358,-2.470,-7.358
7zw4,ranked_22.pdb,vinardo, 2.176, 14.134,  0.000,  0.000,  0.000,-16.858,-11.958,-16.858
7zw4,ranked_23.pdb,vina,0.970,-6.302, 0.000, 0.000, 0.000,-8.642, 5.332,-8.642
7zw4,ranked_23.pdb,vinardo, 0.483,  3.134,  0.000,  0.000,  0.000,-17.833, -2.652,-17.833
7zw4,ranked_24.pdb,vina,0.977,-6.347, 0.000, 0.000, 0.000,-9.326, 5.370,-9.326
7zw4,ranked_24.pdb,vinardo, 0.467,  3.032,  0.000,  0.000,  0.000,-18.208, -2.565,-18.208
7zw4,ranked_25.pdb,vina,1.319,-8.570, 0.000, 0.000, 0.000,-7.825, 7.250,-7.825
7zw4,ranked_25.pdb,vinardo, 0.050,  0.325,  0.000,  0.000,  0.000,-16.598, -0.275,-16.598
7zw4,ranked_26.pdb,vina,1.120,-7.276, 0.000, 0.000, 0.000,-9.227, 6.156,-9.227
7zw4,ranked_26.pdb,vinardo, 0.314,  2.041,  0.000,  0.000,  0.000,-18.225, -1.727,-18.225
7zw4,ranked_27.pdb,vina,0.883,-5.734, 0.000, 0.000, 0.000,-8.818, 4.851,-8.818
7zw4,ranked_27.pdb,vinardo, 0.586,  3.804,  0.000,  0.000,  0.000,-18.019, -3.219,-18.019
7zw4,ranked_28.pdb,vina,1.404,-9.119, 0.000, 0.000, 0.000,-7.807, 7.715,-7.807
7zw4,ranked_28.pdb,vinardo,1.600e-02,-1.040e-01, 0.000e+00, 0.000e+00, 0.000e+00,-1.671e+01,
  8.800e-02,-1.671e+01
7zw4,ranked_29.pdb,vina,1.124,-7.301, 0.000, 0.000, 0.000,-9.041, 6.177,-9.041
7zw4,ranked_29.pdb,vinardo, 0.289,  1.876,  0.000,  0.000,  0.000,-17.855, -1.588,-17.855
7zw4,ranked_30.pdb,vina,1.030,-6.690, 0.000, 0.000, 0.000,-9.333, 5.660,-9.333
7zw4,ranked_30.pdb,vinardo, 0.377,  2.449,  0.000,  0.000,  0.000,-18.216, -2.072,-18.216
7zw4,ranked_31.pdb,vina,1.350,-8.772, 0.000, 0.000, 0.000,-8.557, 7.421,-8.557
7zw4,ranked_31.pdb,vinardo, 0.050,  0.326,  0.000,  0.000,  0.000,-17.229, -0.276,-17.229
7zw4,ranked_32.pdb,vina,1.061,-6.889, 0.000, 0.000, 0.000,-9.306, 5.828,-9.306
7zw4,ranked_32.pdb,vinardo, 0.340,  2.211,  0.000,  0.000,  0.000,-18.225, -1.871,-18.225
7zw4,ranked_33.pdb,vina,1.236,-8.030, 0.000, 0.000, 0.000,-8.453, 6.794,-8.453
7zw4,ranked_33.pdb,vinardo, 0.186,  1.210,  0.000,  0.000,  0.000,-17.231, -1.024,-17.231
7zw4,ranked_34.pdb,vina,1.027,-6.669, 0.000, 0.000, 0.000,-8.089, 5.642,-8.089
7zw4,ranked_34.pdb,vinardo, 0.409,  2.655,  0.000,  0.000,  0.000,-16.880, -2.246,-16.880
7zw4,ranked_35.pdb,vina,1.002,-6.507, 0.000, 0.000, 0.000,-7.562, 5.505,-7.562
7zw4,ranked_35.pdb,vinardo, 0.456,  2.963,  0.000,  0.000,  0.000,-16.672, -2.507,-16.672
7zw4,ranked_36.pdb,vina,1.017,-6.609, 0.000, 0.000, 0.000,-8.215, 5.591,-8.215
7zw4,ranked_36.pdb,vinardo, 0.418,  2.712,  0.000,  0.000,  0.000,-17.200, -2.295,-17.200
7zw4,ranked_37.pdb,vina,0.913,-5.933, 0.000, 0.000, 0.000,-9.484, 5.019,-9.484
7zw4,ranked_37.pdb,vinardo, 0.542,  3.523,  0.000,  0.000,  0.000,-18.451, -2.980,-18.451
7zw4,ranked_38.pdb,vina,1.321,-8.580, 0.000, 0.000, 0.000,-9.089, 7.259,-9.089
7zw4,ranked_38.pdb,vinardo, 0.063,  0.408,  0.000,  0.000,  0.000,-17.926, -0.345,-17.926
7zw4,ranked_39.pdb,vina,1.248,-8.108, 0.000, 0.000, 0.000,-7.947, 6.859,-7.947
7zw4,ranked_39.pdb,vinardo, 0.187,  1.214,  0.000,  0.000,  0.000,-16.930, -1.027,-16.930
7zw4,ranked_40.pdb,vina,1.153,-7.488, 0.000, 0.000, 0.000,-7.891, 6.335,-7.891
7zw4,ranked_40.pdb,vinardo, 0.277,  1.798,  0.000,  0.000,  0.000,-16.614, -1.521,-16.614
7zw4,ranked_41.pdb,vina,0.842,-5.467, 0.000, 0.000, 0.000,-8.759, 4.625,-8.759
7zw4,ranked_41.pdb,vinardo, 0.595,  3.866,  0.000,  0.000,  0.000,-18.009, -3.271,-18.009
7zw4,ranked_42.pdb,vina,1.013,-6.580, 0.000, 0.000, 0.000,-8.587, 5.567,-8.587
7zw4,ranked_42.pdb,vinardo, 0.418,  2.712,  0.000,  0.000,  0.000,-17.744, -2.295,-17.744
7zw4,ranked_43.pdb,vina,-1.614,-10.485,  0.000,  0.000,  0.000, -8.201,  8.871, -8.201
7zw4,ranked_43.pdb,vinardo,-0.279, -1.811,  0.000,  0.000,  0.000,-16.957,  1.532,-16.957
7zw4,ranked_44.pdb,vina,1.396,-9.069, 0.000, 0.000, 0.000,-8.027, 7.673,-8.027
7zw4,ranked_44.pdb,vinardo,-0.039, -0.254,  0.000,  0.000,  0.000,-16.864,  0.215,-16.864
7zw4,ranked_45.pdb,vina,0.840,-5.458, 0.000, 0.000, 0.000,-8.960, 4.618,-8.960
7zw4,ranked_45.pdb,vinardo, 0.626,  4.066,  0.000,  0.000,  0.000,-18.074, -3.440,-18.074
7zw4,ranked_46.pdb,vina,1.081,-7.022, 0.000, 0.000, 0.000,-8.334, 5.941,-8.334
7zw4,ranked_46.pdb,vinardo, 0.356,  2.314,  0.000,  0.000,  0.000,-17.005, -1.958,-17.005
7zw4,ranked_47.pdb,vina,1.167,-7.580, 0.000, 0.000, 0.000,-7.748, 6.413,-7.748
7zw4,ranked_47.pdb,vinardo, 0.275,  1.787,  0.000,  0.000,  0.000,-16.524, -1.512,-16.524
7zw4,ranked_48.pdb,vina,1.264,-8.212, 0.000, 0.000, 0.000,-7.992, 6.948,-7.992
7zw4,ranked_48.pdb,vinardo, 0.129,  0.840,  0.000,  0.000,  0.000,-16.816, -0.711,-16.816
7zw4,ranked_49.pdb,vina,0.945,-6.138, 0.000, 0.000, 0.000,-8.119, 5.193,-8.119
7zw4,ranked_49.pdb,vinardo, 0.499,  3.240,  0.000,  0.000,  0.000,-16.976, -2.741,-16.976
7zw4,ranked_50.pdb,vina,0.798,-5.183, 0.000, 0.000, 0.000,-9.337, 4.385,-9.337
7zw4,ranked_50.pdb,vinardo, 0.662,  4.301,  0.000,  0.000,  0.000,-18.293, -3.639,-18.293
7zw4,ranked_51.pdb,vina,1.037,-6.734, 0.000, 0.000, 0.000,-7.769, 5.697,-7.769
7zw4,ranked_51.pdb,vinardo, 0.461,  2.997,  0.000,  0.000,  0.000,-16.632, -2.536,-16.632
7zw4,ranked_52.pdb,vina,0.984,-6.394, 0.000, 0.000, 0.000,-8.133, 5.410,-8.133
7zw4,ranked_52.pdb,vinardo, 0.455,  2.958,  0.000,  0.000,  0.000,-16.872, -2.502,-16.872
7zw4,ranked_53.pdb,vina,0.776,-5.043, 0.000, 0.000, 0.000,-9.166, 4.267,-9.166
7zw4,ranked_53.pdb,vinardo, 0.688,  4.468,  0.000,  0.000,  0.000,-18.241, -3.780,-18.241
7zw4,ranked_54.pdb,vina,1.538,-9.988, 0.000, 0.000, 0.000,-8.050, 8.450,-8.050
7zw4,ranked_54.pdb,vinardo,-0.188, -1.223,  0.000,  0.000,  0.000,-16.802,  1.035,-16.802
7zw4,ranked_55.pdb,vina,0.928,-6.028, 0.000, 0.000, 0.000,-8.009, 5.100,-8.009
7zw4,ranked_55.pdb,vinardo, 0.523,  3.397,  0.000,  0.000,  0.000,-16.891, -2.874,-16.891
7zw4,ranked_56.pdb,vina,0.980,-6.364, 0.000, 0.000, 0.000,-9.070, 5.384,-9.070
7zw4,ranked_56.pdb,vinardo, 0.446,  2.898,  0.000,  0.000,  0.000,-18.127, -2.452,-18.127
7zw4,ranked_57.pdb,vina,1.043,-6.773, 0.000, 0.000, 0.000,-8.702, 5.730,-8.702
7zw4,ranked_57.pdb,vinardo, 0.374,  2.429,  0.000,  0.000,  0.000,-17.838, -2.055,-17.838
