#  old_rank	structure_name		score
0	985	ranked_985.pdb_clean	-118.48703432127519
1	741	ranked_741.pdb_clean	-79.20457094475792
2	500	ranked_500.pdb_clean	-65.23324835742801
3	797	ranked_797.pdb_clean	-64.83108429366509
4	857	ranked_857.pdb_clean	-48.91273456047793
5	943	ranked_943.pdb_clean	-46.68936815749393
6	878	ranked_878.pdb_clean	-45.07870184619635
7	731	ranked_731.pdb_clean	-44.64101008114758
8	922	ranked_922.pdb_clean	-44.111930808732694
9	815	ranked_815.pdb_clean	-43.90383496985942
10	372	ranked_372.pdb_clean	-36.88516822502121
11	638	ranked_638.pdb_clean	-35.92864324862194
12	901	ranked_901.pdb_clean	-35.716190778080914
13	710	ranked_710.pdb_clean	-31.21527187743454
14	354	ranked_354.pdb_clean	-29.46560851023114
15	430	ranked_430.pdb_clean	-27.420015792464405
16	564	ranked_564.pdb_clean	-22.958060278805746
17	384	ranked_384.pdb_clean	-22.748994858964615
18	600	ranked_600.pdb_clean	-22.46147911129723
19	733	ranked_733.pdb_clean	-16.633042092126743
20	478	ranked_478.pdb_clean	-11.922915643263572
21	647	ranked_647.pdb_clean	-7.829930653848685
22	927	ranked_927.pdb_clean	-5.834339429040263
23	743	ranked_743.pdb_clean	-5.486582204162524
24	871	ranked_871.pdb_clean	-5.344040725521843
25	673	ranked_673.pdb_clean	-3.719756453835309
26	844	ranked_844.pdb_clean	-1.5964621784134252
27	491	ranked_491.pdb_clean	-1.3484159222923395
28	810	ranked_810.pdb_clean	1.6715862815350775
29	308	ranked_308.pdb_clean	4.340494504241782
30	645	ranked_645.pdb_clean	8.735775633561978
31	486	ranked_486.pdb_clean	9.780012905870784
32	742	ranked_742.pdb_clean	10.049488921725008
33	903	ranked_903.pdb_clean	10.371971851524172
34	702	ranked_702.pdb_clean	11.34781829495207
35	639	ranked_639.pdb_clean	11.536512000044347
36	405	ranked_405.pdb_clean	12.100988889455643
37	781	ranked_781.pdb_clean	13.14998653214419
38	811	ranked_811.pdb_clean	14.49925277424584
39	284	ranked_284.pdb_clean	14.860006595918911
40	644	ranked_644.pdb_clean	15.082619946011768
41	580	ranked_580.pdb_clean	15.23092411854227
42	893	ranked_893.pdb_clean	15.92797970468336
43	579	ranked_579.pdb_clean	16.320553871577765
44	777	ranked_777.pdb_clean	16.459276817190293
45	615	ranked_615.pdb_clean	17.82995779260515
46	950	ranked_950.pdb_clean	18.534848159259177
47	634	ranked_634.pdb_clean	20.078385917426736
48	872	ranked_872.pdb_clean	20.647386735888766
49	313	ranked_313.pdb_clean	21.084460368990584
50	790	ranked_790.pdb_clean	21.254374581107278
51	440	ranked_440.pdb_clean	21.60398094403528
52	577	ranked_577.pdb_clean	21.90415514718284
53	604	ranked_604.pdb_clean	22.35777109273986
54	146	ranked_146.pdb_clean	22.554662723550173
55	303	ranked_303.pdb_clean	23.12068326206377
56	667	ranked_667.pdb_clean	24.78071956874259
57	443	ranked_443.pdb_clean	25.332196369412053
58	898	ranked_898.pdb_clean	26.50108385143175
59	827	ranked_827.pdb_clean	26.59701276096046
60	838	ranked_838.pdb_clean	27.302036523213893
61	866	ranked_866.pdb_clean	27.607449618024454
62	431	ranked_431.pdb_clean	27.72535380109627
63	444	ranked_444.pdb_clean	27.979709840621176
64	545	ranked_545.pdb_clean	29.288403742942755
65	709	ranked_709.pdb_clean	29.430417339600034
66	381	ranked_381.pdb_clean	29.589792209635924
67	387	ranked_387.pdb_clean	29.96892718992374
68	598	ranked_598.pdb_clean	30.59545382625587
69	780	ranked_780.pdb_clean	32.75010404745509
70	754	ranked_754.pdb_clean	33.37979795803496
71	328	ranked_328.pdb_clean	33.91459282998583
72	814	ranked_814.pdb_clean	36.387870588548644
73	47	ranked_47.pdb_clean	37.149692630080715
74	493	ranked_493.pdb_clean	37.526235637127904
75	413	ranked_413.pdb_clean	37.7626123463242
76	393	ranked_393.pdb_clean	37.77820264947672
77	693	ranked_693.pdb_clean	39.119897056695514
78	126	ranked_126.pdb_clean	40.790885589240254
79	537	ranked_537.pdb_clean	42.12801189144607
80	641	ranked_641.pdb_clean	42.30718796948553
81	369	ranked_369.pdb_clean	42.59830371592329
82	711	ranked_711.pdb_clean	43.048926006290465
83	930	ranked_930.pdb_clean	43.52127419474956
84	894	ranked_894.pdb_clean	44.677338763475795
85	828	ranked_828.pdb_clean	45.34632106070563
86	548	ranked_548.pdb_clean	45.59586296638812
87	347	ranked_347.pdb_clean	46.29475550974173
88	643	ranked_643.pdb_clean	48.78425667242956
89	726	ranked_726.pdb_clean	49.54896978061951
90	672	ranked_672.pdb_clean	49.80291388836647
91	482	ranked_482.pdb_clean	50.9455648603761
92	723	ranked_723.pdb_clean	51.258419838899094
93	299	ranked_299.pdb_clean	51.711087181579195
94	771	ranked_771.pdb_clean	52.25318050367934
95	282	ranked_282.pdb_clean	53.08782286511332
96	196	ranked_196.pdb_clean	53.212405375038905
97	320	ranked_320.pdb_clean	53.50537802775654
98	533	ranked_533.pdb_clean	54.05981173253033
99	549	ranked_549.pdb_clean	54.18376207701781
100	772	ranked_772.pdb_clean	55.69581109451567
101	292	ranked_292.pdb_clean	55.73799548970488
102	766	ranked_766.pdb_clean	59.34376911013822
103	595	ranked_595.pdb_clean	59.958977918470744
104	371	ranked_371.pdb_clean	60.95693903632955
105	834	ranked_834.pdb_clean	63.27544799004149
106	279	ranked_279.pdb_clean	64.76623868160837
107	531	ranked_531.pdb_clean	65.33874530280215
108	414	ranked_414.pdb_clean	65.34825978850569
109	422	ranked_422.pdb_clean	65.39179017903473
110	472	ranked_472.pdb_clean	65.76330190150617
111	884	ranked_884.pdb_clean	66.2825596051546
112	703	ranked_703.pdb_clean	66.76992815689897
113	132	ranked_132.pdb_clean	66.92503412625325
114	412	ranked_412.pdb_clean	67.32655717221647
115	586	ranked_586.pdb_clean	67.74008897929247
116	776	ranked_776.pdb_clean	67.88324700538752
117	657	ranked_657.pdb_clean	68.2486264601641
118	684	ranked_684.pdb_clean	69.97773689034278
119	818	ranked_818.pdb_clean	72.25833518114953
120	538	ranked_538.pdb_clean	72.33403324329453
121	503	ranked_503.pdb_clean	72.83534366859567
122	762	ranked_762.pdb_clean	73.33962177087889
123	688	ranked_688.pdb_clean	73.6760172045862
124	825	ranked_825.pdb_clean	75.146024169084
125	475	ranked_475.pdb_clean	75.28560119234314
126	992	ranked_992.pdb_clean	75.63196659996518
127	640	ranked_640.pdb_clean	76.08418847043191
128	612	ranked_612.pdb_clean	76.08711640678578
129	514	ranked_514.pdb_clean	76.40272479990676
130	782	ranked_782.pdb_clean	79.03401725823042
131	906	ranked_906.pdb_clean	79.95100700605576
132	732	ranked_732.pdb_clean	80.09255492173995
133	707	ranked_707.pdb_clean	80.59049036118421
134	257	ranked_257.pdb_clean	80.63135533746572
135	360	ranked_360.pdb_clean	80.73768714885435
136	788	ranked_788.pdb_clean	80.80755589026805
137	357	ranked_357.pdb_clean	81.3778637950235
138	911	ranked_911.pdb_clean	81.59401101760028
139	859	ranked_859.pdb_clean	82.53435809816122
140	694	ranked_694.pdb_clean	83.30525254786119
141	795	ranked_795.pdb_clean	83.30946811955968
142	692	ranked_692.pdb_clean	84.12686273560143
143	621	ranked_621.pdb_clean	84.57938505721276
144	757	ranked_757.pdb_clean	85.05131652997119
145	389	ranked_389.pdb_clean	85.36832098677195
146	536	ranked_536.pdb_clean	86.58277424112143
147	843	ranked_843.pdb_clean	86.81380249777027
148	178	ranked_178.pdb_clean	87.54588835085696
149	10	ranked_10.pdb_clean	87.61192808987994
150	882	ranked_882.pdb_clean	88.32754048408947
151	300	ranked_300.pdb_clean	88.42753650290254
152	333	ranked_333.pdb_clean	88.51300781595137
153	87	ranked_87.pdb_clean	88.55555728120822
154	436	ranked_436.pdb_clean	89.39612285362679
155	211	ranked_211.pdb_clean	90.23354468007659
156	606	ranked_606.pdb_clean	90.45914620109892
157	469	ranked_469.pdb_clean	91.02098378188361
158	398	ranked_398.pdb_clean	91.23861254242019
159	480	ranked_480.pdb_clean	91.27056295763728
160	158	ranked_158.pdb_clean	92.6504625359697
161	773	ranked_773.pdb_clean	93.03946997593019
162	124	ranked_124.pdb_clean	93.80392166753666
163	404	ranked_404.pdb_clean	94.28539088649322
164	439	ranked_439.pdb_clean	95.09654527673231
165	820	ranked_820.pdb_clean	95.29909364869576
166	724	ranked_724.pdb_clean	95.49641876371984
167	216	ranked_216.pdb_clean	95.73514567463084
168	462	ranked_462.pdb_clean	95.97718092243835
169	427	ranked_427.pdb_clean	96.19574870707015
170	273	ranked_273.pdb_clean	96.51529731455406
171	37	ranked_37.pdb_clean	96.62934289121515
172	323	ranked_323.pdb_clean	96.82007726873456
