#  old_rank	structure_name		score
0	70	ranked_70.pdb_clean	-260.1527016156673
1	145	ranked_145.pdb_clean	-236.03781968428055
2	149	ranked_149.pdb_clean	-232.12769508266584
3	157	ranked_157.pdb_clean	-217.76961239986676
4	34	ranked_34.pdb_clean	-215.62442823631804
5	118	ranked_118.pdb_clean	-211.32986151373785
6	180	ranked_180.pdb_clean	-210.2574419919639
7	98	ranked_98.pdb_clean	-206.93432175572406
8	87	ranked_87.pdb_clean	-203.73855867898794
9	47	ranked_47.pdb_clean	-203.16534791187874
10	96	ranked_96.pdb_clean	-198.70152224160842
11	84	ranked_84.pdb_clean	-198.23250921421035
12	178	ranked_178.pdb_clean	-196.33034892158742
13	48	ranked_48.pdb_clean	-193.58600442918902
14	36	ranked_36.pdb_clean	-191.97606194071977
15	104	ranked_104.pdb_clean	-189.98486028884741
16	144	ranked_144.pdb_clean	-189.88183702980737
17	115	ranked_115.pdb_clean	-188.19953780611442
18	50	ranked_50.pdb_clean	-188.102785832795
19	262	ranked_262.pdb_clean	-183.91108141119608
20	175	ranked_175.pdb_clean	-183.7890702537137
21	152	ranked_152.pdb_clean	-175.10929197657853
22	176	ranked_176.pdb_clean	-172.4446261590659
23	103	ranked_103.pdb_clean	-167.16695077939448
24	282	ranked_282.pdb_clean	-165.3438881427334
25	208	ranked_208.pdb_clean	-163.53846746112515
26	213	ranked_213.pdb_clean	-153.15853101609898
27	288	ranked_288.pdb_clean	-152.91605349384423
28	243	ranked_243.pdb_clean	-152.0657680983004
29	125	ranked_125.pdb_clean	-146.62027260784214
30	251	ranked_251.pdb_clean	-146.47410930036114
31	160	ranked_160.pdb_clean	-145.01991805425607
32	279	ranked_279.pdb_clean	-142.14313722496357
33	328	ranked_328.pdb_clean	-140.93516509032884
34	367	ranked_367.pdb_clean	-140.30913960352137
35	85	ranked_85.pdb_clean	-140.00973245109225
36	185	ranked_185.pdb_clean	-139.66295892994592
37	93	ranked_93.pdb_clean	-139.36422662611528
38	190	ranked_190.pdb_clean	-136.39661066905327
39	73	ranked_73.pdb_clean	-135.91627193273666
40	139	ranked_139.pdb_clean	-134.71435827113044
41	187	ranked_187.pdb_clean	-130.9958672264767
42	153	ranked_153.pdb_clean	-127.91417092993868
43	92	ranked_92.pdb_clean	-124.09706195035312
44	238	ranked_238.pdb_clean	-121.45548108760767
45	143	ranked_143.pdb_clean	-119.86739550835995
46	253	ranked_253.pdb_clean	-117.54113142662563
47	172	ranked_172.pdb_clean	-115.05701932787107
48	309	ranked_309.pdb_clean	-112.348899070918
49	335	ranked_335.pdb_clean	-111.41487831378011
50	295	ranked_295.pdb_clean	-109.40559479301561
51	217	ranked_217.pdb_clean	-106.79839341944098
52	163	ranked_163.pdb_clean	-104.60472705676474
53	155	ranked_155.pdb_clean	-104.38487096405915
54	55	ranked_55.pdb_clean	-104.05038735903105
55	60	ranked_60.pdb_clean	-102.13845897754797
56	290	ranked_290.pdb_clean	-100.98387375628299
57	159	ranked_159.pdb_clean	-99.97156590838955
58	352	ranked_352.pdb_clean	-93.09584211654344
59	318	ranked_318.pdb_clean	-91.56848355650747
60	389	ranked_389.pdb_clean	-89.4167721607968
61	222	ranked_222.pdb_clean	-86.21692547954274
62	235	ranked_235.pdb_clean	-85.9510696682205
63	53	ranked_53.pdb_clean	-85.08703777040262
64	307	ranked_307.pdb_clean	-81.70118670511374
65	353	ranked_353.pdb_clean	-78.38496350932058
66	313	ranked_313.pdb_clean	-72.95556109070776
67	388	ranked_388.pdb_clean	-70.95118664727534
68	360	ranked_360.pdb_clean	-67.55289032124308
69	94	ranked_94.pdb_clean	-67.53366159152623
70	370	ranked_370.pdb_clean	-62.423272036590475
71	384	ranked_384.pdb_clean	-60.873988861498816
72	321	ranked_321.pdb_clean	-58.81564090458831
73	363	ranked_363.pdb_clean	-57.38249561915029
74	395	ranked_395.pdb_clean	-51.886643606991484
75	369	ranked_369.pdb_clean	-50.7619386409682
76	403	ranked_403.pdb_clean	-49.70989958792899
77	372	ranked_372.pdb_clean	-48.00068498332121
78	421	ranked_421.pdb_clean	-46.264569670971255
79	272	ranked_272.pdb_clean	-45.060113048080794
80	330	ranked_330.pdb_clean	-36.417056096531326
81	326	ranked_326.pdb_clean	-36.30870676390255
82	296	ranked_296.pdb_clean	-34.40214690344274
83	319	ranked_319.pdb_clean	-33.35114233153686
84	306	ranked_306.pdb_clean	-32.19442845399368
85	377	ranked_377.pdb_clean	-24.413257581295937
86	320	ranked_320.pdb_clean	-24.403278251359126
87	240	ranked_240.pdb_clean	-22.985744493192527
88	460	ranked_460.pdb_clean	-20.2601655015595
89	0	ranked_0.pdb_clean	-18.589325221150204
90	120	ranked_120.pdb_clean	-16.024116933079938
91	411	ranked_411.pdb_clean	-14.995845217895095
92	362	ranked_362.pdb_clean	-14.396630799423917
93	371	ranked_371.pdb_clean	-13.55976327738152
94	123	ranked_123.pdb_clean	-9.416646112684973
95	215	ranked_215.pdb_clean	-8.271320848920283
96	348	ranked_348.pdb_clean	-3.121685551201466
97	212	ranked_212.pdb_clean	-3.0415087976892323
