complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7udl,ranked_0.pdb,vina,-3.171,-10.402,  0.000,  0.000,  0.000, -4.099,  7.230, -4.099
7udl,ranked_0.pdb,vinardo,2.471,-8.104, 0.000, 0.000, 0.000,-4.506, 5.634,-4.506
7udl,ranked_1.pdb,vina,-3.364,-11.034,  0.000,  0.000,  0.000, -3.929,  7.670, -3.929
7udl,ranked_1.pdb,vinardo,2.598,-8.522, 0.000, 0.000, 0.000,-4.352, 5.924,-4.352
7udl,ranked_2.pdb,vina,-3.186,-10.450,  0.000,  0.000,  0.000, -3.955,  7.264, -3.955
7udl,ranked_2.pdb,vinardo,2.383,-7.816, 0.000, 0.000, 0.000,-4.398, 5.433,-4.398
7udl,ranked_3.pdb,vina,-3.430,-11.252,  0.000,  0.000,  0.000, -4.085,  7.821, -4.085
7udl,ranked_3.pdb,vinardo,2.711,-8.892, 0.000, 0.000, 0.000,-4.525, 6.181,-4.525
7udl,ranked_4.pdb,vina,-3.656,-11.991,  0.000,  0.000,  0.000, -4.235,  8.335, -4.235
7udl,ranked_4.pdb,vinardo,2.583,-8.472, 0.000, 0.000, 0.000,-4.585, 5.889,-4.585
7udl,ranked_5.pdb,vina,-3.289,-10.786,  0.000,  0.000,  0.000, -4.131,  7.498, -4.131
7udl,ranked_5.pdb,vinardo,2.511,-8.235, 0.000, 0.000, 0.000,-4.545, 5.724,-4.545
7udl,ranked_6.pdb,vina,-3.107,-10.190,  0.000,  0.000,  0.000, -4.006,  7.083, -4.006
7udl,ranked_6.pdb,vinardo,2.293,-7.522, 0.000, 0.000, 0.000,-4.431, 5.229,-4.431
7udl,ranked_7.pdb,vina,-3.287,-10.780,  0.000,  0.000,  0.000, -4.293,  7.493, -4.293
7udl,ranked_7.pdb,vinardo,2.531,-8.302, 0.000, 0.000, 0.000,-4.651, 5.771,-4.651
7udl,ranked_8.pdb,vina,-3.243,-10.637,  0.000,  0.000,  0.000, -4.113,  7.394, -4.113
7udl,ranked_8.pdb,vinardo,2.541,-8.334, 0.000, 0.000, 0.000,-4.537, 5.793,-4.537
7udl,ranked_9.pdb,vina,-3.126,-10.253,  0.000,  0.000,  0.000, -3.395,  7.127, -3.395
7udl,ranked_9.pdb,vinardo,2.257,-7.403, 0.000, 0.000, 0.000,-3.860, 5.146,-3.860
7udl,ranked_10.pdb,vina,-3.345,-10.971,  0.000,  0.000,  0.000, -3.186,  7.626, -3.186
7udl,ranked_10.pdb,vinardo,2.500,-8.199, 0.000, 0.000, 0.000,-3.686, 5.699,-3.686
7udl,ranked_11.pdb,vina,-3.156,-10.352,  0.000,  0.000,  0.000, -3.133,  7.196, -3.133
7udl,ranked_11.pdb,vinardo,2.221,-7.286, 0.000, 0.000, 0.000,-3.644, 5.065,-3.644
7udl,ranked_12.pdb,vina,-3.218,-10.556,  0.000,  0.000,  0.000, -3.396,  7.338, -3.396
7udl,ranked_12.pdb,vinardo,2.326,-7.628, 0.000, 0.000, 0.000,-3.883, 5.303,-3.883
7udl,ranked_13.pdb,vina,-3.815,-12.515,  0.000,  0.000,  0.000, -4.159,  8.699, -4.159
7udl,ranked_13.pdb,vinardo,2.668,-8.750, 0.000, 0.000, 0.000,-4.526, 6.082,-4.526
7udl,ranked_14.pdb,vina,-3.440,-11.282,  0.000,  0.000,  0.000, -3.474,  7.842, -3.474
7udl,ranked_14.pdb,vinardo,2.595,-8.512, 0.000, 0.000, 0.000,-3.980, 5.917,-3.980
7udl,ranked_15.pdb,vina,-3.860,-12.662,  0.000,  0.000,  0.000, -2.866,  8.802, -2.866
7udl,ranked_15.pdb,vinardo,-3.082,-10.110,  0.000,  0.000,  0.000, -3.518,  7.027, -3.518
7udl,ranked_16.pdb,vina,2.303,-7.553, 0.000, 0.000, 0.000,-4.015, 5.250,-4.015
7udl,ranked_16.pdb,vinardo,1.443,-4.733, 0.000, 0.000, 0.000,-4.440, 3.290,-4.440
7udl,ranked_17.pdb,vina,-3.208,-10.522,  0.000,  0.000,  0.000, -3.384,  7.314, -3.384
7udl,ranked_17.pdb,vinardo,2.369,-7.769, 0.000, 0.000, 0.000,-3.902, 5.400,-3.902
7udl,ranked_18.pdb,vina,2.872,-9.420, 0.000, 0.000, 0.000,-3.189, 6.548,-3.189
7udl,ranked_18.pdb,vinardo,1.885,-6.181, 0.000, 0.000, 0.000,-3.763, 4.297,-3.763
7udl,ranked_19.pdb,vina,-3.600,-11.808,  0.000,  0.000,  0.000, -3.424,  8.208, -3.424
7udl,ranked_19.pdb,vinardo,2.760,-9.051, 0.000, 0.000, 0.000,-3.904, 6.292,-3.904
7udl,ranked_20.pdb,vina,-3.343,-10.966,  0.000,  0.000,  0.000, -3.207,  7.623, -3.207
7udl,ranked_20.pdb,vinardo,2.500,-8.201, 0.000, 0.000, 0.000,-3.756, 5.701,-3.756
7udl,ranked_21.pdb,vina,-3.241,-10.630,  0.000,  0.000,  0.000, -3.182,  7.389, -3.182
7udl,ranked_21.pdb,vinardo,2.365,-7.757, 0.000, 0.000, 0.000,-3.794, 5.392,-3.794
7udl,ranked_22.pdb,vina,-3.495,-11.463,  0.000,  0.000,  0.000, -3.328,  7.968, -3.328
7udl,ranked_22.pdb,vinardo,2.638,-8.652, 0.000, 0.000, 0.000,-3.847, 6.014,-3.847
7udl,ranked_23.pdb,vina,2.814,-9.229, 0.000, 0.000, 0.000,-3.046, 6.415,-3.046
7udl,ranked_23.pdb,vinardo,1.836,-6.022, 0.000, 0.000, 0.000,-3.636, 4.186,-3.636
7udl,ranked_24.pdb,vina,2.256,-7.398, 0.000, 0.000, 0.000,-3.948, 5.143,-3.948
7udl,ranked_24.pdb,vinardo,1.387,-4.548, 0.000, 0.000, 0.000,-4.372, 3.162,-4.372
7udl,ranked_25.pdb,vina,-3.258,-10.687,  0.000,  0.000,  0.000, -3.155,  7.429, -3.155
7udl,ranked_25.pdb,vinardo,2.367,-7.764, 0.000, 0.000, 0.000,-3.737, 5.397,-3.737
7udl,ranked_26.pdb,vina,-3.221,-10.565,  0.000,  0.000,  0.000, -3.281,  7.344, -3.281
7udl,ranked_26.pdb,vinardo,2.377,-7.796, 0.000, 0.000, 0.000,-3.871, 5.419,-3.871
7udl,ranked_27.pdb,vina,-3.457,-11.340,  0.000,  0.000,  0.000, -3.316,  7.882, -3.316
7udl,ranked_27.pdb,vinardo,2.573,-8.441, 0.000, 0.000, 0.000,-3.820, 5.867,-3.820
7udl,ranked_28.pdb,vina,-3.307,-10.846,  0.000,  0.000,  0.000, -3.148,  7.539, -3.148
7udl,ranked_28.pdb,vinardo,2.401,-7.874, 0.000, 0.000, 0.000,-3.688, 5.473,-3.688
7udl,ranked_29.pdb,vina,-3.438,-11.276,  0.000,  0.000,  0.000, -3.236,  7.838, -3.236
7udl,ranked_29.pdb,vinardo,2.582,-8.469, 0.000, 0.000, 0.000,-3.776, 5.887,-3.776
7udl,ranked_30.pdb,vina,-3.410,-11.184,  0.000,  0.000,  0.000, -3.229,  7.774, -3.229
7udl,ranked_30.pdb,vinardo,2.489,-8.164, 0.000, 0.000, 0.000,-3.841, 5.675,-3.841
7udl,ranked_31.pdb,vina,-3.900,-12.791,  0.000,  0.000,  0.000, -3.765,  8.891, -3.765
7udl,ranked_31.pdb,vinardo,2.996,-9.826, 0.000, 0.000, 0.000,-4.186, 6.830,-4.186
7udl,ranked_32.pdb,vina,-3.721,-12.206,  0.000,  0.000,  0.000, -3.390,  8.485, -3.390
7udl,ranked_32.pdb,vinardo,2.699,-8.852, 0.000, 0.000, 0.000,-3.853, 6.153,-3.853
7udl,ranked_33.pdb,vina,-4.096,-13.433,  0.000,  0.000,  0.000, -3.347,  9.338, -3.347
7udl,ranked_33.pdb,vinardo,3.037,-9.962, 0.000, 0.000, 0.000,-3.926, 6.925,-3.926
7udl,ranked_34.pdb,vina,-4.058,-13.310,  0.000,  0.000,  0.000, -3.468,  9.252, -3.468
7udl,ranked_34.pdb,vinardo,3.026,-9.925, 0.000, 0.000, 0.000,-4.000, 6.899,-4.000
7udl,ranked_35.pdb,vina,-3.965,-13.005,  0.000,  0.000,  0.000, -3.464,  9.040, -3.464
7udl,ranked_35.pdb,vinardo,2.586,-8.483, 0.000, 0.000, 0.000,-3.970, 5.897,-3.970
7udl,ranked_36.pdb,vina,-3.839,-12.593,  0.000,  0.000,  0.000, -3.467,  8.754, -3.467
7udl,ranked_36.pdb,vinardo,2.831,-9.284, 0.000, 0.000, 0.000,-4.010, 6.454,-4.010
7udl,ranked_37.pdb,vina,-3.129,-10.262,  0.000,  0.000,  0.000, -3.115,  7.133, -3.115
7udl,ranked_37.pdb,vinardo,1.852,-6.076, 0.000, 0.000, 0.000,-3.699, 4.223,-3.699
7udl,ranked_38.pdb,vina,-3.368,-11.048,  0.000,  0.000,  0.000, -3.334,  7.680, -3.334
7udl,ranked_38.pdb,vinardo,2.695,-8.840, 0.000, 0.000, 0.000,-3.850, 6.145,-3.850
7udl,ranked_39.pdb,vina, 4.695, 15.401,  0.000,  0.000,  0.000, -3.895,-10.705, -3.895
7udl,ranked_39.pdb,vinardo, 6.681, 21.914,  0.000,  0.000,  0.000, -4.195,-15.233, -4.195
7udl,ranked_40.pdb,vina,2.536,-8.318, 0.000, 0.000, 0.000,-4.205, 5.782,-4.205
7udl,ranked_40.pdb,vinardo,0.748,-2.454, 0.000, 0.000, 0.000,-4.772, 1.706,-4.772
7udl,ranked_41.pdb,vina,0.667,-2.189, 0.000, 0.000, 0.000,-2.918, 1.521,-2.918
7udl,ranked_41.pdb,vinardo,1.393, 4.570, 0.000, 0.000, 0.000,-3.414,-3.177,-3.414
7udl,ranked_42.pdb,vina,1.555,-5.101, 0.000, 0.000, 0.000,-3.430, 3.546,-3.430
7udl,ranked_42.pdb,vinardo,0.027, 0.089, 0.000, 0.000, 0.000,-3.902,-0.062,-3.902
7udl,ranked_43.pdb,vina,-3.176,-10.417,  0.000,  0.000,  0.000, -4.354,  7.241, -4.354
7udl,ranked_43.pdb,vinardo,1.580,-5.182, 0.000, 0.000, 0.000,-4.841, 3.602,-4.841
7udl,ranked_44.pdb,vina,1.521,-4.989, 0.000, 0.000, 0.000,-2.472, 3.468,-2.472
7udl,ranked_44.pdb,vinardo,0.357,-1.171, 0.000, 0.000, 0.000,-3.173, 0.814,-3.173
7udl,ranked_45.pdb,vina,1.417,-4.648, 0.000, 0.000, 0.000,-3.603, 3.231,-3.603
7udl,ranked_45.pdb,vinardo,0.813, 2.668, 0.000, 0.000, 0.000,-4.354,-1.854,-4.354
7udl,ranked_46.pdb,vina,1.130,-3.705, 0.000, 0.000, 0.000,-3.173, 2.576,-3.173
7udl,ranked_46.pdb,vinardo,0.998, 3.274, 0.000, 0.000, 0.000,-3.947,-2.276,-3.947
7udl,ranked_47.pdb,vina,1.007, 3.302, 0.000, 0.000, 0.000,-3.113,-2.295,-3.113
7udl,ranked_47.pdb,vinardo,3.559,11.675, 0.000, 0.000, 0.000,-3.858,-8.115,-3.858
7udl,ranked_48.pdb,vina,1.043,-3.423, 0.000, 0.000, 0.000,-4.191, 2.379,-4.191
7udl,ranked_48.pdb,vinardo,1.509, 4.949, 0.000, 0.000, 0.000,-4.781,-3.440,-4.781
