Filename,Value,AlphaFold Rank
ranked_464.pdb_clean,0.6522,464
ranked_500.pdb_clean,0.6458,500
ranked_365.pdb_clean,0.6446,365
ranked_68.pdb_clean,0.6419,68
ranked_66.pdb_clean,0.6273,66
ranked_32.pdb_clean,0.6228,32
ranked_50.pdb_clean,0.616,50
ranked_522.pdb_clean,0.6151,522
ranked_427.pdb_clean,0.614,427
ranked_120.pdb_clean,0.6115,120
ranked_100.pdb_clean,0.6115,100
ranked_58.pdb_clean,0.6072,58
ranked_33.pdb_clean,0.6059,33
ranked_40.pdb_clean,0.605,40
ranked_46.pdb_clean,0.6047,46
ranked_57.pdb_clean,0.6043,57
ranked_97.pdb_clean,0.6039,97
ranked_53.pdb_clean,0.6022,53
ranked_163.pdb_clean,0.601,163
ranked_380.pdb_clean,0.6006,380
ranked_91.pdb_clean,0.6004,91
ranked_521.pdb_clean,0.6,521
ranked_42.pdb_clean,0.5978,42
ranked_37.pdb_clean,0.5975,37
ranked_71.pdb_clean,0.5945,71
ranked_51.pdb_clean,0.5942,51
ranked_63.pdb_clean,0.5936,63
ranked_74.pdb_clean,0.5935,74
ranked_29.pdb_clean,0.5928,29
ranked_99.pdb_clean,0.5922,99
ranked_43.pdb_clean,0.5915,43
ranked_869.pdb_clean,0.5914,869
ranked_34.pdb_clean,0.5911,34
ranked_95.pdb_clean,0.5906,95
ranked_82.pdb_clean,0.5899,82
ranked_62.pdb_clean,0.5888,62
ranked_39.pdb_clean,0.5877,39
ranked_35.pdb_clean,0.5869,35
ranked_83.pdb_clean,0.5868,83
ranked_568.pdb_clean,0.5864,568
ranked_490.pdb_clean,0.5864,490
ranked_929.pdb_clean,0.5861,929
ranked_54.pdb_clean,0.585,54
ranked_72.pdb_clean,0.5843,72
ranked_79.pdb_clean,0.584,79
ranked_65.pdb_clean,0.5836,65
ranked_104.pdb_clean,0.5835,104
ranked_102.pdb_clean,0.583,102
ranked_92.pdb_clean,0.5826,92
ranked_106.pdb_clean,0.5819,106
ranked_38.pdb_clean,0.5812,38
ranked_76.pdb_clean,0.5807,76
ranked_75.pdb_clean,0.5798,75
ranked_598.pdb_clean,0.5781,598
ranked_48.pdb_clean,0.5755,48
ranked_60.pdb_clean,0.5753,60
ranked_73.pdb_clean,0.5748,73
ranked_64.pdb_clean,0.5747,64
ranked_69.pdb_clean,0.5735,69
ranked_530.pdb_clean,0.5729,530
ranked_107.pdb_clean,0.5729,107
ranked_45.pdb_clean,0.5719,45
ranked_795.pdb_clean,0.5713,795
ranked_355.pdb_clean,0.571,355
ranked_793.pdb_clean,0.5702,793
ranked_80.pdb_clean,0.5688,80
ranked_67.pdb_clean,0.5687,67
ranked_990.pdb_clean,0.5685,990
ranked_86.pdb_clean,0.5683,86
ranked_61.pdb_clean,0.5672,61
ranked_698.pdb_clean,0.5669,698
