Filename,Value,AlphaFold Rank
ranked_391.pdb_clean,0.4387,391.0
ranked_413.pdb_clean,0.4374,413.0
ranked_358.pdb_clean,0.4170,358.0
ranked_51.pdb_clean,0.4161,51.0
ranked_134.pdb_clean,0.4076,134.0
ranked_308.pdb_clean,0.4063,308.0
ranked_288.pdb_clean,0.4045,288.0
ranked_554.pdb_clean,0.4041,554.0
ranked_501.pdb_clean,0.4038,501.0
ranked_556.pdb_clean,0.3993,556.0
ranked_545.pdb_clean,0.3984,545.0
ranked_246.pdb_clean,0.3977,246.0
ranked_285.pdb_clean,0.3974,285.0
ranked_716.pdb_clean,0.3967,716.0
ranked_170.pdb_clean,0.3966,170.0
ranked_595.pdb_clean,0.3953,595.0
ranked_484.pdb_clean,0.3950,484.0
ranked_406.pdb_clean,0.3930,406.0
ranked_825.pdb_clean,0.3926,825.0
ranked_186.pdb_clean,0.3925,186.0
ranked_481.pdb_clean,0.3908,481.0
ranked_209.pdb_clean,0.3903,209.0
ranked_423.pdb_clean,0.3890,423.0
ranked_617.pdb_clean,0.3887,617.0
ranked_144.pdb_clean,0.3886,144.0
ranked_432.pdb_clean,0.3882,432.0
ranked_129.pdb_clean,0.3880,129.0
ranked_435.pdb_clean,0.3872,435.0
ranked_302.pdb_clean,0.3870,302.0
ranked_104.pdb_clean,0.3859,104.0
ranked_443.pdb_clean,0.3858,443.0
ranked_240.pdb_clean,0.3855,240.0
ranked_508.pdb_clean,0.3853,508.0
ranked_324.pdb_clean,0.3852,324.0
ranked_172.pdb_clean,0.3849,172.0
ranked_300.pdb_clean,0.3848,300.0
ranked_326.pdb_clean,0.3842,326.0
ranked_470.pdb_clean,0.3838,470.0
ranked_197.pdb_clean,0.3836,197.0
ranked_370.pdb_clean,0.3826,370.0
ranked_179.pdb_clean,0.3822,179.0
ranked_390.pdb_clean,0.3821,390.0
ranked_659.pdb_clean,0.3819,659.0
ranked_507.pdb_clean,0.3813,507.0
ranked_421.pdb_clean,0.3813,421.0
ranked_693.pdb_clean,0.3812,693.0
ranked_704.pdb_clean,0.3811,704.0
ranked_135.pdb_clean,0.3810,135.0
ranked_95.pdb_clean,0.3808,95.0
ranked_94.pdb_clean,0.3806,94.0
ranked_264.pdb_clean,0.3806,264.0
ranked_466.pdb_clean,0.3804,466.0
ranked_824.pdb_clean,0.3803,824.0
ranked_158.pdb_clean,0.3803,158.0
ranked_366.pdb_clean,0.3801,366.0
ranked_292.pdb_clean,0.3801,292.0
ranked_644.pdb_clean,0.3800,644.0
ranked_513.pdb_clean,0.3798,513.0
ranked_357.pdb_clean,0.3798,357.0
ranked_551.pdb_clean,0.3797,551.0
ranked_675.pdb_clean,0.3796,675.0
ranked_587.pdb_clean,0.3796,587.0
ranked_469.pdb_clean,0.3794,469.0
ranked_557.pdb_clean,0.3790,557.0
ranked_490.pdb_clean,0.3790,490.0
ranked_222.pdb_clean,0.3790,222.0
ranked_872.pdb_clean,0.3788,872.0
ranked_411.pdb_clean,0.3786,411.0
ranked_878.pdb_clean,0.3784,878.0
ranked_354.pdb_clean,0.3784,354.0
ranked_231.pdb_clean,0.3784,231.0
ranked_697.pdb_clean,0.3775,697.0
ranked_499.pdb_clean,0.3775,499.0
ranked_449.pdb_clean,0.3775,449.0
ranked_496.pdb_clean,0.3771,496.0
ranked_192.pdb_clean,0.3769,192.0
ranked_0.pdb_clean,0.3769,0.0
ranked_850.pdb_clean,0.3768,850.0
ranked_374.pdb_clean,0.3767,374.0
ranked_217.pdb_clean,0.3763,217.0
ranked_256.pdb_clean,0.3759,256.0
ranked_430.pdb_clean,0.3756,430.0
ranked_14.pdb_clean,0.3756,14.0
ranked_258.pdb_clean,0.3753,258.0
ranked_665.pdb_clean,0.3752,665.0
ranked_164.pdb_clean,0.3752,164.0
ranked_626.pdb_clean,0.3748,626.0
ranked_317.pdb_clean,0.3748,317.0
ranked_711.pdb_clean,0.3747,711.0
ranked_566.pdb_clean,0.3747,566.0
ranked_128.pdb_clean,0.3747,128.0
ranked_901.pdb_clean,0.3746,901.0
ranked_279.pdb_clean,0.3746,279.0
ranked_13.pdb_clean,0.3745,13.0
ranked_767.pdb_clean,0.3744,767.0
ranked_775.pdb_clean,0.3743,775.0
ranked_579.pdb_clean,0.3743,579.0
ranked_350.pdb_clean,0.3743,350.0
ranked_346.pdb_clean,0.3743,346.0
ranked_35.pdb_clean,0.3740,35.0
ranked_140.pdb_clean,0.3740,140.0
ranked_431.pdb_clean,0.3739,431.0
ranked_520.pdb_clean,0.3737,520.0
ranked_843.pdb_clean,0.3735,843.0
ranked_931.pdb_clean,0.3734,931.0
ranked_8.pdb_clean,0.3734,8.0
ranked_482.pdb_clean,0.3734,482.0
ranked_769.pdb_clean,0.3733,769.0
ranked_654.pdb_clean,0.3733,654.0
ranked_383.pdb_clean,0.3729,383.0
ranked_344.pdb_clean,0.3728,344.0
ranked_657.pdb_clean,0.3727,657.0
ranked_591.pdb_clean,0.3726,591.0
ranked_486.pdb_clean,0.3725,486.0
ranked_723.pdb_clean,0.3722,723.0
ranked_762.pdb_clean,0.3720,762.0
ranked_290.pdb_clean,0.3718,290.0
ranked_156.pdb_clean,0.3718,156.0
ranked_436.pdb_clean,0.3716,436.0
ranked_150.pdb_clean,0.3715,150.0
ranked_803.pdb_clean,0.3714,803.0
ranked_189.pdb_clean,0.3714,189.0
ranked_808.pdb_clean,0.3713,808.0
ranked_375.pdb_clean,0.3711,375.0
ranked_210.pdb_clean,0.3711,210.0
ranked_705.pdb_clean,0.3709,705.0
ranked_184.pdb_clean,0.3709,184.0
ranked_255.pdb_clean,0.3707,255.0
ranked_455.pdb_clean,0.3706,455.0
ranked_667.pdb_clean,0.3705,667.0
ranked_399.pdb_clean,0.3704,399.0
ranked_847.pdb_clean,0.3703,847.0
ranked_588.pdb_clean,0.3702,588.0
ranked_837.pdb_clean,0.3701,837.0
ranked_619.pdb_clean,0.3701,619.0
ranked_477.pdb_clean,0.3700,477.0
ranked_2.pdb_clean,0.3699,2.0
ranked_71.pdb_clean,0.3697,71.0
ranked_123.pdb_clean,0.3693,123.0
ranked_759.pdb_clean,0.3692,759.0
ranked_169.pdb_clean,0.3686,169.0
ranked_561.pdb_clean,0.3685,561.0
ranked_183.pdb_clean,0.3683,183.0
ranked_540.pdb_clean,0.3682,540.0
ranked_560.pdb_clean,0.3679,560.0
ranked_784.pdb_clean,0.3678,784.0
ranked_260.pdb_clean,0.3678,260.0
ranked_935.pdb_clean,0.3677,935.0
ranked_425.pdb_clean,0.3677,425.0
ranked_631.pdb_clean,0.3673,631.0
ranked_291.pdb_clean,0.3673,291.0
ranked_286.pdb_clean,0.3673,286.0
ranked_598.pdb_clean,0.3671,598.0
ranked_565.pdb_clean,0.3666,565.0
ranked_779.pdb_clean,0.3665,779.0
ranked_185.pdb_clean,0.3663,185.0
ranked_774.pdb_clean,0.3662,774.0
ranked_439.pdb_clean,0.3662,439.0
ranked_174.pdb_clean,0.3662,174.0
ranked_127.pdb_clean,0.3662,127.0
ranked_325.pdb_clean,0.3661,325.0
ranked_795.pdb_clean,0.3658,795.0
ranked_378.pdb_clean,0.3656,378.0
ranked_871.pdb_clean,0.3655,871.0
ranked_714.pdb_clean,0.3655,714.0
ranked_854.pdb_clean,0.3654,854.0
ranked_737.pdb_clean,0.3653,737.0
ranked_920.pdb_clean,0.3652,920.0
ranked_760.pdb_clean,0.3652,760.0
ranked_397.pdb_clean,0.3652,397.0
ranked_834.pdb_clean,0.3650,834.0
ranked_321.pdb_clean,0.3647,321.0
ranked_257.pdb_clean,0.3647,257.0
ranked_823.pdb_clean,0.3646,823.0
ranked_671.pdb_clean,0.3646,671.0
ranked_330.pdb_clean,0.3646,330.0
ranked_171.pdb_clean,0.3643,171.0
