#  old_rank	structure_name		score
0	7	ranked_7.pdb_clean	-25.039198043901884
1	5	ranked_5.pdb_clean	-17.60587431961867
2	31	ranked_31.pdb_clean	-14.563809610269269
3	18	ranked_18.pdb_clean	-13.91872436690968
4	39	ranked_39.pdb_clean	-12.605139821792605
5	91	ranked_91.pdb_clean	-12.153127387663586
6	26	ranked_26.pdb_clean	-12.052604151504362
7	11	ranked_11.pdb_clean	-9.898354270530666
8	21	ranked_21.pdb_clean	-9.18596766514594
9	1	ranked_1.pdb_clean	-8.9111751665911
10	89	ranked_89.pdb_clean	-8.839160225766909
11	2	ranked_2.pdb_clean	-7.123409726551467
12	10	ranked_10.pdb_clean	-6.802965788471106
13	41	ranked_41.pdb_clean	-6.4224275767559185
14	0	ranked_0.pdb_clean	-5.98322599216743
15	34	ranked_34.pdb_clean	-5.670874872893503
16	16	ranked_16.pdb_clean	-5.389965132913542
17	45	ranked_45.pdb_clean	-4.631499729587482
18	55	ranked_55.pdb_clean	-4.364369218776691
19	13	ranked_13.pdb_clean	-4.287740565105441
20	14	ranked_14.pdb_clean	-2.6473935594000224
21	6	ranked_6.pdb_clean	-1.4708633736414178
22	24	ranked_24.pdb_clean	-1.150276529555267
23	138	ranked_138.pdb_clean	-1.1482680534425533
24	127	ranked_127.pdb_clean	-0.9410683983024128
25	107	ranked_107.pdb_clean	-0.8467665816950465
26	15	ranked_15.pdb_clean	-0.8450676856964812
27	75	ranked_75.pdb_clean	-0.8160111772551168
28	95	ranked_95.pdb_clean	-0.6117825536062007
29	134	ranked_134.pdb_clean	0.9268438485331245
30	86	ranked_86.pdb_clean	1.0377174867057413
31	4	ranked_4.pdb_clean	1.5367917363014243
32	40	ranked_40.pdb_clean	1.6811838106343835
33	47	ranked_47.pdb_clean	2.974499124095761
34	116	ranked_116.pdb_clean	3.5152226900684944
35	90	ranked_90.pdb_clean	4.202560850151606
36	125	ranked_125.pdb_clean	5.155767965176981
37	172	ranked_172.pdb_clean	5.233880326202545
38	104	ranked_104.pdb_clean	5.644797287076333
39	126	ranked_126.pdb_clean	5.949064402291992
40	17	ranked_17.pdb_clean	5.9828158747715605
41	12	ranked_12.pdb_clean	6.2186058513101194
42	42	ranked_42.pdb_clean	6.635538104687793
43	176	ranked_176.pdb_clean	7.017602590506172
44	77	ranked_77.pdb_clean	7.306643927839826
45	70	ranked_70.pdb_clean	7.563174997430107
46	80	ranked_80.pdb_clean	7.8581342813479615
47	25	ranked_25.pdb_clean	8.034430193404027
48	43	ranked_43.pdb_clean	9.037839228883765
49	164	ranked_164.pdb_clean	9.316024756147296
50	3	ranked_3.pdb_clean	9.751300028643971
51	143	ranked_143.pdb_clean	10.648195251803873
52	112	ranked_112.pdb_clean	10.799386929019288
53	100	ranked_100.pdb_clean	10.889592363891108
54	117	ranked_117.pdb_clean	10.901068291780522
55	58	ranked_58.pdb_clean	10.94720883250142
56	48	ranked_48.pdb_clean	11.186088067837073
57	133	ranked_133.pdb_clean	11.330059186881623
58	8	ranked_8.pdb_clean	11.519146004903124
59	130	ranked_130.pdb_clean	11.77249315828028
60	181	ranked_181.pdb_clean	11.853356045552072
61	38	ranked_38.pdb_clean	12.05372192504456
62	67	ranked_67.pdb_clean	12.626047810445275
63	169	ranked_169.pdb_clean	13.01887324597882
64	71	ranked_71.pdb_clean	13.316257842950531
65	19	ranked_19.pdb_clean	15.927947378968181
66	9	ranked_9.pdb_clean	16.267300075865524
67	52	ranked_52.pdb_clean	16.777523513452
68	189	ranked_189.pdb_clean	17.04708950236734
69	37	ranked_37.pdb_clean	18.960966825466645
70	30	ranked_30.pdb_clean	19.096706884979763
71	35	ranked_35.pdb_clean	19.414916685194758
72	29	ranked_29.pdb_clean	20.426135196508202
73	129	ranked_129.pdb_clean	20.580566974209088
74	88	ranked_88.pdb_clean	20.66686189651755
75	231	ranked_231.pdb_clean	20.700514801517524
76	118	ranked_118.pdb_clean	22.18701620101643
77	63	ranked_63.pdb_clean	22.53430837055861
78	84	ranked_84.pdb_clean	23.366565212454535
79	131	ranked_131.pdb_clean	24.208150292578328
80	28	ranked_28.pdb_clean	24.54058088600892
81	177	ranked_177.pdb_clean	24.83951193613139
82	59	ranked_59.pdb_clean	25.777798244104662
83	22	ranked_22.pdb_clean	25.816153239001142
84	23	ranked_23.pdb_clean	26.468600589793187
85	171	ranked_171.pdb_clean	26.86890215378541
86	64	ranked_64.pdb_clean	27.597699089825166
87	113	ranked_113.pdb_clean	27.698634146691884
88	20	ranked_20.pdb_clean	28.11606965113656
89	69	ranked_69.pdb_clean	28.23290979396558
90	57	ranked_57.pdb_clean	28.372093226915585
91	93	ranked_93.pdb_clean	28.42665781066233
92	92	ranked_92.pdb_clean	28.704614691296992
93	83	ranked_83.pdb_clean	28.79117156381969
94	73	ranked_73.pdb_clean	29.1101955607183
95	61	ranked_61.pdb_clean	29.23732949165228
96	190	ranked_190.pdb_clean	29.42610179487669
97	32	ranked_32.pdb_clean	29.689858826737332
98	33	ranked_33.pdb_clean	29.819877236203308
99	108	ranked_108.pdb_clean	29.880485324569566
100	114	ranked_114.pdb_clean	30.340639765075014
101	36	ranked_36.pdb_clean	31.385385356822123
102	149	ranked_149.pdb_clean	31.42573735324316
103	56	ranked_56.pdb_clean	32.12808548640629
104	119	ranked_119.pdb_clean	32.19311618883809
105	102	ranked_102.pdb_clean	32.23732559603036
106	106	ranked_106.pdb_clean	32.50535272084359
107	227	ranked_227.pdb_clean	32.87947060510395
108	229	ranked_229.pdb_clean	33.105802250285635
109	109	ranked_109.pdb_clean	33.860857877852
110	53	ranked_53.pdb_clean	35.01525701466822
111	66	ranked_66.pdb_clean	35.29560065099572
112	242	ranked_242.pdb_clean	36.20279879343103
113	226	ranked_226.pdb_clean	37.11862570541987
114	51	ranked_51.pdb_clean	37.337203324724754
115	49	ranked_49.pdb_clean	37.810925666619724
116	249	ranked_249.pdb_clean	39.64886884146698
117	82	ranked_82.pdb_clean	40.153225867231924
118	111	ranked_111.pdb_clean	40.889660162680286
119	175	ranked_175.pdb_clean	41.26304726003099
120	74	ranked_74.pdb_clean	42.54850119132783
121	140	ranked_140.pdb_clean	42.561781390483375
122	44	ranked_44.pdb_clean	43.081824988113524
123	68	ranked_68.pdb_clean	43.13441494408988
124	72	ranked_72.pdb_clean	43.39585235241432
125	122	ranked_122.pdb_clean	43.8884092261915
126	155	ranked_155.pdb_clean	44.10809174855254
127	137	ranked_137.pdb_clean	44.23029578998053
128	87	ranked_87.pdb_clean	44.44389015963637
129	188	ranked_188.pdb_clean	44.84442485659487
130	165	ranked_165.pdb_clean	45.25245162460503
131	76	ranked_76.pdb_clean	45.37724956781429
132	185	ranked_185.pdb_clean	47.35776191773515
133	98	ranked_98.pdb_clean	47.486873370653655
134	152	ranked_152.pdb_clean	47.801941209797974
135	81	ranked_81.pdb_clean	48.7891753848029
136	103	ranked_103.pdb_clean	50.08171210544599
137	94	ranked_94.pdb_clean	50.46302737026012
138	153	ranked_153.pdb_clean	51.41375671013584
139	101	ranked_101.pdb_clean	52.91114183397028
140	174	ranked_174.pdb_clean	53.41699498745494
141	121	ranked_121.pdb_clean	53.436884266676074
142	142	ranked_142.pdb_clean	54.62374355927585
143	167	ranked_167.pdb_clean	54.84552485552777
144	157	ranked_157.pdb_clean	55.495068376731155
145	135	ranked_135.pdb_clean	56.78272855004377
146	156	ranked_156.pdb_clean	57.565991710672876
147	96	ranked_96.pdb_clean	57.69679819612401
148	228	ranked_228.pdb_clean	57.74965262768431
149	139	ranked_139.pdb_clean	58.5105013629485
150	105	ranked_105.pdb_clean	60.8297622195674
151	97	ranked_97.pdb_clean	60.89598283182215
152	196	ranked_196.pdb_clean	61.11563315423909
153	99	ranked_99.pdb_clean	61.92304165077118
154	79	ranked_79.pdb_clean	62.56877911245003
155	180	ranked_180.pdb_clean	62.84495244273994
156	184	ranked_184.pdb_clean	63.425752165179105
157	136	ranked_136.pdb_clean	63.56796627109901
158	173	ranked_173.pdb_clean	65.2848290724599
159	124	ranked_124.pdb_clean	66.36130085412631
160	199	ranked_199.pdb_clean	67.65639859586886
161	179	ranked_179.pdb_clean	68.19871678102118
162	123	ranked_123.pdb_clean	68.78747729312263
163	141	ranked_141.pdb_clean	68.86312678879546
164	162	ranked_162.pdb_clean	69.02104994091046
165	163	ranked_163.pdb_clean	69.52254588236669
166	237	ranked_237.pdb_clean	69.53279849229946
167	206	ranked_206.pdb_clean	69.66406005287286
168	85	ranked_85.pdb_clean	70.25639165747059
169	147	ranked_147.pdb_clean	71.1280403674489
170	144	ranked_144.pdb_clean	71.86425362778996
171	158	ranked_158.pdb_clean	72.45544700548308
172	154	ranked_154.pdb_clean	72.46058241583073
173	215	ranked_215.pdb_clean	73.25312745985633
174	146	ranked_146.pdb_clean	74.99221169256877
175	186	ranked_186.pdb_clean	75.74760804185144
176	207	ranked_207.pdb_clean	77.04516284274366
177	168	ranked_168.pdb_clean	77.5941838567166
178	145	ranked_145.pdb_clean	78.26291475207988
179	150	ranked_150.pdb_clean	79.73947435168499
