complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8b58,ranked_0.pdb,vina,0.918, 0.972, 0.000, 0.000, 0.000, 0.000,-0.054, 0.000
8b58,ranked_0.pdb,vinardo,0.528, 0.559, 0.000, 0.000, 0.000, 0.000,-0.031, 0.000
8b58,ranked_1.pdb,vina,0.952, 1.007, 0.000, 0.000, 0.000, 0.000,-0.056, 0.000
8b58,ranked_1.pdb,vinardo,0.547, 0.579, 0.000, 0.000, 0.000, 0.000,-0.032, 0.000
8b58,ranked_2.pdb,vina,1.027, 1.087, 0.000, 0.000, 0.000, 0.000,-0.060, 0.000
8b58,ranked_2.pdb,vinardo,0.616, 0.652, 0.000, 0.000, 0.000, 0.000,-0.036, 0.000
8b58,ranked_3.pdb,vina,0.931, 0.986, 0.000, 0.000, 0.000, 0.000,-0.054, 0.000
8b58,ranked_3.pdb,vinardo,0.559, 0.591, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_4.pdb,vina,0.880, 0.931, 0.000, 0.000, 0.000, 0.000,-0.051, 0.000
8b58,ranked_4.pdb,vinardo,0.476, 0.504, 0.000, 0.000, 0.000, 0.000,-0.028, 0.000
8b58,ranked_5.pdb,vina,0.924, 0.978, 0.000, 0.000, 0.000, 0.000,-0.054, 0.000
8b58,ranked_5.pdb,vinardo,0.523, 0.554, 0.000, 0.000, 0.000, 0.000,-0.031, 0.000
8b58,ranked_6.pdb,vina,0.844,-0.893, 0.000, 0.000, 0.000, 0.000, 0.049, 0.000
8b58,ranked_6.pdb,vinardo,0.706,-0.747, 0.000, 0.000, 0.000, 0.000, 0.041, 0.000
8b58,ranked_7.pdb,vina,0.879,-0.930, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_7.pdb,vinardo,0.747,-0.790, 0.000, 0.000, 0.000, 0.000, 0.044, 0.000
8b58,ranked_8.pdb,vina,0.836, 0.884, 0.000, 0.000, 0.000, 0.000,-0.049, 0.000
8b58,ranked_8.pdb,vinardo,0.436, 0.461, 0.000, 0.000, 0.000, 0.000,-0.025, 0.000
8b58,ranked_9.pdb,vina,0.654, 0.692, 0.000, 0.000, 0.000, 0.000,-0.038, 0.000
8b58,ranked_9.pdb,vinardo,0.299, 0.317, 0.000, 0.000, 0.000, 0.000,-0.017, 0.000
8b58,ranked_10.pdb,vina,1.093, 1.157, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_10.pdb,vinardo,0.672, 0.711, 0.000, 0.000, 0.000, 0.000,-0.039, 0.000
8b58,ranked_11.pdb,vina,0.866,-0.917, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_11.pdb,vinardo,0.723,-0.765, 0.000, 0.000, 0.000, 0.000, 0.042, 0.000
8b58,ranked_12.pdb,vina,0.053,-0.057, 0.000, 0.000, 0.000, 0.000, 0.003, 0.000
8b58,ranked_12.pdb,vinardo,0.289,-0.306, 0.000, 0.000, 0.000, 0.000, 0.017, 0.000
8b58,ranked_13.pdb,vina,1.173, 1.242, 0.000, 0.000, 0.000, 0.000,-0.069, 0.000
8b58,ranked_13.pdb,vinardo,0.740, 0.784, 0.000, 0.000, 0.000, 0.000,-0.043, 0.000
8b58,ranked_14.pdb,vina,0.927, 0.981, 0.000, 0.000, 0.000, 0.000,-0.054, 0.000
8b58,ranked_14.pdb,vinardo,0.528, 0.559, 0.000, 0.000, 0.000, 0.000,-0.031, 0.000
8b58,ranked_15.pdb,vina,1.105, 1.169, 0.000, 0.000, 0.000, 0.000,-0.065, 0.000
8b58,ranked_15.pdb,vinardo,0.682, 0.722, 0.000, 0.000, 0.000, 0.000,-0.040, 0.000
8b58,ranked_16.pdb,vina,0.961, 1.017, 0.000, 0.000, 0.000, 0.000,-0.056, 0.000
8b58,ranked_16.pdb,vinardo,0.539, 0.570, 0.000, 0.000, 0.000, 0.000,-0.031, 0.000
8b58,ranked_17.pdb,vina,0.907, 0.960, 0.000, 0.000, 0.000, 0.000,-0.053, 0.000
8b58,ranked_17.pdb,vinardo,0.548, 0.580, 0.000, 0.000, 0.000, 0.000,-0.032, 0.000
8b58,ranked_18.pdb,vina,1.005, 1.064, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_18.pdb,vinardo,0.587, 0.622, 0.000, 0.000, 0.000, 0.000,-0.034, 0.000
8b58,ranked_19.pdb,vina,0.872,-0.923, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_19.pdb,vinardo,0.728,-0.771, 0.000, 0.000, 0.000, 0.000, 0.043, 0.000
8b58,ranked_20.pdb,vina,0.962, 1.018, 0.000, 0.000, 0.000, 0.000,-0.056, 0.000
8b58,ranked_20.pdb,vinardo,0.561, 0.593, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_21.pdb,vina,1.014, 1.073, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_21.pdb,vinardo,0.596, 0.631, 0.000, 0.000, 0.000, 0.000,-0.035, 0.000
8b58,ranked_22.pdb,vina,0.809, 0.856, 0.000, 0.000, 0.000, 0.000,-0.047, 0.000
8b58,ranked_22.pdb,vinardo,0.427, 0.452, 0.000, 0.000, 0.000, 0.000,-0.025, 0.000
8b58,ranked_23.pdb,vina,1.103, 1.167, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_23.pdb,vinardo,0.671, 0.711, 0.000, 0.000, 0.000, 0.000,-0.039, 0.000
8b58,ranked_24.pdb,vina,1.008, 1.067, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_24.pdb,vinardo,0.593, 0.628, 0.000, 0.000, 0.000, 0.000,-0.035, 0.000
8b58,ranked_25.pdb,vina,1.095, 1.159, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_25.pdb,vinardo,0.661, 0.699, 0.000, 0.000, 0.000, 0.000,-0.039, 0.000
8b58,ranked_26.pdb,vina,0.978, 1.035, 0.000, 0.000, 0.000, 0.000,-0.057, 0.000
8b58,ranked_26.pdb,vinardo,0.566, 0.600, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_27.pdb,vina,0.888,-0.940, 0.000, 0.000, 0.000, 0.000, 0.052, 0.000
8b58,ranked_27.pdb,vinardo,0.794,-0.840, 0.000, 0.000, 0.000, 0.000, 0.046, 0.000
8b58,ranked_28.pdb,vina,0.879, 0.930, 0.000, 0.000, 0.000, 0.000,-0.051, 0.000
8b58,ranked_28.pdb,vinardo,0.475, 0.503, 0.000, 0.000, 0.000, 0.000,-0.028, 0.000
8b58,ranked_29.pdb,vina,1.031, 1.091, 0.000, 0.000, 0.000, 0.000,-0.060, 0.000
8b58,ranked_29.pdb,vinardo,0.610, 0.646, 0.000, 0.000, 0.000, 0.000,-0.036, 0.000
8b58,ranked_30.pdb,vina,0.857, 0.907, 0.000, 0.000, 0.000, 0.000,-0.050, 0.000
8b58,ranked_30.pdb,vinardo,0.467, 0.495, 0.000, 0.000, 0.000, 0.000,-0.027, 0.000
8b58,ranked_31.pdb,vina,0.968, 1.025, 0.000, 0.000, 0.000, 0.000,-0.057, 0.000
8b58,ranked_31.pdb,vinardo,0.564, 0.597, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_32.pdb,vina,1.007, 1.066, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_32.pdb,vinardo,0.589, 0.623, 0.000, 0.000, 0.000, 0.000,-0.034, 0.000
8b58,ranked_33.pdb,vina,1.015, 1.074, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_33.pdb,vinardo,0.602, 0.638, 0.000, 0.000, 0.000, 0.000,-0.035, 0.000
8b58,ranked_34.pdb,vina,1.053, 1.115, 0.000, 0.000, 0.000, 0.000,-0.062, 0.000
8b58,ranked_34.pdb,vinardo,0.633, 0.670, 0.000, 0.000, 0.000, 0.000,-0.037, 0.000
8b58,ranked_35.pdb,vina,0.876,-0.927, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_35.pdb,vinardo,0.736,-0.779, 0.000, 0.000, 0.000, 0.000, 0.043, 0.000
8b58,ranked_36.pdb,vina,1.081, 1.144, 0.000, 0.000, 0.000, 0.000,-0.063, 0.000
8b58,ranked_36.pdb,vinardo,0.661, 0.700, 0.000, 0.000, 0.000, 0.000,-0.039, 0.000
8b58,ranked_37.pdb,vina,1.092, 1.155, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_37.pdb,vinardo,0.665, 0.704, 0.000, 0.000, 0.000, 0.000,-0.039, 0.000
8b58,ranked_38.pdb,vina,0.835,-0.884, 0.000, 0.000, 0.000, 0.000, 0.049, 0.000
8b58,ranked_38.pdb,vinardo,0.697,-0.738, 0.000, 0.000, 0.000, 0.000, 0.041, 0.000
8b58,ranked_39.pdb,vina,1.026, 1.086, 0.000, 0.000, 0.000, 0.000,-0.060, 0.000
8b58,ranked_39.pdb,vinardo,0.610, 0.646, 0.000, 0.000, 0.000, 0.000,-0.036, 0.000
8b58,ranked_40.pdb,vina,0.992, 1.050, 0.000, 0.000, 0.000, 0.000,-0.058, 0.000
8b58,ranked_40.pdb,vinardo,0.573, 0.606, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_41.pdb,vina,1.016, 1.075, 0.000, 0.000, 0.000, 0.000,-0.059, 0.000
8b58,ranked_41.pdb,vinardo,0.603, 0.638, 0.000, 0.000, 0.000, 0.000,-0.035, 0.000
8b58,ranked_42.pdb,vina,1.120, 1.185, 0.000, 0.000, 0.000, 0.000,-0.065, 0.000
8b58,ranked_42.pdb,vinardo,0.682, 0.722, 0.000, 0.000, 0.000, 0.000,-0.040, 0.000
8b58,ranked_43.pdb,vina,0.865,-0.916, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_43.pdb,vinardo,0.719,-0.761, 0.000, 0.000, 0.000, 0.000, 0.042, 0.000
8b58,ranked_44.pdb,vina,0.835,-0.884, 0.000, 0.000, 0.000, 0.000, 0.049, 0.000
8b58,ranked_44.pdb,vinardo,0.701,-0.742, 0.000, 0.000, 0.000, 0.000, 0.041, 0.000
8b58,ranked_45.pdb,vina,1.087, 1.150, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_45.pdb,vinardo,0.653, 0.691, 0.000, 0.000, 0.000, 0.000,-0.038, 0.000
8b58,ranked_46.pdb,vina,1.073, 1.136, 0.000, 0.000, 0.000, 0.000,-0.063, 0.000
8b58,ranked_46.pdb,vinardo,0.650, 0.688, 0.000, 0.000, 0.000, 0.000,-0.038, 0.000
8b58,ranked_47.pdb,vina,0.737, 0.780, 0.000, 0.000, 0.000, 0.000,-0.043, 0.000
8b58,ranked_47.pdb,vinardo,0.363, 0.384, 0.000, 0.000, 0.000, 0.000,-0.021, 0.000
8b58,ranked_48.pdb,vina,0.925, 0.979, 0.000, 0.000, 0.000, 0.000,-0.054, 0.000
8b58,ranked_48.pdb,vinardo,0.534, 0.566, 0.000, 0.000, 0.000, 0.000,-0.031, 0.000
8b58,ranked_49.pdb,vina,0.976, 1.034, 0.000, 0.000, 0.000, 0.000,-0.057, 0.000
8b58,ranked_49.pdb,vinardo,0.570, 0.604, 0.000, 0.000, 0.000, 0.000,-0.033, 0.000
8b58,ranked_50.pdb,vina,1.126, 1.192, 0.000, 0.000, 0.000, 0.000,-0.066, 0.000
8b58,ranked_50.pdb,vinardo,0.691, 0.732, 0.000, 0.000, 0.000, 0.000,-0.040, 0.000
8b58,ranked_51.pdb,vina,1.042, 1.103, 0.000, 0.000, 0.000, 0.000,-0.061, 0.000
8b58,ranked_51.pdb,vinardo,0.627, 0.663, 0.000, 0.000, 0.000, 0.000,-0.037, 0.000
8b58,ranked_52.pdb,vina,0.853, 0.903, 0.000, 0.000, 0.000, 0.000,-0.050, 0.000
8b58,ranked_52.pdb,vinardo,0.451, 0.478, 0.000, 0.000, 0.000, 0.000,-0.026, 0.000
8b58,ranked_53.pdb,vina,0.869,-0.920, 0.000, 0.000, 0.000, 0.000, 0.051, 0.000
8b58,ranked_53.pdb,vinardo,0.733,-0.776, 0.000, 0.000, 0.000, 0.000, 0.043, 0.000
8b58,ranked_54.pdb,vina,1.339, 1.417, 0.000, 0.000, 0.000, 0.000,-0.078, 0.000
8b58,ranked_54.pdb,vinardo,0.848, 0.897, 0.000, 0.000, 0.000, 0.000,-0.050, 0.000
8b58,ranked_55.pdb,vina,1.404, 1.486, 0.000, 0.000, 0.000, 0.000,-0.082, 0.000
8b58,ranked_55.pdb,vinardo,0.909, 0.962, 0.000, 0.000, 0.000, 0.000,-0.053, 0.000
8b58,ranked_56.pdb,vina,1.037, 1.098, 0.000, 0.000, 0.000, 0.000,-0.061, 0.000
8b58,ranked_56.pdb,vinardo,0.614, 0.650, 0.000, 0.000, 0.000, 0.000,-0.036, 0.000
