complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8eq5,ranked_0.pdb,vina,1.825, 4.066, 0.000, 0.000, 0.000,-1.893,-2.241,-1.893
8eq5,ranked_0.pdb,vinardo,1.748, 3.894, 0.000, 0.000, 0.000,-2.719,-2.146,-2.719
8eq5,ranked_1.pdb,vina,1.887, 4.204, 0.000, 0.000, 0.000,-1.914,-2.317,-1.914
8eq5,ranked_1.pdb,vinardo,1.854, 4.129, 0.000, 0.000, 0.000,-2.728,-2.276,-2.728
8eq5,ranked_2.pdb,vina,2.114, 4.710, 0.000, 0.000, 0.000,-1.810,-2.596,-1.810
8eq5,ranked_2.pdb,vinardo,2.020, 4.500, 0.000, 0.000, 0.000,-2.700,-2.480,-2.700
8eq5,ranked_3.pdb,vina,1.643, 3.660, 0.000, 0.000, 0.000,-1.876,-2.017,-1.876
8eq5,ranked_3.pdb,vinardo,1.540, 3.430, 0.000, 0.000, 0.000,-2.739,-1.890,-2.739
8eq5,ranked_4.pdb,vina,1.449, 3.228, 0.000, 0.000, 0.000,-1.864,-1.779,-1.864
8eq5,ranked_4.pdb,vinardo,1.431, 3.187, 0.000, 0.000, 0.000,-2.728,-1.757,-2.728
8eq5,ranked_5.pdb,vina,1.738, 3.871, 0.000, 0.000, 0.000,-1.878,-2.133,-1.878
8eq5,ranked_5.pdb,vinardo,1.671, 3.722, 0.000, 0.000, 0.000,-2.718,-2.051,-2.718
8eq5,ranked_6.pdb,vina,1.650, 3.676, 0.000, 0.000, 0.000,-1.850,-2.026,-1.850
8eq5,ranked_6.pdb,vinardo,1.578, 3.516, 0.000, 0.000, 0.000,-2.727,-1.938,-2.727
8eq5,ranked_7.pdb,vina,2.086, 4.647, 0.000, 0.000, 0.000,-1.830,-2.561,-1.830
8eq5,ranked_7.pdb,vinardo,1.979, 4.409, 0.000, 0.000, 0.000,-2.702,-2.430,-2.702
8eq5,ranked_8.pdb,vina,1.947, 4.337, 0.000, 0.000, 0.000,-1.873,-2.390,-1.873
8eq5,ranked_8.pdb,vinardo,1.855, 4.132, 0.000, 0.000, 0.000,-2.734,-2.277,-2.734
8eq5,ranked_9.pdb,vina,0.545, 1.214, 0.000, 0.000, 0.000,-1.700,-0.669,-1.700
8eq5,ranked_9.pdb,vinardo,0.594, 1.323, 0.000, 0.000, 0.000,-2.702,-0.729,-2.702
8eq5,ranked_10.pdb,vina,2.139, 4.765, 0.000, 0.000, 0.000,-1.847,-2.626,-1.847
8eq5,ranked_10.pdb,vinardo,2.044, 4.553, 0.000, 0.000, 0.000,-2.735,-2.509,-2.735
8eq5,ranked_11.pdb,vina,1.639, 3.651, 0.000, 0.000, 0.000,-1.846,-2.012,-1.846
8eq5,ranked_11.pdb,vinardo,1.571, 3.499, 0.000, 0.000, 0.000,-2.721,-1.928,-2.721
8eq5,ranked_12.pdb,vina,2.234, 4.976, 0.000, 0.000, 0.000,-1.951,-2.742,-1.951
8eq5,ranked_12.pdb,vinardo,2.144, 4.777, 0.000, 0.000, 0.000,-2.741,-2.633,-2.741
8eq5,ranked_13.pdb,vina,1.282, 2.856, 0.000, 0.000, 0.000,-1.908,-1.574,-1.908
8eq5,ranked_13.pdb,vinardo,1.263, 2.814, 0.000, 0.000, 0.000,-2.759,-1.551,-2.759
