#  old_rank	structure_name		score
0	555	ranked_555.pdb_clean	-713.7481543751063
1	483	ranked_483.pdb_clean	-710.3601645313356
2	453	ranked_453.pdb_clean	-683.5422722425254
3	170	ranked_170.pdb_clean	-682.962287679949
4	323	ranked_323.pdb_clean	-680.3086175307875
5	23	ranked_23.pdb_clean	-680.1216626442302
6	70	ranked_70.pdb_clean	-678.077197150483
7	554	ranked_554.pdb_clean	-676.9629962132794
8	205	ranked_205.pdb_clean	-673.5555022489621
9	212	ranked_212.pdb_clean	-672.306903017504
10	236	ranked_236.pdb_clean	-671.4995318693256
11	55	ranked_55.pdb_clean	-670.9492488628696
12	313	ranked_313.pdb_clean	-670.2685387978427
13	227	ranked_227.pdb_clean	-670.1417460305684
14	84	ranked_84.pdb_clean	-668.9788764521883
15	282	ranked_282.pdb_clean	-667.6919484417092
16	287	ranked_287.pdb_clean	-666.0639775754748
17	340	ranked_340.pdb_clean	-665.6493996776001
18	25	ranked_25.pdb_clean	-665.3977180315112
19	335	ranked_335.pdb_clean	-663.8364150276304
20	143	ranked_143.pdb_clean	-663.370328660529
21	131	ranked_131.pdb_clean	-662.8290134923245
22	237	ranked_237.pdb_clean	-662.4695359271533
23	13	ranked_13.pdb_clean	-662.4527782601
24	185	ranked_185.pdb_clean	-662.4333502753864
25	120	ranked_120.pdb_clean	-660.442513480289
26	119	ranked_119.pdb_clean	-660.139621796159
27	110	ranked_110.pdb_clean	-659.6478664065014
28	306	ranked_306.pdb_clean	-659.5593527421601
29	155	ranked_155.pdb_clean	-659.456129645497
30	303	ranked_303.pdb_clean	-656.9891917362085
31	14	ranked_14.pdb_clean	-656.8707973914205
32	231	ranked_231.pdb_clean	-656.7593062823861
33	417	ranked_417.pdb_clean	-655.8616719562428
34	17	ranked_17.pdb_clean	-655.2681406336955
35	135	ranked_135.pdb_clean	-655.1474148801548
36	27	ranked_27.pdb_clean	-651.8236432210322
37	3	ranked_3.pdb_clean	-651.5680973045254
38	167	ranked_167.pdb_clean	-651.040270002375
39	28	ranked_28.pdb_clean	-650.2614994207818
40	73	ranked_73.pdb_clean	-649.2283967461323
41	65	ranked_65.pdb_clean	-648.9979610117113
42	34	ranked_34.pdb_clean	-648.1641035160004
43	11	ranked_11.pdb_clean	-647.8761820155661
44	21	ranked_21.pdb_clean	-646.8577119838338
45	352	ranked_352.pdb_clean	-646.6632633553745
46	8	ranked_8.pdb_clean	-645.7399656128781
47	379	ranked_379.pdb_clean	-644.982394128169
48	26	ranked_26.pdb_clean	-642.0813479316613
49	31	ranked_31.pdb_clean	-641.7214274054038
50	29	ranked_29.pdb_clean	-641.6092030751488
51	370	ranked_370.pdb_clean	-641.5244170029299
52	30	ranked_30.pdb_clean	-641.2853689054108
53	270	ranked_270.pdb_clean	-641.2833531455244
54	71	ranked_71.pdb_clean	-641.0340421661328
55	361	ranked_361.pdb_clean	-640.6233262633634
56	397	ranked_397.pdb_clean	-640.0748578162342
57	315	ranked_315.pdb_clean	-638.5241180988443
58	22	ranked_22.pdb_clean	-637.7841225637153
59	153	ranked_153.pdb_clean	-637.7193856395286
60	358	ranked_358.pdb_clean	-637.0803427509438
61	162	ranked_162.pdb_clean	-636.5636651156925
62	298	ranked_298.pdb_clean	-636.0629929445421
63	130	ranked_130.pdb_clean	-635.9439107832736
64	24	ranked_24.pdb_clean	-635.4754644953107
65	360	ranked_360.pdb_clean	-634.8969822000344
66	328	ranked_328.pdb_clean	-634.2666333108234
67	42	ranked_42.pdb_clean	-634.240325867204
68	166	ranked_166.pdb_clean	-633.5998383953017
69	83	ranked_83.pdb_clean	-633.231320614232
70	35	ranked_35.pdb_clean	-632.9885016501789
71	259	ranked_259.pdb_clean	-632.7946730317298
72	5	ranked_5.pdb_clean	-632.7914843114008
73	47	ranked_47.pdb_clean	-632.5939852574726
74	0	ranked_0.pdb_clean	-632.3369544582175
75	201	ranked_201.pdb_clean	-631.4233905884001
76	81	ranked_81.pdb_clean	-631.37271042294
77	351	ranked_351.pdb_clean	-631.2400455879804
78	202	ranked_202.pdb_clean	-630.9680948698651
79	56	ranked_56.pdb_clean	-630.4474639691744
80	99	ranked_99.pdb_clean	-630.4257045611387
81	173	ranked_173.pdb_clean	-630.4149076855716
82	995	ranked_995.pdb_clean	-630.1550066920404
83	60	ranked_60.pdb_clean	-628.9446290417462
84	341	ranked_341.pdb_clean	-628.7133412977489
85	254	ranked_254.pdb_clean	-628.6964133044007
86	415	ranked_415.pdb_clean	-628.2087484276524
87	196	ranked_196.pdb_clean	-627.829108975576
88	230	ranked_230.pdb_clean	-627.3111423236686
89	345	ranked_345.pdb_clean	-627.2052700677946
90	43	ranked_43.pdb_clean	-627.1631982992429
91	218	ranked_218.pdb_clean	-626.4251795324367
92	69	ranked_69.pdb_clean	-626.2622897338497
93	314	ranked_314.pdb_clean	-625.8981289363646
94	186	ranked_186.pdb_clean	-625.7582326720704
95	52	ranked_52.pdb_clean	-625.6733049531241
96	89	ranked_89.pdb_clean	-625.1833088832819
97	98	ranked_98.pdb_clean	-624.7719907597491
98	66	ranked_66.pdb_clean	-624.4463761542219
99	33	ranked_33.pdb_clean	-624.3834701382928
100	1	ranked_1.pdb_clean	-624.2877107008126
101	148	ranked_148.pdb_clean	-624.2533535562886
102	225	ranked_225.pdb_clean	-624.1571490404509
103	207	ranked_207.pdb_clean	-624.018878968187
104	184	ranked_184.pdb_clean	-623.8123989905666
105	350	ranked_350.pdb_clean	-623.4427953469694
106	258	ranked_258.pdb_clean	-623.2905986171869
107	223	ranked_223.pdb_clean	-622.84569201119
108	9	ranked_9.pdb_clean	-622.4836937930443
109	273	ranked_273.pdb_clean	-622.2273700638342
110	149	ranked_149.pdb_clean	-621.9027673278714
111	213	ranked_213.pdb_clean	-620.2685521786868
112	329	ranked_329.pdb_clean	-620.1114362257483
113	61	ranked_61.pdb_clean	-619.9607494497347
114	508	ranked_508.pdb_clean	-619.1042991781177
115	159	ranked_159.pdb_clean	-618.4811350628119
116	200	ranked_200.pdb_clean	-618.0952427179936
117	67	ranked_67.pdb_clean	-617.4561696249568
118	269	ranked_269.pdb_clean	-617.1864669732504
119	181	ranked_181.pdb_clean	-617.1496682888873
120	226	ranked_226.pdb_clean	-617.0370370105971
121	154	ranked_154.pdb_clean	-616.8859849733997
122	327	ranked_327.pdb_clean	-616.3888263070586
123	74	ranked_74.pdb_clean	-616.3174203803396
124	245	ranked_245.pdb_clean	-616.2205251251239
125	301	ranked_301.pdb_clean	-615.7876104209873
126	222	ranked_222.pdb_clean	-615.7402100882006
127	326	ranked_326.pdb_clean	-615.6050881092392
128	158	ranked_158.pdb_clean	-615.6006269903102
129	7	ranked_7.pdb_clean	-615.5493429285178
130	151	ranked_151.pdb_clean	-615.5350946696589
131	92	ranked_92.pdb_clean	-615.1852505050618
132	257	ranked_257.pdb_clean	-614.9819657985191
133	20	ranked_20.pdb_clean	-614.3867193996258
134	828	ranked_828.pdb_clean	-614.3772428968081
135	388	ranked_388.pdb_clean	-614.0693120573734
136	242	ranked_242.pdb_clean	-613.9745365695442
137	16	ranked_16.pdb_clean	-613.2899120739091
138	220	ranked_220.pdb_clean	-612.6161665301468
139	164	ranked_164.pdb_clean	-612.554826017485
140	291	ranked_291.pdb_clean	-611.1297754832278
141	204	ranked_204.pdb_clean	-610.8050801935533
142	300	ranked_300.pdb_clean	-610.4404600670357
143	198	ranked_198.pdb_clean	-609.8787713871081
144	284	ranked_284.pdb_clean	-609.7925326393379
145	288	ranked_288.pdb_clean	-609.600455565196
146	247	ranked_247.pdb_clean	-609.3661843997786
147	206	ranked_206.pdb_clean	-609.2003384145831
148	139	ranked_139.pdb_clean	-608.3939855472261
149	233	ranked_233.pdb_clean	-608.3205894723598
150	137	ranked_137.pdb_clean	-607.204114311007
151	59	ranked_59.pdb_clean	-606.522462499577
152	193	ranked_193.pdb_clean	-605.6862893058129
153	189	ranked_189.pdb_clean	-605.6701811820933
154	169	ranked_169.pdb_clean	-605.5286409756823
155	371	ranked_371.pdb_clean	-605.3106941736247
156	268	ranked_268.pdb_clean	-605.1818657469638
157	12	ranked_12.pdb_clean	-604.4545152034337
158	122	ranked_122.pdb_clean	-604.1983546276334
159	191	ranked_191.pdb_clean	-602.8908120030407
160	50	ranked_50.pdb_clean	-602.7346428164763
161	82	ranked_82.pdb_clean	-602.6619615459263
162	215	ranked_215.pdb_clean	-602.399176718465
163	276	ranked_276.pdb_clean	-602.0893027070581
164	398	ranked_398.pdb_clean	-601.1717534437873
165	316	ranked_316.pdb_clean	-601.0314388470003
166	108	ranked_108.pdb_clean	-600.7771040869964
167	238	ranked_238.pdb_clean	-600.7650990067845
168	107	ranked_107.pdb_clean	-600.2111716713371
169	324	ranked_324.pdb_clean	-600.1306562801767
170	75	ranked_75.pdb_clean	-600.0858632945555
171	15	ranked_15.pdb_clean	-599.2941020418914
172	4	ranked_4.pdb_clean	-599.2025152327593
173	325	ranked_325.pdb_clean	-598.8879018231055
174	495	ranked_495.pdb_clean	-598.5974224828245
175	37	ranked_37.pdb_clean	-597.729728231517
176	80	ranked_80.pdb_clean	-597.4333336521328
177	123	ranked_123.pdb_clean	-597.2816444750657
178	221	ranked_221.pdb_clean	-596.6918001233257
179	390	ranked_390.pdb_clean	-596.5154695468513
180	322	ranked_322.pdb_clean	-595.3130057399853
181	40	ranked_40.pdb_clean	-595.3111117988576
182	302	ranked_302.pdb_clean	-593.6166210127315
183	239	ranked_239.pdb_clean	-593.0373072901233
184	486	ranked_486.pdb_clean	-592.8244774313061
185	292	ranked_292.pdb_clean	-592.3927395500294
186	114	ranked_114.pdb_clean	-592.2975454276151
187	364	ranked_364.pdb_clean	-591.6511494596206
188	49	ranked_49.pdb_clean	-591.6383673013963
189	356	ranked_356.pdb_clean	-591.3028801705345
190	281	ranked_281.pdb_clean	-591.0004840334163
191	290	ranked_290.pdb_clean	-590.7811105205329
192	194	ranked_194.pdb_clean	-590.6627416193738
193	264	ranked_264.pdb_clean	-590.5849053472117
194	38	ranked_38.pdb_clean	-588.409483996976
195	100	ranked_100.pdb_clean	-588.1780786909399
196	277	ranked_277.pdb_clean	-587.5470510333676
197	171	ranked_171.pdb_clean	-586.6695442360335
198	10	ranked_10.pdb_clean	-585.6102129114279
199	310	ranked_310.pdb_clean	-585.5910672437344
200	57	ranked_57.pdb_clean	-585.5548809235138
201	320	ranked_320.pdb_clean	-585.0405126726413
202	160	ranked_160.pdb_clean	-584.7572311016745
203	147	ranked_147.pdb_clean	-583.5224228811894
204	103	ranked_103.pdb_clean	-582.9918620287442
205	375	ranked_375.pdb_clean	-581.7962972996845
206	138	ranked_138.pdb_clean	-581.1121098244746
207	95	ranked_95.pdb_clean	-579.2277345772317
208	234	ranked_234.pdb_clean	-578.6573107486768
209	217	ranked_217.pdb_clean	-578.0584061184512
210	250	ranked_250.pdb_clean	-577.7114077728297
211	175	ranked_175.pdb_clean	-577.5215660965098
212	72	ranked_72.pdb_clean	-577.4853147611268
213	251	ranked_251.pdb_clean	-576.9661699949081
214	244	ranked_244.pdb_clean	-575.6040855300234
215	94	ranked_94.pdb_clean	-573.8032468832928
216	79	ranked_79.pdb_clean	-573.3288458832944
217	190	ranked_190.pdb_clean	-571.5843172025166
218	365	ranked_365.pdb_clean	-571.5746347266706
219	266	ranked_266.pdb_clean	-571.5220365311384
220	274	ranked_274.pdb_clean	-571.3648789268284
221	187	ranked_187.pdb_clean	-567.7427693747328
222	260	ranked_260.pdb_clean	-567.4733440808304
223	32	ranked_32.pdb_clean	-566.7253921583085
224	214	ranked_214.pdb_clean	-566.277969747608
225	297	ranked_297.pdb_clean	-566.1074803064585
226	372	ranked_372.pdb_clean	-565.4819588866493
227	279	ranked_279.pdb_clean	-563.8647928914996
228	77	ranked_77.pdb_clean	-563.643755183271
229	19	ranked_19.pdb_clean	-562.6998327459194
230	344	ranked_344.pdb_clean	-559.6827874923815
231	812	ranked_812.pdb_clean	-559.1927876721156
232	305	ranked_305.pdb_clean	-558.281578688199
233	425	ranked_425.pdb_clean	-557.1693594465467
234	449	ranked_449.pdb_clean	-556.1862753681943
235	441	ranked_441.pdb_clean	-555.2062275392782
236	183	ranked_183.pdb_clean	-551.7639473219804
237	243	ranked_243.pdb_clean	-551.3033742591282
238	145	ranked_145.pdb_clean	-551.1941164968478
239	180	ranked_180.pdb_clean	-550.3305038781401
240	529	ranked_529.pdb_clean	-549.2253132153919
241	383	ranked_383.pdb_clean	-548.3046591513037
242	36	ranked_36.pdb_clean	-547.7956903155535
243	399	ranked_399.pdb_clean	-545.5845891653205
244	267	ranked_267.pdb_clean	-545.3656347799986
245	262	ranked_262.pdb_clean	-544.306919645353
246	88	ranked_88.pdb_clean	-543.9241872237653
247	462	ranked_462.pdb_clean	-543.5928731278118
248	436	ranked_436.pdb_clean	-539.129022819292
249	129	ranked_129.pdb_clean	-539.0352229355011
250	430	ranked_430.pdb_clean	-536.89803612178
251	394	ranked_394.pdb_clean	-534.4561134267598
252	470	ranked_470.pdb_clean	-533.7786380097489
253	502	ranked_502.pdb_clean	-532.9838721187016
254	431	ranked_431.pdb_clean	-529.3481115967741
255	487	ranked_487.pdb_clean	-527.8104821811752
256	188	ranked_188.pdb_clean	-525.2025864139412
257	742	ranked_742.pdb_clean	-524.2113907158138
258	156	ranked_156.pdb_clean	-524.144851909718
259	319	ranked_319.pdb_clean	-522.383476419241
260	456	ranked_456.pdb_clean	-520.8512428767848
261	422	ranked_422.pdb_clean	-520.0540514020781
262	542	ranked_542.pdb_clean	-520.0516903066849
263	506	ranked_506.pdb_clean	-516.729671332205
264	403	ranked_403.pdb_clean	-514.7858218427432
265	255	ranked_255.pdb_clean	-512.7669942037896
266	600	ranked_600.pdb_clean	-511.3787144396955
267	429	ranked_429.pdb_clean	-510.33228022813194
