#  old_rank	structure_name		score
0	868	ranked_868.pdb_clean	630.5492921601651
1	516	ranked_516.pdb_clean	651.3255660212187
2	962	ranked_962.pdb_clean	669.3036960395
3	23	ranked_23.pdb_clean	777.4452834286988
4	594	ranked_594.pdb_clean	862.2055391832805
5	902	ranked_902.pdb_clean	915.3088334804654
6	140	ranked_140.pdb_clean	955.2323687225992
7	36	ranked_36.pdb_clean	957.0194097618739
8	562	ranked_562.pdb_clean	961.8739483306488
9	300	ranked_300.pdb_clean	1003.3693065476748
10	849	ranked_849.pdb_clean	1021.5406418417324
11	641	ranked_641.pdb_clean	1053.044401449481
12	706	ranked_706.pdb_clean	1058.1656952929332
13	685	ranked_685.pdb_clean	1065.3323635445647
14	639	ranked_639.pdb_clean	1070.570661733665
15	492	ranked_492.pdb_clean	1082.7994096846176
16	204	ranked_204.pdb_clean	1090.263879587354
17	256	ranked_256.pdb_clean	1093.1529837435196
18	130	ranked_130.pdb_clean	1094.1429579731239
19	647	ranked_647.pdb_clean	1098.3369649003737
20	78	ranked_78.pdb_clean	1115.899805777263
21	63	ranked_63.pdb_clean	1120.0924634604366
22	310	ranked_310.pdb_clean	1134.307096471178
23	137	ranked_137.pdb_clean	1139.8221588418655
24	325	ranked_325.pdb_clean	1157.0240261846886
25	498	ranked_498.pdb_clean	1158.5829365432007
26	564	ranked_564.pdb_clean	1163.4641415319738
27	587	ranked_587.pdb_clean	1168.1748905043817
28	612	ranked_612.pdb_clean	1170.1890499679068
29	730	ranked_730.pdb_clean	1186.0476833926446
30	876	ranked_876.pdb_clean	1188.232511155122
31	939	ranked_939.pdb_clean	1188.821179495892
32	353	ranked_353.pdb_clean	1193.5852050653777
33	8	ranked_8.pdb_clean	1198.179653410681
34	721	ranked_721.pdb_clean	1205.9282155587655
35	425	ranked_425.pdb_clean	1209.314298689569
36	382	ranked_382.pdb_clean	1215.1653746915447
37	908	ranked_908.pdb_clean	1217.8956689298475
38	665	ranked_665.pdb_clean	1219.1269215857747
39	655	ranked_655.pdb_clean	1228.2684770554818
40	798	ranked_798.pdb_clean	1233.6645765667852
41	676	ranked_676.pdb_clean	1237.7524142761126
42	442	ranked_442.pdb_clean	1237.849345264919
43	403	ranked_403.pdb_clean	1245.7451442495912
44	900	ranked_900.pdb_clean	1250.0021776110016
45	799	ranked_799.pdb_clean	1267.1268705279513
46	675	ranked_675.pdb_clean	1273.652652068107
47	482	ranked_482.pdb_clean	1284.9845054267332
48	373	ranked_373.pdb_clean	1287.3106494116555
49	411	ranked_411.pdb_clean	1294.5903289555406
50	368	ranked_368.pdb_clean	1296.4868851604506
51	754	ranked_754.pdb_clean	1300.0571181812375
52	762	ranked_762.pdb_clean	1300.2701099324763
53	738	ranked_738.pdb_clean	1300.4161330818354
54	718	ranked_718.pdb_clean	1301.9675326516292
55	620	ranked_620.pdb_clean	1316.7233420500781
56	447	ranked_447.pdb_clean	1319.037425181174
57	964	ranked_964.pdb_clean	1326.7567568382442
58	985	ranked_985.pdb_clean	1327.9388323862067
59	215	ranked_215.pdb_clean	1341.231963993281
60	699	ranked_699.pdb_clean	1343.8520801138143
61	160	ranked_160.pdb_clean	1345.4221584777715
62	837	ranked_837.pdb_clean	1345.728359942247
63	940	ranked_940.pdb_clean	1350.179237170678
64	742	ranked_742.pdb_clean	1351.5886618891489
65	626	ranked_626.pdb_clean	1352.0492078259715
66	907	ranked_907.pdb_clean	1352.052671923096
67	601	ranked_601.pdb_clean	1363.2596202638415
68	662	ranked_662.pdb_clean	1364.1885483647627
69	766	ranked_766.pdb_clean	1371.4412223635074
70	690	ranked_690.pdb_clean	1387.316630940285
71	343	ranked_343.pdb_clean	1396.08171870993
72	624	ranked_624.pdb_clean	1396.420798309125
73	903	ranked_903.pdb_clean	1405.2714503357265
74	499	ranked_499.pdb_clean	1405.49841099338
75	617	ranked_617.pdb_clean	1406.5429386030332
76	801	ranked_801.pdb_clean	1407.2454551395722
77	533	ranked_533.pdb_clean	1408.5617745700638
78	469	ranked_469.pdb_clean	1410.8797922693357
79	565	ranked_565.pdb_clean	1411.7327921959354
80	487	ranked_487.pdb_clean	1415.739167600751
81	704	ranked_704.pdb_clean	1425.808430709896
82	315	ranked_315.pdb_clean	1427.059468419465
83	517	ranked_517.pdb_clean	1428.0915518382913
84	723	ranked_723.pdb_clean	1436.4243706257655
85	909	ranked_909.pdb_clean	1440.3691441440792
86	217	ranked_217.pdb_clean	1444.766468705544
87	898	ranked_898.pdb_clean	1447.1312701392587
88	471	ranked_471.pdb_clean	1453.5674456000131
89	800	ranked_800.pdb_clean	1472.815390145957
90	834	ranked_834.pdb_clean	1473.917008578284
91	614	ranked_614.pdb_clean	1475.7636305522462
92	46	ranked_46.pdb_clean	1482.8542599094858
93	66	ranked_66.pdb_clean	1494.0502727347764
94	649	ranked_649.pdb_clean	1494.3682213380662
95	703	ranked_703.pdb_clean	1494.6728045740842
96	534	ranked_534.pdb_clean	1498.6520709921463
97	695	ranked_695.pdb_clean	1500.2722409396783
98	17	ranked_17.pdb_clean	1501.394543698294
99	430	ranked_430.pdb_clean	1514.9552875442155
100	712	ranked_712.pdb_clean	1515.6819504017449
101	588	ranked_588.pdb_clean	1526.17647841591
102	933	ranked_933.pdb_clean	1529.402894009041
103	410	ranked_410.pdb_clean	1529.7575891997799
104	434	ranked_434.pdb_clean	1531.6425724064716
105	918	ranked_918.pdb_clean	1536.536489724149
106	356	ranked_356.pdb_clean	1547.7386582196161
