#  old_rank	structure_name		score
0	529	ranked_529.pdb_clean	-477.3657165990143
1	582	ranked_582.pdb_clean	-466.4925169520014
2	554	ranked_554.pdb_clean	-459.715707535267
3	532	ranked_532.pdb_clean	-405.4091735273603
4	571	ranked_571.pdb_clean	-393.8599047777079
5	459	ranked_459.pdb_clean	-343.6090123960732
6	490	ranked_490.pdb_clean	-301.88930420765337
7	489	ranked_489.pdb_clean	-300.01877171439867
8	0	ranked_0.pdb_clean	-268.9683366240376
9	1	ranked_1.pdb_clean	-247.40703474709017
10	620	ranked_620.pdb_clean	-245.09827655238968
11	3	ranked_3.pdb_clean	-237.3353012482915
12	512	ranked_512.pdb_clean	-220.38501003101265
13	575	ranked_575.pdb_clean	-212.8119213785551
14	25	ranked_25.pdb_clean	-196.4816934420208
15	26	ranked_26.pdb_clean	-186.05043778954604
16	477	ranked_477.pdb_clean	-175.4327727890095
17	4	ranked_4.pdb_clean	-156.26169688447808
18	322	ranked_322.pdb_clean	-141.1720401763446
19	599	ranked_599.pdb_clean	-136.8723423434608
20	254	ranked_254.pdb_clean	-108.14564422214002
21	492	ranked_492.pdb_clean	-106.23874102889228
22	15	ranked_15.pdb_clean	-104.03185688506397
23	10	ranked_10.pdb_clean	-93.28747202223562
24	6	ranked_6.pdb_clean	-88.63215852250643
25	43	ranked_43.pdb_clean	-51.74864460398185
26	85	ranked_85.pdb_clean	-30.426371139962306
27	5	ranked_5.pdb_clean	-26.641811032547096
28	12	ranked_12.pdb_clean	-16.45439642364876
29	264	ranked_264.pdb_clean	-10.587941037476966
30	216	ranked_216.pdb_clean	-9.189189512578494
31	144	ranked_144.pdb_clean	-8.600479210887087
32	65	ranked_65.pdb_clean	-4.400081368438194
33	8	ranked_8.pdb_clean	-2.311624823505568
34	166	ranked_166.pdb_clean	11.265071042067746
35	251	ranked_251.pdb_clean	11.332969781864378
36	317	ranked_317.pdb_clean	17.01762519297192
37	17	ranked_17.pdb_clean	35.85550906175662
38	511	ranked_511.pdb_clean	36.17439051359649
39	268	ranked_268.pdb_clean	36.38929926875642
40	28	ranked_28.pdb_clean	38.23696494559894
41	56	ranked_56.pdb_clean	42.74612983387418
42	326	ranked_326.pdb_clean	45.72636747401128
43	307	ranked_307.pdb_clean	46.22933857077021
44	450	ranked_450.pdb_clean	46.610561648377725
45	330	ranked_330.pdb_clean	47.43353541040631
46	370	ranked_370.pdb_clean	55.768685369169575
47	94	ranked_94.pdb_clean	63.14717009968591
48	455	ranked_455.pdb_clean	66.61053307754686
49	67	ranked_67.pdb_clean	67.2798023817707
50	246	ranked_246.pdb_clean	71.38719011002452
51	90	ranked_90.pdb_clean	75.44830549020163
52	314	ranked_314.pdb_clean	76.45188847437142
53	59	ranked_59.pdb_clean	76.85384192551918
54	266	ranked_266.pdb_clean	80.45942364722787
55	206	ranked_206.pdb_clean	83.70480019352327
56	137	ranked_137.pdb_clean	83.720171875943
57	7	ranked_7.pdb_clean	84.4076798922461
58	123	ranked_123.pdb_clean	84.58547015512211
59	375	ranked_375.pdb_clean	85.5299240372161
60	301	ranked_301.pdb_clean	89.03001880505973
61	468	ranked_468.pdb_clean	89.41643983231036
62	493	ranked_493.pdb_clean	94.2469843845512
63	71	ranked_71.pdb_clean	95.23665880331264
64	209	ranked_209.pdb_clean	97.75192975888653
65	156	ranked_156.pdb_clean	99.98785931377331
66	231	ranked_231.pdb_clean	103.72596956902932
67	508	ranked_508.pdb_clean	104.86638440538958
68	104	ranked_104.pdb_clean	105.75194735884811
69	210	ranked_210.pdb_clean	107.68050075141225
70	454	ranked_454.pdb_clean	110.74714262083133
71	147	ranked_147.pdb_clean	113.25373576077617
72	11	ranked_11.pdb_clean	114.31684757917905
73	84	ranked_84.pdb_clean	115.73809792259603
74	145	ranked_145.pdb_clean	116.2016155344818
75	329	ranked_329.pdb_clean	119.01660614812384
76	303	ranked_303.pdb_clean	119.14214145529554
77	269	ranked_269.pdb_clean	119.20992520427309
78	23	ranked_23.pdb_clean	120.4586065615746
79	228	ranked_228.pdb_clean	122.63138528354956
80	176	ranked_176.pdb_clean	123.06316551082772
81	230	ranked_230.pdb_clean	123.41714250241854
82	68	ranked_68.pdb_clean	125.06862251954145
83	623	ranked_623.pdb_clean	128.22625572894293
84	513	ranked_513.pdb_clean	128.3109505592148
85	149	ranked_149.pdb_clean	128.58529561841686
86	461	ranked_461.pdb_clean	129.46524650811614
87	495	ranked_495.pdb_clean	131.00115790328312
88	437	ranked_437.pdb_clean	132.51791666156436
89	384	ranked_384.pdb_clean	134.63370713696116
90	348	ranked_348.pdb_clean	138.11207004782744
91	225	ranked_225.pdb_clean	138.5016559006749
92	66	ranked_66.pdb_clean	139.29032836322466
93	537	ranked_537.pdb_clean	141.87871395262204
94	315	ranked_315.pdb_clean	142.5628148517455
95	309	ranked_309.pdb_clean	143.28671541795813
96	52	ranked_52.pdb_clean	144.66946322547147
97	248	ranked_248.pdb_clean	145.1076275541081
98	110	ranked_110.pdb_clean	145.73387319612
99	425	ranked_425.pdb_clean	147.2342316625755
100	74	ranked_74.pdb_clean	147.6859880267985
101	272	ranked_272.pdb_clean	148.16522255222822
102	53	ranked_53.pdb_clean	149.24246790832996
103	47	ranked_47.pdb_clean	149.29939401700307
104	93	ranked_93.pdb_clean	149.46837775623487
105	155	ranked_155.pdb_clean	149.73942175358104
106	80	ranked_80.pdb_clean	150.33176701402255
107	108	ranked_108.pdb_clean	151.8598131384578
108	290	ranked_290.pdb_clean	152.3415067281802
109	88	ranked_88.pdb_clean	153.71982131216868
110	479	ranked_479.pdb_clean	153.8777051583939
111	227	ranked_227.pdb_clean	154.16850241806156
112	198	ranked_198.pdb_clean	155.82413377049232
113	347	ranked_347.pdb_clean	156.74096184558294
114	609	ranked_609.pdb_clean	157.98580827653063
115	366	ranked_366.pdb_clean	158.48138675779387
116	484	ranked_484.pdb_clean	158.90798043036324
117	111	ranked_111.pdb_clean	160.42324386299782
118	181	ranked_181.pdb_clean	160.63833286650834
119	480	ranked_480.pdb_clean	161.2844131405285
120	316	ranked_316.pdb_clean	161.41886620834833
121	89	ranked_89.pdb_clean	162.80657742225043
122	379	ranked_379.pdb_clean	163.33389008527365
123	491	ranked_491.pdb_clean	163.55431278575264
124	226	ranked_226.pdb_clean	164.40438651889826
125	34	ranked_34.pdb_clean	164.65486522518154
126	352	ranked_352.pdb_clean	164.69215199988747
127	183	ranked_183.pdb_clean	165.55571125466776
128	360	ranked_360.pdb_clean	167.41521484796948
129	519	ranked_519.pdb_clean	168.9305533346174
130	103	ranked_103.pdb_clean	172.39234165001062
131	308	ranked_308.pdb_clean	176.75875281867542
132	48	ranked_48.pdb_clean	176.88999953454413
133	298	ranked_298.pdb_clean	177.38945713213798
134	441	ranked_441.pdb_clean	177.63312412564744
135	305	ranked_305.pdb_clean	179.59096124745582
136	356	ranked_356.pdb_clean	180.28256061573472
137	592	ranked_592.pdb_clean	180.31512223036486
138	69	ranked_69.pdb_clean	180.35007769517483
139	44	ranked_44.pdb_clean	181.26918922592932
140	478	ranked_478.pdb_clean	181.6139615615087
141	341	ranked_341.pdb_clean	182.400795261594
142	244	ranked_244.pdb_clean	183.37007834814273
143	423	ranked_423.pdb_clean	188.8726985371631
144	503	ranked_503.pdb_clean	189.22331523770777
145	122	ranked_122.pdb_clean	191.25731916763505
146	416	ranked_416.pdb_clean	194.99619792606455
147	434	ranked_434.pdb_clean	195.32353914305577
148	139	ranked_139.pdb_clean	195.41735111646187
149	542	ranked_542.pdb_clean	195.8838078504479
150	102	ranked_102.pdb_clean	196.3491189522669
151	431	ranked_431.pdb_clean	196.86644202950333
152	204	ranked_204.pdb_clean	197.56083959099965
153	557	ranked_557.pdb_clean	199.31634342553394
154	45	ranked_45.pdb_clean	199.41847029783264
155	167	ranked_167.pdb_clean	199.54523484616323
156	77	ranked_77.pdb_clean	199.60703664696962
157	361	ranked_361.pdb_clean	199.61470070438776
158	444	ranked_444.pdb_clean	202.30384326593702
159	153	ranked_153.pdb_clean	202.9674419175107
160	371	ranked_371.pdb_clean	204.3855957994034
161	37	ranked_37.pdb_clean	206.16619928035146
