Filename,Value,AlphaFold Rank
ranked_426.pdb_clean,0.5028,426.0
ranked_778.pdb_clean,0.4980,778.0
ranked_776.pdb_clean,0.4871,776.0
ranked_657.pdb_clean,0.4828,657.0
ranked_646.pdb_clean,0.4507,646.0
ranked_832.pdb_clean,0.4469,832.0
ranked_791.pdb_clean,0.4367,791.0
ranked_747.pdb_clean,0.4328,747.0
ranked_565.pdb_clean,0.4304,565.0
ranked_763.pdb_clean,0.4279,763.0
ranked_531.pdb_clean,0.4264,531.0
ranked_752.pdb_clean,0.4223,752.0
ranked_759.pdb_clean,0.4187,759.0
ranked_779.pdb_clean,0.4147,779.0
ranked_738.pdb_clean,0.4113,738.0
ranked_402.pdb_clean,0.4105,402.0
ranked_669.pdb_clean,0.4100,669.0
ranked_796.pdb_clean,0.4087,796.0
ranked_783.pdb_clean,0.4051,783.0
ranked_630.pdb_clean,0.4020,630.0
ranked_785.pdb_clean,0.3982,785.0
ranked_662.pdb_clean,0.3960,662.0
ranked_786.pdb_clean,0.3958,786.0
ranked_736.pdb_clean,0.3953,736.0
ranked_716.pdb_clean,0.3922,716.0
ranked_11.pdb_clean,0.3913,11.0
ranked_151.pdb_clean,0.3902,151.0
ranked_751.pdb_clean,0.3896,751.0
ranked_750.pdb_clean,0.3880,750.0
ranked_61.pdb_clean,0.3867,61.0
ranked_360.pdb_clean,0.3866,360.0
ranked_2.pdb_clean,0.3862,2.0
ranked_933.pdb_clean,0.3851,933.0
ranked_854.pdb_clean,0.3846,854.0
ranked_876.pdb_clean,0.3845,876.0
ranked_74.pdb_clean,0.3843,74.0
ranked_788.pdb_clean,0.3840,788.0
ranked_741.pdb_clean,0.3806,741.0
ranked_4.pdb_clean,0.3802,4.0
ranked_910.pdb_clean,0.3799,910.0
ranked_306.pdb_clean,0.3797,306.0
ranked_587.pdb_clean,0.3793,587.0
ranked_53.pdb_clean,0.3793,53.0
ranked_833.pdb_clean,0.3775,833.0
ranked_383.pdb_clean,0.3772,383.0
ranked_865.pdb_clean,0.3770,865.0
ranked_581.pdb_clean,0.3767,581.0
ranked_896.pdb_clean,0.3758,896.0
ranked_753.pdb_clean,0.3757,753.0
ranked_482.pdb_clean,0.3757,482.0
ranked_945.pdb_clean,0.3754,945.0
ranked_92.pdb_clean,0.3750,92.0
ranked_946.pdb_clean,0.3747,946.0
ranked_15.pdb_clean,0.3746,15.0
ranked_314.pdb_clean,0.3736,314.0
ranked_427.pdb_clean,0.3720,427.0
ranked_677.pdb_clean,0.3717,677.0
ranked_323.pdb_clean,0.3717,323.0
ranked_890.pdb_clean,0.3713,890.0
ranked_43.pdb_clean,0.3712,43.0
ranked_121.pdb_clean,0.3709,121.0
ranked_368.pdb_clean,0.3708,368.0
ranked_651.pdb_clean,0.3705,651.0
ranked_51.pdb_clean,0.3705,51.0
ranked_975.pdb_clean,0.3702,975.0
ranked_963.pdb_clean,0.3700,963.0
ranked_904.pdb_clean,0.3692,904.0
ranked_784.pdb_clean,0.3692,784.0
ranked_717.pdb_clean,0.3690,717.0
ranked_937.pdb_clean,0.3684,937.0
ranked_576.pdb_clean,0.3683,576.0
ranked_80.pdb_clean,0.3679,80.0
