#  old_rank	structure_name		score
0	799	ranked_799.pdb_clean	427.2698861519677
1	1	ranked_1.pdb_clean	679.4326652559981
2	826	ranked_826.pdb_clean	711.7845007390671
3	38	ranked_38.pdb_clean	729.6769816222337
4	999	ranked_999.pdb_clean	836.5918617993153
5	30	ranked_30.pdb_clean	868.3667290602984
6	394	ranked_394.pdb_clean	893.7754967648232
7	733	ranked_733.pdb_clean	895.5258072311411
8	444	ranked_444.pdb_clean	910.5958811392759
9	44	ranked_44.pdb_clean	921.6249622805682
10	9	ranked_9.pdb_clean	930.631248980768
11	31	ranked_31.pdb_clean	952.8749825705404
12	68	ranked_68.pdb_clean	953.2946601809549
13	22	ranked_22.pdb_clean	957.0560721097155
14	4	ranked_4.pdb_clean	964.0997735694102
15	500	ranked_500.pdb_clean	970.3152202860816
16	39	ranked_39.pdb_clean	970.9537044457529
17	974	ranked_974.pdb_clean	974.2718465966219
18	5	ranked_5.pdb_clean	974.5138325565557
19	32	ranked_32.pdb_clean	980.7435439863319
20	33	ranked_33.pdb_clean	982.1296445119516
21	36	ranked_36.pdb_clean	983.0896855456467
22	14	ranked_14.pdb_clean	998.1188193169147
23	59	ranked_59.pdb_clean	1001.1355925998256
24	88	ranked_88.pdb_clean	1008.6922736449636
25	7	ranked_7.pdb_clean	1012.3194475756778
26	45	ranked_45.pdb_clean	1016.3150121159323
27	213	ranked_213.pdb_clean	1021.174268671895
28	35	ranked_35.pdb_clean	1021.5189961264654
29	144	ranked_144.pdb_clean	1028.8837922071486
30	26	ranked_26.pdb_clean	1030.07180808023
31	806	ranked_806.pdb_clean	1035.2015847081439
32	248	ranked_248.pdb_clean	1037.6484212100277
33	13	ranked_13.pdb_clean	1044.6413534817812
34	48	ranked_48.pdb_clean	1047.7948101429677
35	187	ranked_187.pdb_clean	1063.7979509859301
36	968	ranked_968.pdb_clean	1064.8223679443643
37	16	ranked_16.pdb_clean	1073.4852907105537
38	12	ranked_12.pdb_clean	1076.733979975513
39	180	ranked_180.pdb_clean	1085.6889878390743
40	52	ranked_52.pdb_clean	1087.9176465087141
41	100	ranked_100.pdb_clean	1088.2447841051305
42	6	ranked_6.pdb_clean	1114.6820596216317
43	17	ranked_17.pdb_clean	1115.985646096532
44	860	ranked_860.pdb_clean	1120.9410199478139
45	175	ranked_175.pdb_clean	1121.9405311451735
46	0	ranked_0.pdb_clean	1122.4711737624962
47	28	ranked_28.pdb_clean	1127.649448722354
48	896	ranked_896.pdb_clean	1130.701761011228
49	19	ranked_19.pdb_clean	1133.46238439088
50	20	ranked_20.pdb_clean	1142.1478818542234
51	15	ranked_15.pdb_clean	1143.3456463695622
52	116	ranked_116.pdb_clean	1144.52675626342
53	18	ranked_18.pdb_clean	1151.4279071708056
54	29	ranked_29.pdb_clean	1154.679099496148
55	517	ranked_517.pdb_clean	1157.7326043738221
56	125	ranked_125.pdb_clean	1161.264531080914
57	834	ranked_834.pdb_clean	1168.7295154056312
58	944	ranked_944.pdb_clean	1178.8919751187593
59	851	ranked_851.pdb_clean	1183.6764134357081
60	935	ranked_935.pdb_clean	1186.1122328811136
61	11	ranked_11.pdb_clean	1191.0845050946207
62	41	ranked_41.pdb_clean	1192.0506159185825
63	47	ranked_47.pdb_clean	1203.6431756806849
64	21	ranked_21.pdb_clean	1204.2232753589205
65	58	ranked_58.pdb_clean	1204.739543408623
66	37	ranked_37.pdb_clean	1211.1840445210541
67	414	ranked_414.pdb_clean	1213.7445436119606
68	43	ranked_43.pdb_clean	1213.8790071301748
69	281	ranked_281.pdb_clean	1222.9851129364845
70	34	ranked_34.pdb_clean	1226.8337452157944
71	53	ranked_53.pdb_clean	1229.1495496050054
72	906	ranked_906.pdb_clean	1231.9738723352611
73	62	ranked_62.pdb_clean	1232.8602276377783
74	46	ranked_46.pdb_clean	1237.4389238865754
75	382	ranked_382.pdb_clean	1241.6816943222545
76	512	ranked_512.pdb_clean	1248.8966385076692
77	401	ranked_401.pdb_clean	1249.5303679131305
78	772	ranked_772.pdb_clean	1259.1394376543428
79	49	ranked_49.pdb_clean	1261.1333787775197
80	91	ranked_91.pdb_clean	1263.5065980359154
81	253	ranked_253.pdb_clean	1264.35735370927
82	40	ranked_40.pdb_clean	1268.6643371431478
83	65	ranked_65.pdb_clean	1277.8458778475376
84	42	ranked_42.pdb_clean	1279.7450784278824
85	669	ranked_669.pdb_clean	1281.8081140089619
86	107	ranked_107.pdb_clean	1282.4895544719152
87	621	ranked_621.pdb_clean	1293.6883030227757
88	782	ranked_782.pdb_clean	1299.2288702828882
89	27	ranked_27.pdb_clean	1300.294070640017
90	64	ranked_64.pdb_clean	1304.4904616885362
91	997	ranked_997.pdb_clean	1308.8319107546258
92	694	ranked_694.pdb_clean	1309.7281849884644
93	97	ranked_97.pdb_clean	1312.0594682398614
94	98	ranked_98.pdb_clean	1314.1447770552002
95	911	ranked_911.pdb_clean	1314.7208549664588
96	24	ranked_24.pdb_clean	1315.8891602955562
97	262	ranked_262.pdb_clean	1316.31124010148
98	23	ranked_23.pdb_clean	1319.1150964304807
99	299	ranked_299.pdb_clean	1326.8042023333303
100	183	ranked_183.pdb_clean	1328.2606105814864
101	63	ranked_63.pdb_clean	1330.3292135407482
102	109	ranked_109.pdb_clean	1355.487328374215
103	55	ranked_55.pdb_clean	1359.4531585083184
104	305	ranked_305.pdb_clean	1360.5461450940193
105	950	ranked_950.pdb_clean	1361.3027451232044
106	147	ranked_147.pdb_clean	1363.0719985496444
107	66	ranked_66.pdb_clean	1366.7963862547394
108	119	ranked_119.pdb_clean	1367.0041843036947
109	25	ranked_25.pdb_clean	1367.1372977137441
110	601	ranked_601.pdb_clean	1382.1405962338185
111	201	ranked_201.pdb_clean	1382.4894725234808
112	846	ranked_846.pdb_clean	1383.460185335418
113	3	ranked_3.pdb_clean	1384.8188956585302
114	61	ranked_61.pdb_clean	1390.4926816811246
115	10	ranked_10.pdb_clean	1393.0037347445514
116	54	ranked_54.pdb_clean	1393.7098457343845
117	869	ranked_869.pdb_clean	1400.2321368014664
118	859	ranked_859.pdb_clean	1404.7663775655274
119	478	ranked_478.pdb_clean	1406.1197296493258
120	790	ranked_790.pdb_clean	1413.9541706647458
121	87	ranked_87.pdb_clean	1416.2535902477796
122	370	ranked_370.pdb_clean	1416.566305441125
123	346	ranked_346.pdb_clean	1420.6173549419902
124	823	ranked_823.pdb_clean	1424.8277172867752
125	280	ranked_280.pdb_clean	1425.1649174232155
126	69	ranked_69.pdb_clean	1426.761469601032
127	95	ranked_95.pdb_clean	1429.087533275182
128	77	ranked_77.pdb_clean	1432.1543389920682
129	631	ranked_631.pdb_clean	1434.5169726500974
130	56	ranked_56.pdb_clean	1434.7207314509403
131	630	ranked_630.pdb_clean	1435.2921892903826
132	556	ranked_556.pdb_clean	1445.636409607423
133	60	ranked_60.pdb_clean	1453.553895751352
134	793	ranked_793.pdb_clean	1463.045716842406
135	940	ranked_940.pdb_clean	1465.6903942190856
136	898	ranked_898.pdb_clean	1467.2041875936693
137	152	ranked_152.pdb_clean	1469.0599471793223
138	118	ranked_118.pdb_clean	1469.7737663993046
139	481	ranked_481.pdb_clean	1477.7918045737697
140	261	ranked_261.pdb_clean	1484.5852420205906
141	882	ranked_882.pdb_clean	1489.46252253299
142	795	ranked_795.pdb_clean	1492.1994620666221
143	94	ranked_94.pdb_clean	1502.0191061745652
144	136	ranked_136.pdb_clean	1502.3879240275123
145	316	ranked_316.pdb_clean	1503.783241217307
146	72	ranked_72.pdb_clean	1504.432575566607
147	57	ranked_57.pdb_clean	1509.7522199755203
148	879	ranked_879.pdb_clean	1512.4644926603899
149	453	ranked_453.pdb_clean	1516.8749102162826
150	2	ranked_2.pdb_clean	1517.5697892276623
151	628	ranked_628.pdb_clean	1526.830476655156
152	959	ranked_959.pdb_clean	1529.6095469898642
153	549	ranked_549.pdb_clean	1533.123669689246
154	815	ranked_815.pdb_clean	1533.7109524359323
155	472	ranked_472.pdb_clean	1535.8973673394935
156	275	ranked_275.pdb_clean	1536.3416062260665
157	981	ranked_981.pdb_clean	1539.7478418259182
158	174	ranked_174.pdb_clean	1545.9546694964208
159	991	ranked_991.pdb_clean	1547.747585512298
160	75	ranked_75.pdb_clean	1548.1475720806513
161	148	ranked_148.pdb_clean	1550.8327159313858
162	139	ranked_139.pdb_clean	1552.3112186607818
163	432	ranked_432.pdb_clean	1555.4771462534509
164	150	ranked_150.pdb_clean	1560.7243523522368
165	332	ranked_332.pdb_clean	1561.1116824711203
166	50	ranked_50.pdb_clean	1562.7278766745549
167	203	ranked_203.pdb_clean	1563.2815355817177
168	377	ranked_377.pdb_clean	1564.620918731375
169	900	ranked_900.pdb_clean	1565.6707973974344
170	51	ranked_51.pdb_clean	1566.1574823526278
171	691	ranked_691.pdb_clean	1572.0836665817187
172	198	ranked_198.pdb_clean	1573.7102232034538
173	145	ranked_145.pdb_clean	1578.5124013900256
174	738	ranked_738.pdb_clean	1579.875542284964
175	188	ranked_188.pdb_clean	1580.8028855781251
176	364	ranked_364.pdb_clean	1582.0620705569154
177	250	ranked_250.pdb_clean	1582.426075120787
178	953	ranked_953.pdb_clean	1585.2926159259227
179	858	ranked_858.pdb_clean	1589.9291698172883
180	684	ranked_684.pdb_clean	1590.2972320864214
181	151	ranked_151.pdb_clean	1590.3370615490262
182	156	ranked_156.pdb_clean	1592.5861126295079
183	199	ranked_199.pdb_clean	1593.916412105107
184	989	ranked_989.pdb_clean	1594.2910519154398
185	171	ranked_171.pdb_clean	1594.5597304679163
186	805	ranked_805.pdb_clean	1595.801013349811
187	680	ranked_680.pdb_clean	1596.46907766003
188	532	ranked_532.pdb_clean	1596.9088473304607
189	337	ranked_337.pdb_clean	1598.4500265087072
190	753	ranked_753.pdb_clean	1601.3827320055625
191	215	ranked_215.pdb_clean	1603.8965330665878
192	115	ranked_115.pdb_clean	1605.5880349725435
193	230	ranked_230.pdb_clean	1608.2307217341963
194	863	ranked_863.pdb_clean	1608.7333601693751
195	403	ranked_403.pdb_clean	1619.330761226449
196	85	ranked_85.pdb_clean	1625.1259640419346
197	243	ranked_243.pdb_clean	1626.581415516964
198	773	ranked_773.pdb_clean	1633.0685305374186
199	590	ranked_590.pdb_clean	1636.6224710623083
200	712	ranked_712.pdb_clean	1641.131933067797
201	133	ranked_133.pdb_clean	1647.9635540865393
202	571	ranked_571.pdb_clean	1649.2971514008818
203	234	ranked_234.pdb_clean	1651.502626920823
204	297	ranked_297.pdb_clean	1654.9352459986005
205	933	ranked_933.pdb_clean	1655.8356108141393
206	266	ranked_266.pdb_clean	1659.4628598999188
207	249	ranked_249.pdb_clean	1660.5018154049656
208	223	ranked_223.pdb_clean	1662.0991627990925
209	642	ranked_642.pdb_clean	1662.6723094661284
210	8	ranked_8.pdb_clean	1667.7990532016092
211	904	ranked_904.pdb_clean	1668.8617973945559
212	527	ranked_527.pdb_clean	1681.1606554948642
213	847	ranked_847.pdb_clean	1685.7839309573085
214	106	ranked_106.pdb_clean	1686.9490283650896
215	274	ranked_274.pdb_clean	1687.2901249024349
216	780	ranked_780.pdb_clean	1688.0740775282054
217	767	ranked_767.pdb_clean	1688.3500570471303
218	752	ranked_752.pdb_clean	1692.9725037180128
219	897	ranked_897.pdb_clean	1694.5844908589245
220	304	ranked_304.pdb_clean	1696.657549109968
221	831	ranked_831.pdb_clean	1700.0853474419253
222	160	ranked_160.pdb_clean	1700.3606860034263
223	887	ranked_887.pdb_clean	1700.5183176382006
224	79	ranked_79.pdb_clean	1700.6855075816864
225	339	ranked_339.pdb_clean	1700.8160561110356
226	214	ranked_214.pdb_clean	1701.7802783195405
227	181	ranked_181.pdb_clean	1703.8643866941936
228	205	ranked_205.pdb_clean	1711.2857774503984
