complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7zax,ranked_0.pdb,vina,0.135,-0.151, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_0.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_1.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_1.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_2.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_2.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_3.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_3.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_4.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_4.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_5.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_5.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_6.pdb,vina,0.141,-0.158, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_6.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_7.pdb,vina,0.137,-0.153, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_7.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_8.pdb,vina,0.145,-0.162, 0.000, 0.000, 0.000,-0.039, 0.017,-0.039
7zax,ranked_8.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_9.pdb,vina,0.135,-0.151, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_9.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_10.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_10.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_11.pdb,vina,0.138,-0.154, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_11.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_12.pdb,vina,0.138,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_12.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_13.pdb,vina,0.139,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_13.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_14.pdb,vina,0.139,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_14.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_15.pdb,vina,0.142,-0.159, 0.000, 0.000, 0.000,-0.039, 0.017,-0.039
7zax,ranked_15.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_16.pdb,vina,0.139,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_16.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_17.pdb,vina,0.133,-0.148, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_17.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.055, 0.000,-0.055
7zax,ranked_18.pdb,vina,0.139,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_18.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_19.pdb,vina,0.139,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_19.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
7zax,ranked_20.pdb,vina,0.138,-0.155, 0.000, 0.000, 0.000,-0.039, 0.016,-0.039
7zax,ranked_20.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.056, 0.000,-0.056
