complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8d51,ranked_0.pdb,vina,2.136,-4.259, 0.000, 0.000, 0.000,-1.075, 2.123,-1.075
8d51,ranked_0.pdb,vinardo,1.498,-2.988, 0.000, 0.000, 0.000,-1.860, 1.489,-1.860
8d51,ranked_1.pdb,vina,2.135,-4.257, 0.000, 0.000, 0.000,-1.365, 2.122,-1.365
8d51,ranked_1.pdb,vinardo,1.472,-2.935, 0.000, 0.000, 0.000,-2.093, 1.463,-2.093
8d51,ranked_2.pdb,vina,2.102,-4.191, 0.000, 0.000, 0.000,-1.038, 2.089,-1.038
8d51,ranked_2.pdb,vinardo,1.436,-2.864, 0.000, 0.000, 0.000,-1.719, 1.427,-1.719
8d51,ranked_3.pdb,vina,2.169,-4.325, 0.000, 0.000, 0.000,-0.836, 2.156,-0.836
8d51,ranked_3.pdb,vinardo,1.509,-3.010, 0.000, 0.000, 0.000,-1.646, 1.500,-1.646
8d51,ranked_4.pdb,vina,2.178,-4.343, 0.000, 0.000, 0.000,-0.979, 2.165,-0.979
8d51,ranked_4.pdb,vinardo,1.485,-2.960, 0.000, 0.000, 0.000,-1.759, 1.475,-1.759
8d51,ranked_5.pdb,vina,2.163,-4.313, 0.000, 0.000, 0.000,-1.103, 2.150,-1.103
8d51,ranked_5.pdb,vinardo,1.468,-2.928, 0.000, 0.000, 0.000,-1.825, 1.459,-1.825
8d51,ranked_6.pdb,vina,2.140,-4.267, 0.000, 0.000, 0.000,-1.073, 2.127,-1.073
8d51,ranked_6.pdb,vinardo,1.451,-2.893, 0.000, 0.000, 0.000,-1.810, 1.442,-1.810
8d51,ranked_7.pdb,vina,2.199,-4.384, 0.000, 0.000, 0.000,-0.943, 2.185,-0.943
8d51,ranked_7.pdb,vinardo,1.541,-3.072, 0.000, 0.000, 0.000,-1.756, 1.531,-1.756
8d51,ranked_8.pdb,vina,2.218,-4.422, 0.000, 0.000, 0.000,-0.922, 2.204,-0.922
8d51,ranked_8.pdb,vinardo,1.538,-3.067, 0.000, 0.000, 0.000,-1.606, 1.529,-1.606
8d51,ranked_9.pdb,vina,2.154,-4.294, 0.000, 0.000, 0.000,-1.203, 2.140,-1.203
8d51,ranked_9.pdb,vinardo,1.492,-2.974, 0.000, 0.000, 0.000,-1.933, 1.483,-1.933
8d51,ranked_10.pdb,vina,2.137,-4.261, 0.000, 0.000, 0.000,-1.055, 2.124,-1.055
8d51,ranked_10.pdb,vinardo,1.460,-2.910, 0.000, 0.000, 0.000,-1.814, 1.451,-1.814
8d51,ranked_11.pdb,vina,2.174,-4.334, 0.000, 0.000, 0.000,-1.138, 2.160,-1.138
8d51,ranked_11.pdb,vinardo,1.500,-2.992, 0.000, 0.000, 0.000,-1.899, 1.491,-1.899
8d51,ranked_12.pdb,vina,2.020,-4.028, 0.000, 0.000, 0.000,-1.562, 2.008,-1.562
8d51,ranked_12.pdb,vinardo,1.292,-2.576, 0.000, 0.000, 0.000,-2.324, 1.284,-2.324
8d51,ranked_13.pdb,vina,2.162,-4.310, 0.000, 0.000, 0.000,-1.002, 2.148,-1.002
8d51,ranked_13.pdb,vinardo,1.446,-2.884, 0.000, 0.000, 0.000,-1.832, 1.438,-1.832
8d51,ranked_14.pdb,vina,2.155,-4.297, 0.000, 0.000, 0.000,-0.903, 2.142,-0.903
8d51,ranked_14.pdb,vinardo,1.505,-3.002, 0.000, 0.000, 0.000,-1.674, 1.496,-1.674
8d51,ranked_15.pdb,vina,2.081,-4.149, 0.000, 0.000, 0.000,-1.137, 2.068,-1.137
8d51,ranked_15.pdb,vinardo,1.439,-2.870, 0.000, 0.000, 0.000,-1.827, 1.430,-1.827
8d51,ranked_16.pdb,vina,2.112,-4.211, 0.000, 0.000, 0.000,-0.960, 2.099,-0.960
8d51,ranked_16.pdb,vinardo,1.479,-2.949, 0.000, 0.000, 0.000,-1.770, 1.470,-1.770
8d51,ranked_17.pdb,vina,1.593,-3.177, 0.000, 0.000, 0.000,-0.068, 1.584,-0.068
8d51,ranked_17.pdb,vinardo,0.908,-1.810, 0.000, 0.000, 0.000,-0.927, 0.902,-0.927
8d51,ranked_18.pdb,vina,1.482,-2.954, 0.000, 0.000, 0.000,-0.257, 1.473,-0.257
8d51,ranked_18.pdb,vinardo,0.796,-1.587, 0.000, 0.000, 0.000,-1.135, 0.791,-1.135
8d51,ranked_19.pdb,vina,1.482,-2.954, 0.000, 0.000, 0.000,-0.211, 1.473,-0.211
8d51,ranked_19.pdb,vinardo,0.802,-1.598, 0.000, 0.000, 0.000,-1.048, 0.797,-1.048
8d51,ranked_20.pdb,vina,1.577,-3.143, 0.000, 0.000, 0.000,-0.018, 1.567,-0.018
8d51,ranked_20.pdb,vinardo,0.851,-1.697, 0.000, 0.000, 0.000,-0.880, 0.846,-0.880
8d51,ranked_21.pdb,vina,1.472,-2.935, 0.000, 0.000, 0.000,-0.158, 1.463,-0.158
8d51,ranked_21.pdb,vinardo,0.750,-1.494, 0.000, 0.000, 0.000,-0.958, 0.745,-0.958
